datetime_str,initial_solution_value,initial_solution_routes,local_optimum_value,local_optimum_routes,exit_condition,exec_time
2021-01-31_23-50-54_554063,35000.0,"[0, 3, 6, 5, 13, 9, 12, 2, 4, 14, 1, 11, 7, 8, 10, 0]",31400.0,"[0, 5, 6, 3, 13, 12, 9, 2, 4, 14, 1, 7, 10, 8, 11, 0]",3,12.785400867462158
2021-01-31_23-51-10_777543,35000.0,"[0, 3, 6, 5, 13, 9, 12, 2, 4, 14, 1, 11, 7, 8, 10, 0]",31400.0,"[0, 5, 6, 3, 13, 12, 9, 2, 4, 14, 1, 7, 10, 8, 11, 0]",3,13.013830184936525
2021-01-31_23-51-26_300402,35000.0,"[0, 3, 6, 5, 13, 9, 12, 2, 4, 14, 1, 11, 7, 8, 10, 0]",30500.0,"[0, 5, 6, 3, 13, 8, 11, 2, 9, 12, 4, 14, 1, 7, 10, 0]",2,15.512770652770994
2021-01-31_23-51-44_108151,35000.0,"[0, 3, 6, 5, 13, 9, 12, 2, 4, 14, 1, 11, 7, 8, 10, 0]",29600.0,"[0, 5, 6, 3, 13, 10, 8, 11, 7, 4, 14, 1, 2, 9, 12, 0]",2,15.120430946350098
2021-01-31_23-52-01_920621,35000.0,"[0, 3, 6, 5, 13, 9, 12, 2, 4, 14, 1, 11, 7, 8, 10, 0]",31100.0,"[0, 13, 8, 11, 5, 6, 3, 12, 9, 2, 4, 14, 1, 7, 10, 0]",2,15.44600796699524
2021-01-31_23-52-20_223302,35000.0,"[0, 3, 6, 5, 13, 9, 12, 2, 4, 14, 1, 11, 7, 8, 10, 0]",31400.0,"[0, 5, 6, 3, 13, 12, 9, 2, 4, 14, 1, 7, 10, 8, 11, 0]",3,13.002694845199585
2021-01-31_23-52-36_241595,35000.0,"[0, 3, 6, 5, 13, 9, 12, 2, 4, 14, 1, 11, 7, 8, 10, 0]",31100.0,"[0, 5, 6, 3, 13, 9, 12, 8, 11, 2, 4, 14, 1, 7, 10, 0]",3,9.68105697631836
2021-01-31_23-52-48_702282,35000.0,"[0, 3, 6, 5, 13, 9, 12, 2, 4, 14, 1, 11, 7, 8, 10, 0]",30500.0,"[0, 5, 6, 3, 13, 8, 11, 2, 12, 9, 4, 14, 1, 7, 10, 0]",2,15.513043880462645
2021-01-31_23-53-06_700134,35000.0,"[0, 3, 6, 5, 13, 9, 12, 2, 4, 14, 1, 11, 7, 8, 10, 0]",31400.0,"[0, 5, 6, 3, 13, 12, 9, 2, 4, 14, 1, 7, 10, 8, 11, 0]",3,14.30963683128357
2021-01-31_23-53-23_143566,35000.0,"[0, 3, 6, 5, 13, 9, 12, 2, 4, 14, 1, 11, 7, 8, 10, 0]",30500.0,"[0, 5, 6, 3, 13, 8, 11, 2, 12, 9, 4, 14, 1, 7, 10, 0]",2,15.378533124923706
