it,instant,local_optimum_value
0,0.0,35000.0
1,1.0439121723175049,31100.0
2,1.3943850994110107,31100.0
3,1.7484431266784668,31100.0
4,2.104556083679199,31100.0
5,2.4557549953460693,31100.0
6,2.9157512187957764,31100.0
7,3.260632038116455,31100.0
8,3.617086887359619,31100.0
9,3.994619131088257,31100.0
10,4.3474109172821045,31100.0
11,4.814188003540039,31100.0
12,5.165815114974976,31100.0
13,5.523298025131226,31100.0
14,5.871780157089233,31100.0
15,6.2301130294799805,31100.0
16,6.839496850967407,31100.0
17,6.962125062942505,31100.0
18,8.821251153945923,31100.0
19,9.17701506614685,31100.0
20,9.531018018722534,31100.0
21,9.75833010673523,31100.0
22,9.87781810760498,31100.0
23,11.721122980117798,31100.0
24,12.066739082336426,31100.0
25,12.418194055557251,31100.0
26,12.770174980163574,31100.0
27,13.238361120223999,31100.0
28,13.592875957489014,31100.0
29,13.944903135299683,31100.0
30,14.296662092208862,31100.0
31,14.64762806892395,31100.0
32,14.882917165756226,31100.0
33,15.001978158950806,31100.0
