it,instant,local_optimum_value
0,0.0,37800.0
1,0.7446091175079346,33500.0
2,0.9834959506988525,33500.0
3,1.3242321014404297,33500.0
4,1.5598161220550537,33500.0
5,1.7993779182434082,33500.0
6,2.0376460552215576,33500.0
7,2.2813351154327393,33500.0
8,2.5557520389556885,33500.0
9,2.7945261001586914,33500.0
10,3.027618169784546,33500.0
11,3.2694311141967773,33500.0
12,3.5068581104278564,33500.0
13,3.747654914855957,33500.0
14,3.981760025024414,33500.0
15,4.2198731899261475,33500.0
16,4.568003177642822,33500.0
17,4.799631118774414,33500.0
18,5.036524057388306,33500.0
19,5.270881175994873,33500.0
20,5.510461091995239,33500.0
21,5.756156921386719,33500.0
