datetime_str,initial_solution_value,initial_solution_routes,local_optimum_value,local_optimum_routes,exit_condition,exec_time
2021-01-31_23-43-43_534202,37800.0,"[0, 3, 6, 5, 8, 2, 4, 14, 1, 11, 7, 13, 10, 0];[0, 9, 12, 0]",34200.0,"[0, 5, 6, 3, 13, 8, 2, 4, 14, 1, 11, 7, 10, 0];[0, 9, 12, 0]",2,15.25437307357788
2021-01-31_23-44-03_169931,37800.0,"[0, 3, 6, 5, 8, 2, 4, 14, 1, 11, 7, 13, 10, 0];[0, 9, 12, 0]",34200.0,"[0, 5, 6, 3, 13, 8, 2, 4, 14, 1, 11, 7, 10, 0];[0, 9, 12, 0]",2,16.81365990638733
2021-01-31_23-44-31_986648,37800.0,"[0, 3, 6, 5, 8, 2, 4, 14, 1, 11, 7, 13, 10, 0];[0, 9, 12, 0]",34200.0,"[0, 5, 6, 3, 13, 8, 2, 4, 14, 1, 11, 7, 10, 0];[0, 9, 12, 0]",2,15.036069869995115
2021-01-31_23-44-56_665879,37800.0,"[0, 3, 6, 5, 8, 2, 4, 14, 1, 11, 7, 13, 10, 0];[0, 9, 12, 0]",33500.0,"[0, 5, 6, 3, 13, 8, 2, 4, 14, 1, 7, 11, 10, 0];[0, 9, 12, 0]",2,15.850727081298828
2021-01-31_23-45-25_047256,37800.0,"[0, 3, 6, 5, 8, 2, 4, 14, 1, 11, 7, 13, 10, 0];[0, 9, 12, 0]",34200.0,"[0, 5, 6, 3, 13, 8, 2, 4, 14, 1, 11, 7, 10, 0];[0, 9, 12, 0]",2,15.397623062133787
2021-01-31_23-45-50_065042,37800.0,"[0, 3, 6, 5, 8, 2, 4, 14, 1, 11, 7, 13, 10, 0];[0, 9, 12, 0]",33500.0,"[0, 5, 6, 3, 13, 8, 2, 4, 14, 1, 7, 11, 10, 0];[0, 9, 12, 0]",2,16.098450183868408
2021-01-31_23-46-19_330278,37800.0,"[0, 3, 6, 5, 8, 2, 4, 14, 1, 11, 7, 13, 10, 0];[0, 9, 12, 0]",33500.0,"[0, 5, 6, 3, 13, 8, 2, 4, 14, 1, 7, 11, 10, 0];[0, 9, 12, 0]",2,15.863329887390135
2021-01-31_23-46-43_857331,37800.0,"[0, 3, 6, 5, 8, 2, 4, 14, 1, 11, 7, 13, 10, 0];[0, 9, 12, 0]",33500.0,"[0, 5, 6, 3, 13, 8, 2, 4, 14, 1, 7, 11, 10, 0];[0, 9, 12, 0]",2,15.141357183456421
2021-01-31_23-47-07_783011,37800.0,"[0, 3, 6, 5, 8, 2, 4, 14, 1, 11, 7, 13, 10, 0];[0, 9, 12, 0]",32900.0,"[0, 3, 13, 5, 6, 1, 14, 4, 2, 8, 11, 7, 10, 0];[0, 9, 12, 0]",2,15.04726791381836
2021-01-31_23-47-28_642060,37800.0,"[0, 3, 6, 5, 8, 2, 4, 14, 1, 11, 7, 13, 10, 0];[0, 9, 12, 0]",36100.0,"[0, 3, 13, 10, 8, 11, 2, 4, 14, 1, 7, 6, 5, 0];[0, 9, 12, 0]",2,15.168222904205322
