it,instant,local_optimum_value
0,0.0,35724.0
1,2.7773492336273193,29858.0
2,3.5479700565338135,29858.0
3,4.549282073974609,29858.0
4,5.3163371086120605,29858.0
5,6.085980176925659,29858.0
6,6.863649129867554,29858.0
7,7.627592325210571,29858.0
8,8.712825059890747,29858.0
9,9.621793031692505,29858.0
10,10.408135175704956,29858.0
11,11.072325229644775,29858.0
12,11.85425090789795,29858.0
13,12.742107152938843,29858.0
14,13.515741109848022,29858.0
15,14.183840990066528,29858.0
16,14.95816707611084,29858.0
17,15.731813192367554,29858.0
