datetime_str,initial_solution_value,initial_solution_routes,local_optimum_value,local_optimum_routes,exit_condition,exec_time
2021-01-31_23-36-55_826388,35724.0,"[0, 9, 13, 12, 15, 16, 11, 5, 8, 7, 10, 4, 6, 1, 14, 17, 3, 2, 0]",33521.0,"[0, 3, 13, 9, 12, 15, 16, 11, 8, 5, 7, 10, 4, 6, 14, 1, 17, 2, 0]",2,15.05334186553955
2021-01-31_23-37-14_241437,35724.0,"[0, 9, 13, 12, 15, 16, 11, 5, 8, 7, 10, 4, 6, 1, 14, 17, 3, 2, 0]",35296.0,"[0, 3, 13, 9, 12, 15, 16, 11, 8, 5, 7, 10, 4, 6, 1, 14, 17, 2, 0]",2,15.17304015159607
2021-01-31_23-37-31_387873,35724.0,"[0, 9, 13, 12, 15, 16, 11, 5, 8, 7, 10, 4, 6, 1, 14, 17, 3, 2, 0]",35296.0,"[0, 3, 13, 9, 12, 15, 16, 11, 8, 5, 7, 10, 4, 6, 1, 14, 17, 2, 0]",2,15.155643224716187
2021-01-31_23-37-50_312902,35724.0,"[0, 9, 13, 12, 15, 16, 11, 5, 8, 7, 10, 4, 6, 1, 14, 17, 3, 2, 0]",35296.0,"[0, 3, 13, 9, 12, 15, 16, 11, 8, 5, 7, 10, 4, 6, 1, 14, 17, 2, 0]",2,15.169165134429932
2021-01-31_23-38-08_809978,35724.0,"[0, 9, 13, 12, 15, 16, 11, 5, 8, 7, 10, 4, 6, 1, 14, 17, 3, 2, 0]",35296.0,"[0, 3, 13, 9, 12, 15, 16, 11, 8, 5, 7, 10, 4, 6, 1, 14, 17, 2, 0]",2,15.167917013168335
2021-01-31_23-38-27_368505,35724.0,"[0, 9, 13, 12, 15, 16, 11, 5, 8, 7, 10, 4, 6, 1, 14, 17, 3, 2, 0]",35296.0,"[0, 3, 13, 9, 12, 15, 16, 11, 8, 5, 7, 10, 4, 6, 1, 14, 17, 2, 0]",2,15.29810905456543
2021-01-31_23-38-46_043265,35724.0,"[0, 9, 13, 12, 15, 16, 11, 5, 8, 7, 10, 4, 6, 1, 14, 17, 3, 2, 0]",35296.0,"[0, 3, 13, 9, 12, 15, 16, 11, 8, 5, 7, 10, 4, 6, 1, 14, 17, 2, 0]",2,15.168001890182495
2021-01-31_23-39-04_758648,35724.0,"[0, 9, 13, 12, 15, 16, 11, 5, 8, 7, 10, 4, 6, 1, 14, 17, 3, 2, 0]",32897.0,"[0, 3, 13, 9, 12, 15, 16, 11, 7, 10, 17, 14, 5, 8, 6, 4, 1, 2, 0]",2,15.350150108337402
2021-01-31_23-39-22_866626,35724.0,"[0, 9, 13, 12, 15, 16, 11, 5, 8, 7, 10, 4, 6, 1, 14, 17, 3, 2, 0]",35296.0,"[0, 3, 13, 9, 12, 15, 16, 11, 8, 5, 7, 10, 4, 6, 1, 14, 17, 2, 0]",2,15.200928926467896
2021-01-31_23-39-40_095934,35724.0,"[0, 9, 13, 12, 15, 16, 11, 5, 8, 7, 10, 4, 6, 1, 14, 17, 3, 2, 0]",35296.0,"[0, 3, 13, 9, 12, 15, 16, 11, 8, 5, 7, 10, 4, 6, 1, 14, 17, 2, 0]",2,15.166629791259766
