it,instant,local_optimum_value
0,0.0,38989.0
1,0.7115447521209717,37108.0
2,0.9425458908081055,37108.0
3,1.1794219017028809,37108.0
4,1.4146778583526611,37108.0
5,1.8021118640899658,37108.0
6,2.0350940227508545,37108.0
7,2.271914005279541,37108.0
8,2.5029897689819336,37108.0
9,2.7331697940826416,37108.0
10,2.965100049972534,37108.0
11,3.2030029296875,37108.0
12,3.4396958351135254,37108.0
13,3.670649766921997,37108.0
14,3.907392978668213,37108.0
15,4.143918037414551,37108.0
16,4.374972820281982,37108.0
17,4.609390020370483,37108.0
18,4.993959903717041,37108.0
19,5.231800079345703,37108.0
20,5.4815239906311035,37108.0
21,5.721057891845703,37108.0
