datetime_str,initial_solution_value,initial_solution_routes,local_optimum_value,local_optimum_routes,exit_condition,exec_time
2021-01-31_23-33-51_195621,38989.0,"[0, 1, 17, 3, 2, 0];[0, 4, 6, 9, 13, 12, 15, 16, 11, 5, 8, 7, 10, 14, 0]",33446.0,"[0, 14, 1, 2, 0];[0, 3, 17, 4, 5, 8, 6, 10, 13, 9, 12, 15, 16, 11, 7, 0]",2,15.429594993591307
2021-01-31_23-34-10_984553,38989.0,"[0, 1, 17, 3, 2, 0];[0, 4, 6, 9, 13, 12, 15, 16, 11, 5, 8, 7, 10, 14, 0]",33892.0,"[0, 7, 10, 17, 2, 0];[0, 3, 4, 5, 13, 9, 11, 12, 15, 16, 8, 6, 14, 1, 0]",2,15.196911096572876
2021-01-31_23-34-28_587990,38989.0,"[0, 1, 17, 3, 2, 0];[0, 4, 6, 9, 13, 12, 15, 16, 11, 5, 8, 7, 10, 14, 0]",33446.0,"[0, 14, 1, 2, 0];[0, 3, 17, 4, 5, 8, 6, 10, 13, 9, 12, 15, 16, 11, 7, 0]",2,15.004699945449829
2021-01-31_23-34-46_023188,38989.0,"[0, 1, 17, 3, 2, 0];[0, 4, 6, 9, 13, 12, 15, 16, 11, 5, 8, 7, 10, 14, 0]",34243.0,"[0, 3, 17, 1, 2, 0];[0, 7, 10, 9, 13, 12, 15, 16, 11, 4, 5, 8, 6, 14, 0]",2,15.184998989105225
2021-01-31_23-35-03_428698,38989.0,"[0, 1, 17, 3, 2, 0];[0, 4, 6, 9, 13, 12, 15, 16, 11, 5, 8, 7, 10, 14, 0]",32438.0,"[0, 14, 4, 5, 8, 6, 7, 10, 13, 9, 12, 15, 16, 11, 0];[0, 3, 17, 1, 2, 0]",2,15.04303503036499
2021-01-31_23-35-20_653884,38989.0,"[0, 1, 17, 3, 2, 0];[0, 4, 6, 9, 13, 12, 15, 16, 11, 5, 8, 7, 10, 14, 0]",38178.0,"[0, 9, 13, 12, 15, 16, 11, 5, 8, 7, 10, 14, 0];[0, 3, 1, 17, 4, 6, 2, 0]",2,15.039505004882812
2021-01-31_23-35-37_754008,38989.0,"[0, 1, 17, 3, 2, 0];[0, 4, 6, 9, 13, 12, 15, 16, 11, 5, 8, 7, 10, 14, 0]",32438.0,"[0, 3, 17, 1, 2, 0];[0, 14, 4, 5, 8, 6, 7, 10, 13, 9, 12, 15, 16, 11, 0]",2,15.233681917190552
2021-01-31_23-35-55_090344,38989.0,"[0, 1, 17, 3, 2, 0];[0, 4, 6, 9, 13, 12, 15, 16, 11, 5, 8, 7, 10, 14, 0]",32892.0,"[0, 14, 1, 17, 3, 2, 0];[0, 13, 9, 12, 15, 16, 11, 7, 10, 5, 8, 6, 4, 0]",2,15.300893306732178
2021-01-31_23-36-12_458003,38989.0,"[0, 1, 17, 3, 2, 0];[0, 4, 6, 9, 13, 12, 15, 16, 11, 5, 8, 7, 10, 14, 0]",38179.0,"[0, 9, 13, 12, 15, 16, 11, 5, 8, 7, 10, 14, 0];[0, 3, 1, 4, 6, 17, 2, 0]",2,15.057178735733032
2021-01-31_23-36-29_384108,38989.0,"[0, 1, 17, 3, 2, 0];[0, 4, 6, 9, 13, 12, 15, 16, 11, 5, 8, 7, 10, 14, 0]",32064.0,"[0, 4, 7, 10, 13, 9, 11, 12, 15, 16, 5, 8, 6, 14, 0];[0, 3, 17, 1, 2, 0]",2,15.126402139663696
