datetime_str,initial_solution_value,initial_solution_routes,local_optimum_value,local_optimum_routes,exit_condition,exec_time
2021-01-31_23-26-55_156229,25159.0,"[0, 18, 11, 10, 5, 2, 3, 17, 14, 19, 4, 12, 9, 16, 7, 8, 6, 13, 1, 15, 0]",21705.0,"[0, 18, 11, 7, 10, 5, 3, 2, 16, 9, 17, 19, 12, 4, 14, 6, 8, 15, 1, 13, 0]",2,16.208576917648315
2021-01-31_23-27-16_566747,25159.0,"[0, 18, 11, 10, 5, 2, 3, 17, 14, 19, 4, 12, 9, 16, 7, 8, 6, 13, 1, 15, 0]",21705.0,"[0, 18, 11, 7, 10, 5, 3, 2, 16, 9, 17, 19, 12, 4, 14, 6, 8, 15, 1, 13, 0]",2,15.933093070983887
2021-01-31_23-27-35_506341,25159.0,"[0, 18, 11, 10, 5, 2, 3, 17, 14, 19, 4, 12, 9, 16, 7, 8, 6, 13, 1, 15, 0]",22902.0,"[0, 18, 11, 7, 10, 5, 12, 14, 17, 19, 4, 3, 2, 16, 9, 8, 6, 13, 15, 1, 0]",2,15.15149998664856
2021-01-31_23-27-53_875970,25159.0,"[0, 18, 11, 10, 5, 2, 3, 17, 14, 19, 4, 12, 9, 16, 7, 8, 6, 13, 1, 15, 0]",21783.0,"[0, 18, 11, 7, 10, 5, 3, 2, 16, 9, 17, 19, 12, 4, 14, 8, 6, 13, 15, 1, 0]",2,15.25998067855835
2021-01-31_23-28-12_225129,25159.0,"[0, 18, 11, 10, 5, 2, 3, 17, 14, 19, 4, 12, 9, 16, 7, 8, 6, 13, 1, 15, 0]",21705.0,"[0, 18, 11, 7, 10, 5, 3, 2, 16, 9, 17, 19, 12, 4, 14, 6, 8, 15, 1, 13, 0]",2,15.142422914505005
2021-01-31_23-28-30_751576,25159.0,"[0, 18, 11, 10, 5, 2, 3, 17, 14, 19, 4, 12, 9, 16, 7, 8, 6, 13, 1, 15, 0]",21783.0,"[0, 18, 11, 7, 10, 5, 3, 2, 16, 9, 17, 19, 12, 4, 14, 8, 6, 13, 15, 1, 0]",2,15.4848370552063
2021-01-31_23-28-49_363473,25159.0,"[0, 18, 11, 10, 5, 2, 3, 17, 14, 19, 4, 12, 9, 16, 7, 8, 6, 13, 1, 15, 0]",21783.0,"[0, 18, 11, 7, 10, 5, 3, 2, 16, 9, 17, 19, 12, 4, 14, 8, 6, 13, 15, 1, 0]",2,15.74730110168457
2021-01-31_23-29-08_420032,25159.0,"[0, 18, 11, 10, 5, 2, 3, 17, 14, 19, 4, 12, 9, 16, 7, 8, 6, 13, 1, 15, 0]",21705.0,"[0, 18, 11, 7, 10, 5, 3, 2, 16, 9, 17, 19, 12, 4, 14, 6, 8, 15, 1, 13, 0]",2,15.916839361190796
2021-01-31_23-29-26_616155,25159.0,"[0, 18, 11, 10, 5, 2, 3, 17, 14, 19, 4, 12, 9, 16, 7, 8, 6, 13, 1, 15, 0]",21783.0,"[0, 18, 11, 7, 10, 5, 3, 2, 16, 9, 17, 19, 12, 4, 14, 8, 6, 13, 15, 1, 0]",2,15.82332706451416
2021-01-31_23-29-44_599948,25159.0,"[0, 18, 11, 10, 5, 2, 3, 17, 14, 19, 4, 12, 9, 16, 7, 8, 6, 13, 1, 15, 0]",22843.0,"[0, 18, 11, 7, 10, 5, 12, 19, 4, 14, 17, 3, 2, 16, 9, 8, 6, 13, 15, 1, 0]",2,15.27490782737732
