it,instant,local_optimum_value
0,0.0,27209.0
1,0.48731088638305664,25237.0
2,0.7276837825775146,25237.0
3,0.9658141136169434,25237.0
4,1.1982290744781494,25237.0
5,1.4309251308441162,25237.0
6,1.668346881866455,25237.0
7,1.9043149948120117,25237.0
8,2.140958070755005,25237.0
9,2.381160020828247,25237.0
10,2.619335889816284,25237.0
11,2.857131004333496,25237.0
12,3.092825174331665,25237.0
13,3.328518867492676,25237.0
14,3.5624279975891113,25237.0
15,3.8036789894104004,25237.0
16,4.037075996398926,25237.0
17,4.268227815628052,25237.0
18,4.667649984359741,25237.0
19,4.897101163864136,25237.0
20,5.137528896331787,25237.0
21,5.372380971908569,25237.0
