it,instant,local_optimum_value
0,0.0,27209.0
1,0.9483780860900879,27209.0
2,1.3040099143981934,27209.0
3,1.8824679851531982,25237.0
4,3.0633389949798584,25237.0
5,3.419585943222046,25237.0
6,3.7694828510284424,25237.0
7,4.1211018562316895,25237.0
8,4.70523476600647,25237.0
9,5.05911111831665,25237.0
10,5.880060911178589,25237.0
11,6.227059841156006,25237.0
12,6.850039005279541,25237.0
13,7.203033924102783,25237.0
14,8.018606901168823,25237.0
15,8.378068923950195,25237.0
16,9.21257495880127,25237.0
17,9.562673091888428,25237.0
18,9.800145149230957,25237.0
19,10.151173114776611,25237.0
20,10.612882137298584,25237.0
21,10.971627950668335,25237.0
22,11.798102855682373,25237.0
23,12.149698972702026,25237.0
24,12.501692056655884,25237.0
25,13.207331895828247,25237.0
26,13.554224967956543,25237.0
27,14.594028949737549,25237.0
28,14.94648790359497,25237.0
29,15.573853015899658,25237.0
