datetime_str,initial_solution_value,initial_solution_routes,local_optimum_value,local_optimum_routes,exit_condition,exec_time
2021-01-31_23-23-42_580832,27209.0,"[0, 11, 19, 4, 12, 5, 2, 3, 17, 14, 9, 16, 7, 10, 8, 6, 18, 0];[0, 13, 1, 15, 0]",25237.0,"[0, 11, 16, 19, 4, 12, 5, 2, 3, 17, 14, 9, 7, 10, 8, 6, 18, 0];[0, 1, 15, 13, 0]",2,15.46434211730957
2021-01-31_23-24-03_116450,27209.0,"[0, 11, 19, 4, 12, 5, 2, 3, 17, 14, 9, 16, 7, 10, 8, 6, 18, 0];[0, 13, 1, 15, 0]",24971.0,"[0, 1, 15, 13, 18, 0];[0, 11, 16, 17, 19, 4, 12, 2, 5, 3, 14, 9, 7, 10, 8, 6, 0]",2,15.243287086486815
2021-01-31_23-24-20_868326,27209.0,"[0, 11, 19, 4, 12, 5, 2, 3, 17, 14, 9, 16, 7, 10, 8, 6, 18, 0];[0, 13, 1, 15, 0]",26784.0,"[0, 11, 19, 4, 12, 5, 2, 3, 17, 14, 9, 7, 10, 16, 8, 6, 18, 0];[0, 1, 15, 13, 0]",2,15.126471996307373
2021-01-31_23-24-38_206020,27209.0,"[0, 11, 19, 4, 12, 5, 2, 3, 17, 14, 9, 16, 7, 10, 8, 6, 18, 0];[0, 13, 1, 15, 0]",25237.0,"[0, 11, 16, 19, 4, 12, 5, 2, 3, 17, 14, 9, 7, 10, 8, 6, 18, 0];[0, 1, 15, 13, 0]",2,15.286458015441895
2021-01-31_23-24-55_613716,27209.0,"[0, 11, 19, 4, 12, 5, 2, 3, 17, 14, 9, 16, 7, 10, 8, 6, 18, 0];[0, 13, 1, 15, 0]",25237.0,"[0, 11, 16, 19, 4, 12, 5, 2, 3, 17, 14, 9, 7, 10, 8, 6, 18, 0];[0, 1, 15, 13, 0]",2,15.549148797988892
2021-01-31_23-25-13_698973,27209.0,"[0, 11, 19, 4, 12, 5, 2, 3, 17, 14, 9, 16, 7, 10, 8, 6, 18, 0];[0, 13, 1, 15, 0]",25237.0,"[0, 1, 15, 13, 0];[0, 11, 16, 19, 4, 12, 5, 2, 3, 17, 14, 9, 7, 10, 8, 6, 18, 0]",2,15.153529167175293
2021-01-31_23-25-31_217416,27209.0,"[0, 11, 19, 4, 12, 5, 2, 3, 17, 14, 9, 16, 7, 10, 8, 6, 18, 0];[0, 13, 1, 15, 0]",25237.0,"[0, 11, 16, 19, 4, 12, 5, 2, 3, 17, 14, 9, 7, 10, 8, 6, 18, 0];[0, 1, 15, 13, 0]",2,15.812634944915773
2021-01-31_23-25-49_141988,27209.0,"[0, 11, 19, 4, 12, 5, 2, 3, 17, 14, 9, 16, 7, 10, 8, 6, 18, 0];[0, 13, 1, 15, 0]",25237.0,"[0, 1, 15, 13, 0];[0, 11, 16, 19, 4, 12, 5, 2, 3, 17, 14, 9, 7, 10, 8, 6, 18, 0]",2,15.57523488998413
2021-01-31_23-26-09_347431,27209.0,"[0, 11, 19, 4, 12, 5, 2, 3, 17, 14, 9, 16, 7, 10, 8, 6, 18, 0];[0, 13, 1, 15, 0]",25237.0,"[0, 11, 16, 19, 4, 12, 5, 2, 3, 17, 14, 9, 7, 10, 8, 6, 18, 0];[0, 1, 15, 13, 0]",2,15.208369255065918
2021-01-31_23-26-27_388110,27209.0,"[0, 11, 19, 4, 12, 5, 2, 3, 17, 14, 9, 16, 7, 10, 8, 6, 18, 0];[0, 13, 1, 15, 0]",25314.0,"[0, 1, 15, 13, 18, 0];[0, 11, 16, 17, 19, 12, 5, 2, 3, 4, 14, 9, 7, 10, 8, 6, 0]",2,15.315881967544556
