it,instant,local_optimum_value
0,0.0,92673.0
1,0.25890612602233887,92673.0
2,0.49335789680480957,92673.0
3,0.7279329299926758,92673.0
4,0.9616649150848389,92673.0
5,1.1946139335632324,92673.0
6,1.430452823638916,92673.0
7,1.664942979812622,92673.0
8,1.89845609664917,92673.0
9,2.1349799633026123,92673.0
10,2.3676910400390625,92673.0
11,2.601278781890869,92673.0
12,2.8396899700164795,92673.0
13,3.0763959884643555,92673.0
14,3.310681104660034,92673.0
15,3.544285774230957,92673.0
16,3.7775208950042725,92673.0
17,4.011344909667969,92673.0
18,4.24524998664856,92673.0
19,4.589993953704834,92673.0
20,4.824822902679443,92673.0
