it,instant,local_optimum_value
0,0.0,92673.0
1,0.36598777770996094,92673.0
2,0.7102179527282715,92673.0
3,1.058363914489746,92673.0
4,1.4104247093200684,92673.0
5,1.7605869770050049,92673.0
6,2.110476016998291,92673.0
7,2.4658517837524414,92673.0
8,2.81614089012146,92673.0
9,3.164050817489624,92673.0
10,3.519331693649292,92673.0
11,3.867370843887329,92673.0
12,4.224612712860107,92673.0
13,4.683940887451172,92673.0
14,5.038332939147949,92673.0
15,5.390919923782349,92673.0
16,5.745771884918213,92673.0
17,6.101364850997925,92673.0
18,6.456126928329468,92673.0
19,6.807294845581055,92673.0
20,7.15767765045166,92673.0
