datetime_str,initial_solution_value,initial_solution_routes,local_optimum_value,local_optimum_routes,exit_condition,exec_time
2021-01-31_23-21-56_177173,92673.0,"[0, 3, 4, 16, 0];[0, 13, 1, 9, 10, 12, 11, 15, 0];[0, 14, 19, 8, 2, 5, 6, 7, 17, 18, 20, 0]",92673.0,"[0, 3, 4, 16, 0];[0, 13, 1, 9, 10, 12, 11, 15, 0];[0, 14, 19, 8, 2, 5, 6, 7, 17, 18, 20, 0]",3,7.137030839920044
2021-01-31_23-22-05_746951,92673.0,"[0, 3, 4, 16, 0];[0, 13, 1, 9, 10, 12, 11, 15, 0];[0, 14, 19, 8, 2, 5, 6, 7, 17, 18, 20, 0]",92673.0,"[0, 3, 4, 16, 0];[0, 13, 1, 9, 10, 12, 11, 15, 0];[0, 14, 19, 8, 2, 5, 6, 7, 17, 18, 20, 0]",3,7.155690908432008
2021-01-31_23-22-15_406242,92673.0,"[0, 3, 4, 16, 0];[0, 13, 1, 9, 10, 12, 11, 15, 0];[0, 14, 19, 8, 2, 5, 6, 7, 17, 18, 20, 0]",92673.0,"[0, 3, 4, 16, 0];[0, 13, 1, 9, 10, 12, 11, 15, 0];[0, 14, 19, 8, 2, 5, 6, 7, 17, 18, 20, 0]",3,7.161933183670044
2021-01-31_23-22-24_712516,92673.0,"[0, 3, 4, 16, 0];[0, 13, 1, 9, 10, 12, 11, 15, 0];[0, 14, 19, 8, 2, 5, 6, 7, 17, 18, 20, 0]",92673.0,"[0, 3, 4, 16, 0];[0, 13, 1, 9, 10, 12, 11, 15, 0];[0, 14, 19, 8, 2, 5, 6, 7, 17, 18, 20, 0]",3,7.155638933181763
2021-01-31_23-22-34_018003,92673.0,"[0, 3, 4, 16, 0];[0, 13, 1, 9, 10, 12, 11, 15, 0];[0, 14, 19, 8, 2, 5, 6, 7, 17, 18, 20, 0]",92673.0,"[0, 3, 4, 16, 0];[0, 13, 1, 9, 10, 12, 11, 15, 0];[0, 14, 19, 8, 2, 5, 6, 7, 17, 18, 20, 0]",3,7.159300804138184
2021-01-31_23-22-43_522796,92673.0,"[0, 3, 4, 16, 0];[0, 13, 1, 9, 10, 12, 11, 15, 0];[0, 14, 19, 8, 2, 5, 6, 7, 17, 18, 20, 0]",92673.0,"[0, 3, 4, 16, 0];[0, 13, 1, 9, 10, 12, 11, 15, 0];[0, 14, 19, 8, 2, 5, 6, 7, 17, 18, 20, 0]",3,7.1419830322265625
2021-01-31_23-22-52_953449,92673.0,"[0, 3, 4, 16, 0];[0, 13, 1, 9, 10, 12, 11, 15, 0];[0, 14, 19, 8, 2, 5, 6, 7, 17, 18, 20, 0]",92673.0,"[0, 3, 4, 16, 0];[0, 13, 1, 9, 10, 12, 11, 15, 0];[0, 14, 19, 8, 2, 5, 6, 7, 17, 18, 20, 0]",3,7.1439270973205575
2021-01-31_23-23-02_279584,92673.0,"[0, 3, 4, 16, 0];[0, 13, 1, 9, 10, 12, 11, 15, 0];[0, 14, 19, 8, 2, 5, 6, 7, 17, 18, 20, 0]",92673.0,"[0, 3, 4, 16, 0];[0, 13, 1, 9, 10, 12, 11, 15, 0];[0, 14, 19, 8, 2, 5, 6, 7, 17, 18, 20, 0]",3,7.104627847671509
2021-01-31_23-23-11_572567,92673.0,"[0, 3, 4, 16, 0];[0, 13, 1, 9, 10, 12, 11, 15, 0];[0, 14, 19, 8, 2, 5, 6, 7, 17, 18, 20, 0]",92673.0,"[0, 3, 4, 16, 0];[0, 13, 1, 9, 10, 12, 11, 15, 0];[0, 14, 19, 8, 2, 5, 6, 7, 17, 18, 20, 0]",3,7.253950119018555
2021-01-31_23-23-23_025385,92673.0,"[0, 3, 4, 16, 0];[0, 13, 1, 9, 10, 12, 11, 15, 0];[0, 14, 19, 8, 2, 5, 6, 7, 17, 18, 20, 0]",92673.0,"[0, 3, 4, 16, 0];[0, 13, 1, 9, 10, 12, 11, 15, 0];[0, 14, 19, 8, 2, 5, 6, 7, 17, 18, 20, 0]",3,7.171514272689819
