it,instant,local_optimum_value
0,0.0,17000.0
1,0.5970919132232666,15400.0
2,1.0614700317382812,15400.0
3,1.4104139804840088,15400.0
4,1.765625,15400.0
5,2.122349977493286,15400.0
6,2.77439022064209,15400.0
7,3.1488730907440186,15400.0
8,3.499929904937744,15400.0
9,3.973814010620117,15400.0
10,4.436638116836548,15400.0
11,4.928023099899292,15400.0
12,5.283750057220459,15400.0
13,5.749604940414429,15400.0
14,6.258779048919678,15400.0
15,6.612397909164429,15400.0
16,7.170310974121094,15400.0
17,7.6249611377716064,15400.0
18,8.096501111984253,15400.0
19,8.453805208206177,15400.0
20,8.813720226287842,15400.0
21,9.336507081985474,15400.0
