datetime_str,initial_solution_value,initial_solution_routes,local_optimum_value,local_optimum_routes,exit_condition,exec_time
2021-01-31_23-16-25_618011,109383.0,"[0, 3, 5, 0];[0, 13, 1, 9, 4, 0];[0, 14, 10, 12, 2, 7, 0];[0, 16, 11, 15, 19, 8, 6, 0];[0, 17, 18, 20, 0]",109383.0,"[0, 3, 5, 0];[0, 13, 1, 9, 4, 0];[0, 14, 10, 12, 2, 7, 0];[0, 16, 11, 15, 19, 8, 6, 0];[0, 17, 18, 20, 0]",2,15.037909030914307
2021-01-31_23-16-42_631792,109383.0,"[0, 3, 5, 0];[0, 13, 1, 9, 4, 0];[0, 14, 10, 12, 2, 7, 0];[0, 16, 11, 15, 19, 8, 6, 0];[0, 17, 18, 20, 0]",109383.0,"[0, 3, 5, 0];[0, 13, 1, 9, 4, 0];[0, 14, 10, 12, 2, 7, 0];[0, 16, 11, 15, 19, 8, 6, 0];[0, 17, 18, 20, 0]",2,15.098556280136108
2021-01-31_23-16-59_665214,109383.0,"[0, 3, 5, 0];[0, 13, 1, 9, 4, 0];[0, 14, 10, 12, 2, 7, 0];[0, 16, 11, 15, 19, 8, 6, 0];[0, 17, 18, 20, 0]",109383.0,"[0, 3, 5, 0];[0, 13, 1, 9, 4, 0];[0, 14, 10, 12, 2, 7, 0];[0, 16, 11, 15, 19, 8, 6, 0];[0, 17, 18, 20, 0]",2,15.086801052093506
2021-01-31_23-17-16_711744,109383.0,"[0, 3, 5, 0];[0, 13, 1, 9, 4, 0];[0, 14, 10, 12, 2, 7, 0];[0, 16, 11, 15, 19, 8, 6, 0];[0, 17, 18, 20, 0]",109383.0,"[0, 3, 5, 0];[0, 13, 1, 9, 4, 0];[0, 14, 10, 12, 2, 7, 0];[0, 16, 11, 15, 19, 8, 6, 0];[0, 17, 18, 20, 0]",2,15.065850973129272
2021-01-31_23-17-33_754326,109383.0,"[0, 3, 5, 0];[0, 13, 1, 9, 4, 0];[0, 14, 10, 12, 2, 7, 0];[0, 16, 11, 15, 19, 8, 6, 0];[0, 17, 18, 20, 0]",109383.0,"[0, 3, 5, 0];[0, 13, 1, 9, 4, 0];[0, 14, 10, 12, 2, 7, 0];[0, 16, 11, 15, 19, 8, 6, 0];[0, 17, 18, 20, 0]",2,15.070286989212036
2021-01-31_23-17-50_749493,109383.0,"[0, 3, 5, 0];[0, 13, 1, 9, 4, 0];[0, 14, 10, 12, 2, 7, 0];[0, 16, 11, 15, 19, 8, 6, 0];[0, 17, 18, 20, 0]",109383.0,"[0, 3, 5, 0];[0, 13, 1, 9, 4, 0];[0, 14, 10, 12, 2, 7, 0];[0, 16, 11, 15, 19, 8, 6, 0];[0, 17, 18, 20, 0]",2,15.085428953170776
2021-01-31_23-18-07_817015,109383.0,"[0, 3, 5, 0];[0, 13, 1, 9, 4, 0];[0, 14, 10, 12, 2, 7, 0];[0, 16, 11, 15, 19, 8, 6, 0];[0, 17, 18, 20, 0]",109383.0,"[0, 3, 5, 0];[0, 13, 1, 9, 4, 0];[0, 14, 10, 12, 2, 7, 0];[0, 16, 11, 15, 19, 8, 6, 0];[0, 17, 18, 20, 0]",2,15.072496175765991
2021-01-31_23-18-25_337941,109383.0,"[0, 3, 5, 0];[0, 13, 1, 9, 4, 0];[0, 14, 10, 12, 2, 7, 0];[0, 16, 11, 15, 19, 8, 6, 0];[0, 17, 18, 20, 0]",109383.0,"[0, 3, 5, 0];[0, 13, 1, 9, 4, 0];[0, 14, 10, 12, 2, 7, 0];[0, 16, 11, 15, 19, 8, 6, 0];[0, 17, 18, 20, 0]",2,15.107351064682007
2021-01-31_23-18-42_968792,109383.0,"[0, 3, 5, 0];[0, 13, 1, 9, 4, 0];[0, 14, 10, 12, 2, 7, 0];[0, 16, 11, 15, 19, 8, 6, 0];[0, 17, 18, 20, 0]",109383.0,"[0, 3, 5, 0];[0, 13, 1, 9, 4, 0];[0, 14, 10, 12, 2, 7, 0];[0, 16, 11, 15, 19, 8, 6, 0];[0, 17, 18, 20, 0]",2,15.005872964859009
2021-01-31_23-19-00_971372,109383.0,"[0, 3, 5, 0];[0, 13, 1, 9, 4, 0];[0, 14, 10, 12, 2, 7, 0];[0, 16, 11, 15, 19, 8, 6, 0];[0, 17, 18, 20, 0]",109383.0,"[0, 3, 5, 0];[0, 13, 1, 9, 4, 0];[0, 14, 10, 12, 2, 7, 0];[0, 16, 11, 15, 19, 8, 6, 0];[0, 17, 18, 20, 0]",2,15.01266598701477
