it,instant,local_optimum_value
0,0.0,20379.0
1,2.099665880203247,19517.0
2,2.7476298809051514,19517.0
3,3.4014179706573486,19517.0
4,4.060076951980591,19517.0
5,4.87636399269104,19517.0
6,5.686240911483765,19517.0
7,6.343875885009766,19517.0
8,7.1459269523620605,19517.0
9,8.00968599319458,19517.0
10,8.667557954788208,19517.0
11,9.483808994293213,19517.0
12,10.29780101776123,19517.0
13,10.951461791992188,19517.0
14,11.714810848236084,19517.0
15,12.366188049316406,19517.0
16,13.183952808380127,19517.0
17,13.988975763320923,19517.0
18,14.643608808517456,19517.0
19,15.455825805664062,19517.0
