datetime_str,initial_solution_value,initial_solution_routes,local_optimum_value,local_optimum_routes,exit_condition,exec_time
2021-01-31_23-06-22_384245,23440.0,"[0, 1, 16, 15, 14, 13, 3, 5, 6, 7, 8, 11, 10, 9, 20, 19, 18, 17, 12, 4, 2, 0]",23005.0,"[0, 1, 16, 15, 14, 13, 3, 5, 6, 7, 8, 9, 11, 10, 20, 18, 19, 17, 12, 4, 2, 0]",2,15.050477981567385
2021-01-31_23-06-42_666211,23440.0,"[0, 1, 16, 15, 14, 13, 3, 5, 6, 7, 8, 11, 10, 9, 20, 19, 18, 17, 12, 4, 2, 0]",23362.0,"[0, 1, 16, 15, 14, 13, 3, 5, 6, 7, 8, 9, 11, 10, 20, 19, 18, 17, 12, 4, 2, 0]",2,15.031660795211792
2021-01-31_23-07-01_298801,23440.0,"[0, 1, 16, 15, 14, 13, 3, 5, 6, 7, 8, 11, 10, 9, 20, 19, 18, 17, 12, 4, 2, 0]",23005.0,"[0, 1, 16, 15, 14, 13, 3, 5, 6, 7, 8, 9, 11, 10, 20, 18, 19, 17, 12, 4, 2, 0]",2,15.02344298362732
2021-01-31_23-07-19_001413,23440.0,"[0, 1, 16, 15, 14, 13, 3, 5, 6, 7, 8, 11, 10, 9, 20, 19, 18, 17, 12, 4, 2, 0]",23005.0,"[0, 1, 16, 15, 14, 13, 3, 5, 6, 7, 8, 9, 11, 10, 20, 18, 19, 17, 12, 4, 2, 0]",2,15.179128170013428
2021-01-31_23-07-36_754138,23440.0,"[0, 1, 16, 15, 14, 13, 3, 5, 6, 7, 8, 11, 10, 9, 20, 19, 18, 17, 12, 4, 2, 0]",23005.0,"[0, 1, 16, 15, 14, 13, 3, 5, 6, 7, 8, 9, 11, 10, 20, 18, 19, 17, 12, 4, 2, 0]",2,15.297231912612915
2021-01-31_23-07-56_178179,23440.0,"[0, 1, 16, 15, 14, 13, 3, 5, 6, 7, 8, 11, 10, 9, 20, 19, 18, 17, 12, 4, 2, 0]",23005.0,"[0, 1, 16, 15, 14, 13, 3, 5, 6, 7, 8, 9, 11, 10, 20, 18, 19, 17, 12, 4, 2, 0]",2,15.20130491256714
2021-01-31_23-08-13_869074,23440.0,"[0, 1, 16, 15, 14, 13, 3, 5, 6, 7, 8, 11, 10, 9, 20, 19, 18, 17, 12, 4, 2, 0]",23005.0,"[0, 1, 16, 15, 14, 13, 3, 5, 6, 7, 8, 9, 11, 10, 20, 18, 19, 17, 12, 4, 2, 0]",2,15.058593034744264
2021-01-31_23-08-31_252201,23440.0,"[0, 1, 16, 15, 14, 13, 3, 5, 6, 7, 8, 11, 10, 9, 20, 19, 18, 17, 12, 4, 2, 0]",23005.0,"[0, 1, 16, 15, 14, 13, 3, 5, 6, 7, 8, 9, 11, 10, 20, 18, 19, 17, 12, 4, 2, 0]",2,15.21156096458435
2021-01-31_23-08-48_716507,23440.0,"[0, 1, 16, 15, 14, 13, 3, 5, 6, 7, 8, 11, 10, 9, 20, 19, 18, 17, 12, 4, 2, 0]",23005.0,"[0, 1, 16, 15, 14, 13, 3, 5, 6, 7, 8, 9, 11, 10, 20, 18, 19, 17, 12, 4, 2, 0]",2,15.203982830047607
2021-01-31_23-09-06_313622,23440.0,"[0, 1, 16, 15, 14, 13, 3, 5, 6, 7, 8, 11, 10, 9, 20, 19, 18, 17, 12, 4, 2, 0]",23005.0,"[0, 1, 16, 15, 14, 13, 3, 5, 6, 7, 8, 9, 11, 10, 20, 18, 19, 17, 12, 4, 2, 0]",2,15.079037189483643
