it,instant,local_optimum_value
0,0.0,28934.0
1,2.29020094871521,25693.0
2,2.900197982788086,25693.0
3,3.3569328784942627,25693.0
4,3.957261085510254,25693.0
5,4.409389019012451,25693.0
6,4.889094829559326,25693.0
7,5.456223011016846,25693.0
8,5.9174699783325195,25693.0
9,6.366218090057373,25693.0
10,6.94334602355957,25693.0
11,7.390496015548706,25693.0
12,7.840008974075317,25693.0
13,8.29682207107544,25693.0
14,8.907845973968506,25693.0
15,9.386754751205444,25693.0
16,10.065552949905396,25693.0
17,10.662039756774902,25693.0
18,11.341644048690796,25693.0
19,11.93652892112732,25693.0
20,12.397677898406982,25693.0
21,12.960230827331543,25693.0
