datetime_str,initial_solution_value,initial_solution_routes,local_optimum_value,local_optimum_routes,exit_condition,exec_time
2021-01-31_23-02-48_081714,28934.0,"[0, 3, 4, 14, 2, 1, 0];[0, 12, 17, 18, 19, 20, 21, 22, 8, 10, 11, 9, 7, 5, 6, 13, 16, 15, 0]",25165.0,"[0, 3, 4, 12, 14, 2, 1, 0];[0, 18, 19, 20, 21, 22, 8, 7, 9, 11, 10, 13, 16, 15, 17, 6, 5, 0]",2,15.03778600692749
2021-01-31_23-03-05_671138,28934.0,"[0, 3, 4, 14, 2, 1, 0];[0, 12, 17, 18, 19, 20, 21, 22, 8, 10, 11, 9, 7, 5, 6, 13, 16, 15, 0]",24736.0,"[0, 2, 13, 19, 20, 21, 22, 8, 7, 9, 11, 10, 6, 5, 1, 0];[0, 3, 4, 18, 16, 15, 17, 12, 14, 0]",2,15.221046686172485
2021-01-31_23-03-23_219110,28934.0,"[0, 3, 4, 14, 2, 1, 0];[0, 12, 17, 18, 19, 20, 21, 22, 8, 10, 11, 9, 7, 5, 6, 13, 16, 15, 0]",25029.0,"[0, 3, 4, 12, 14, 0];[0, 13, 19, 20, 21, 22, 10, 9, 11, 7, 8, 18, 16, 15, 17, 6, 5, 2, 1, 0]",2,15.103130102157593
2021-01-31_23-03-40_642039,28934.0,"[0, 3, 4, 14, 2, 1, 0];[0, 12, 17, 18, 19, 20, 21, 22, 8, 10, 11, 9, 7, 5, 6, 13, 16, 15, 0]",25202.0,"[0, 3, 4, 12, 14, 2, 1, 0];[0, 13, 19, 20, 21, 22, 8, 10, 9, 11, 7, 18, 16, 15, 17, 6, 5, 0]",2,15.1946542263031
2021-01-31_23-03-58_045655,28934.0,"[0, 3, 4, 14, 2, 1, 0];[0, 12, 17, 18, 19, 20, 21, 22, 8, 10, 11, 9, 7, 5, 6, 13, 16, 15, 0]",25202.0,"[0, 3, 4, 12, 14, 2, 1, 0];[0, 13, 19, 20, 21, 22, 8, 10, 9, 11, 7, 18, 16, 15, 17, 6, 5, 0]",2,15.042935132980347
2021-01-31_23-04-15_237094,28934.0,"[0, 3, 4, 14, 2, 1, 0];[0, 12, 17, 18, 19, 20, 21, 22, 8, 10, 11, 9, 7, 5, 6, 13, 16, 15, 0]",25527.0,"[0, 3, 4, 18, 16, 14, 1, 0];[0, 2, 13, 15, 17, 19, 20, 21, 22, 8, 7, 9, 11, 10, 12, 6, 5, 0]",2,19.931948184967037
2021-01-31_23-04-37_694026,28934.0,"[0, 3, 4, 14, 2, 1, 0];[0, 12, 17, 18, 19, 20, 21, 22, 8, 10, 11, 9, 7, 5, 6, 13, 16, 15, 0]",25693.0,"[0, 3, 4, 12, 14, 2, 1, 0];[0, 18, 19, 20, 21, 22, 8, 10, 9, 11, 7, 13, 16, 15, 17, 6, 5, 0]",2,19.258789777755734
2021-01-31_23-04-59_164256,28934.0,"[0, 3, 4, 14, 2, 1, 0];[0, 12, 17, 18, 19, 20, 21, 22, 8, 10, 11, 9, 7, 5, 6, 13, 16, 15, 0]",25693.0,"[0, 3, 4, 12, 14, 2, 1, 0];[0, 18, 19, 20, 21, 22, 8, 10, 9, 11, 7, 13, 16, 15, 17, 6, 5, 0]",2,18.720489978790287
2021-01-31_23-05-20_186256,28934.0,"[0, 3, 4, 14, 2, 1, 0];[0, 12, 17, 18, 19, 20, 21, 22, 8, 10, 11, 9, 7, 5, 6, 13, 16, 15, 0]",25750.0,"[0, 3, 4, 12, 14, 0];[0, 18, 19, 20, 21, 22, 8, 10, 9, 11, 7, 13, 16, 15, 17, 6, 5, 2, 1, 0]",2,16.581446886062622
2021-01-31_23-05-40_086779,28934.0,"[0, 3, 4, 14, 2, 1, 0];[0, 12, 17, 18, 19, 20, 21, 22, 8, 10, 11, 9, 7, 5, 6, 13, 16, 15, 0]",25693.0,"[0, 3, 4, 12, 14, 2, 1, 0];[0, 18, 19, 20, 21, 22, 8, 10, 9, 11, 7, 13, 16, 15, 17, 6, 5, 0]",2,22.008680820465088
