it,instant,local_optimum_value
0,0.0,32474.0
1,1.6078619956970215,30477.0
2,2.0904009342193604,30477.0
3,2.546807050704956,30477.0
4,2.8982839584350586,30477.0
5,3.250849962234497,30477.0
6,3.6010801792144775,30477.0
7,4.0786659717559814,30477.0
8,4.874152183532715,30477.0
9,5.226365089416504,30477.0
10,5.798131942749023,30477.0
11,6.14747428894043,30477.0
12,6.498969078063965,30477.0
13,6.734380006790161,30477.0
14,7.091969966888428,30477.0
15,7.448541879653931,30477.0
16,7.9515252113342285,30477.0
17,8.5262610912323,30477.0
18,8.755949020385742,30477.0
19,9.11004114151001,30477.0
20,9.46008014678955,30477.0
21,9.81636095046997,30477.0
22,10.522645950317383,30477.0
23,10.869723081588745,30477.0
24,11.217628240585327,30477.0
25,11.809076070785522,30477.0
26,12.380231142044067,30477.0
27,13.06218409538269,30477.0
28,13.654064178466797,30477.0
29,14.329454183578491,30477.0
30,14.669534921646118,30477.0
31,15.023634195327759,30477.0
