datetime_str,initial_solution_value,initial_solution_routes,local_optimum_value,local_optimum_routes,exit_condition,exec_time
2021-01-31_22-59-39_369418,32474.0,"[0, 1, 2, 5, 17, 18, 19, 20, 21, 22, 8, 10, 11, 9, 7, 14, 0];[0, 3, 4, 0];[0, 12, 16, 15, 13, 6, 0]",30528.0,"[0, 3, 4, 0];[0, 2, 5, 13, 19, 20, 21, 22, 8, 10, 9, 11, 7, 14, 1, 0];[0, 12, 16, 15, 18, 17, 6, 0]",2,15.053062915802002
2021-01-31_22-59-58_451183,32474.0,"[0, 1, 2, 5, 17, 18, 19, 20, 21, 22, 8, 10, 11, 9, 7, 14, 0];[0, 3, 4, 0];[0, 12, 16, 15, 13, 6, 0]",30528.0,"[0, 3, 4, 0];[0, 2, 5, 13, 19, 20, 21, 22, 8, 10, 9, 11, 7, 14, 1, 0];[0, 12, 16, 15, 18, 17, 6, 0]",2,15.654832124710085
2021-01-31_23-00-17_664491,32474.0,"[0, 1, 2, 5, 17, 18, 19, 20, 21, 22, 8, 10, 11, 9, 7, 14, 0];[0, 3, 4, 0];[0, 12, 16, 15, 13, 6, 0]",30477.0,"[0, 3, 4, 0];[0, 2, 12, 16, 15, 17, 6, 0];[0, 5, 13, 18, 19, 20, 21, 22, 8, 10, 9, 11, 7, 14, 1, 0]",2,15.32560682296753
2021-01-31_23-00-35_740582,32474.0,"[0, 1, 2, 5, 17, 18, 19, 20, 21, 22, 8, 10, 11, 9, 7, 14, 0];[0, 3, 4, 0];[0, 12, 16, 15, 13, 6, 0]",30560.0,"[0, 3, 4, 0];[0, 2, 12, 16, 15, 17, 6, 1, 0];[0, 5, 13, 18, 19, 20, 21, 22, 8, 10, 9, 11, 7, 14, 0]",2,15.399375915527346
2021-01-31_23-00-53_339246,32474.0,"[0, 1, 2, 5, 17, 18, 19, 20, 21, 22, 8, 10, 11, 9, 7, 14, 0];[0, 3, 4, 0];[0, 12, 16, 15, 13, 6, 0]",30477.0,"[0, 3, 4, 0];[0, 2, 12, 16, 15, 17, 6, 0];[0, 5, 13, 18, 19, 20, 21, 22, 8, 10, 9, 11, 7, 14, 1, 0]",2,15.108696937561035
2021-01-31_23-01-10_585778,32474.0,"[0, 1, 2, 5, 17, 18, 19, 20, 21, 22, 8, 10, 11, 9, 7, 14, 0];[0, 3, 4, 0];[0, 12, 16, 15, 13, 6, 0]",30477.0,"[0, 3, 4, 0];[0, 2, 12, 16, 15, 17, 6, 0];[0, 5, 13, 18, 19, 20, 21, 22, 8, 10, 9, 11, 7, 14, 1, 0]",2,15.071259021759033
2021-01-31_23-01-28_093694,32474.0,"[0, 1, 2, 5, 17, 18, 19, 20, 21, 22, 8, 10, 11, 9, 7, 14, 0];[0, 3, 4, 0];[0, 12, 16, 15, 13, 6, 0]",30477.0,"[0, 3, 4, 0];[0, 2, 12, 16, 15, 17, 6, 0];[0, 5, 13, 18, 19, 20, 21, 22, 8, 10, 9, 11, 7, 14, 1, 0]",2,15.172452211380005
2021-01-31_23-01-45_799795,32474.0,"[0, 1, 2, 5, 17, 18, 19, 20, 21, 22, 8, 10, 11, 9, 7, 14, 0];[0, 3, 4, 0];[0, 12, 16, 15, 13, 6, 0]",30477.0,"[0, 3, 4, 0];[0, 2, 12, 16, 15, 17, 6, 0];[0, 5, 13, 18, 19, 20, 21, 22, 8, 10, 9, 11, 7, 14, 1, 0]",2,15.024832010269165
2021-01-31_23-02-02_975341,32474.0,"[0, 1, 2, 5, 17, 18, 19, 20, 21, 22, 8, 10, 11, 9, 7, 14, 0];[0, 3, 4, 0];[0, 12, 16, 15, 13, 6, 0]",30477.0,"[0, 5, 13, 18, 19, 20, 21, 22, 8, 10, 9, 11, 7, 14, 1, 0];[0, 3, 4, 0];[0, 2, 12, 16, 15, 17, 6, 0]",2,16.61805510520935
2021-01-31_23-02-21_734449,32474.0,"[0, 1, 2, 5, 17, 18, 19, 20, 21, 22, 8, 10, 11, 9, 7, 14, 0];[0, 3, 4, 0];[0, 12, 16, 15, 13, 6, 0]",30477.0,"[0, 3, 4, 0];[0, 2, 12, 16, 15, 17, 6, 0];[0, 5, 13, 18, 19, 20, 21, 22, 8, 10, 9, 11, 7, 14, 1, 0]",2,15.069852113723755
