datetime_str,initial_solution_value,initial_solution_routes,local_optimum_value,local_optimum_routes,exit_condition,exec_time
2021-01-31_22-56-29_551505,48720.0,"[0, 1, 2, 5, 21, 19, 20, 13, 6, 0];[0, 3, 4, 0];[0, 7, 22, 8, 10, 11, 9, 14, 0];[0, 12, 17, 18, 0];[0, 16, 15, 0]",48263.0,"[0, 7, 22, 10, 11, 9, 14, 0];[0, 3, 4, 0];[0, 12, 8, 18, 17, 6, 0];[0, 2, 5, 13, 21, 19, 20, 1, 0];[0, 16, 15, 0]",2,15.44920802116394
2021-01-31_22-56-47_036167,48720.0,"[0, 1, 2, 5, 21, 19, 20, 13, 6, 0];[0, 3, 4, 0];[0, 7, 22, 8, 10, 11, 9, 14, 0];[0, 12, 17, 18, 0];[0, 16, 15, 0]",48213.0,"[0, 3, 4, 2, 1, 0];[0, 12, 8, 18, 17, 6, 0];[0, 7, 22, 10, 11, 9, 14, 0];[0, 5, 13, 21, 19, 20, 0];[0, 16, 15, 0]",2,16.714151859283447
2021-01-31_22-57-05_841360,48720.0,"[0, 1, 2, 5, 21, 19, 20, 13, 6, 0];[0, 3, 4, 0];[0, 7, 22, 8, 10, 11, 9, 14, 0];[0, 12, 17, 18, 0];[0, 16, 15, 0]",48213.0,"[0, 12, 8, 18, 17, 6, 0];[0, 3, 4, 2, 1, 0];[0, 7, 22, 10, 11, 9, 14, 0];[0, 5, 13, 21, 19, 20, 0];[0, 16, 15, 0]",2,15.901909112930298
2021-01-31_22-57-23_740268,48720.0,"[0, 1, 2, 5, 21, 19, 20, 13, 6, 0];[0, 3, 4, 0];[0, 7, 22, 8, 10, 11, 9, 14, 0];[0, 12, 17, 18, 0];[0, 16, 15, 0]",48213.0,"[0, 7, 22, 10, 11, 9, 14, 0];[0, 12, 8, 18, 17, 6, 0];[0, 3, 4, 2, 1, 0];[0, 5, 13, 21, 19, 20, 0];[0, 16, 15, 0]",2,18.202625036239624
2021-01-31_22-57-43_927905,48720.0,"[0, 1, 2, 5, 21, 19, 20, 13, 6, 0];[0, 3, 4, 0];[0, 7, 22, 8, 10, 11, 9, 14, 0];[0, 12, 17, 18, 0];[0, 16, 15, 0]",47812.0,"[0, 3, 4, 0];[0, 2, 5, 13, 21, 19, 20, 6, 1, 0];[0, 7, 11, 9, 10, 22, 8, 14, 0];[0, 12, 17, 18, 0];[0, 16, 15, 0]",2,15.17836093902588
2021-01-31_22-58-01_094578,48720.0,"[0, 1, 2, 5, 21, 19, 20, 13, 6, 0];[0, 3, 4, 0];[0, 7, 22, 8, 10, 11, 9, 14, 0];[0, 12, 17, 18, 0];[0, 16, 15, 0]",48263.0,"[0, 12, 8, 18, 17, 6, 1, 0];[0, 3, 4, 0];[0, 7, 22, 10, 11, 9, 14, 0];[0, 2, 5, 13, 21, 19, 20, 0];[0, 16, 15, 0]",2,15.13062310218811
2021-01-31_22-58-18_539100,48720.0,"[0, 1, 2, 5, 21, 19, 20, 13, 6, 0];[0, 3, 4, 0];[0, 7, 22, 8, 10, 11, 9, 14, 0];[0, 12, 17, 18, 0];[0, 16, 15, 0]",47812.0,"[0, 3, 4, 0];[0, 2, 5, 13, 21, 19, 20, 6, 1, 0];[0, 7, 11, 9, 10, 22, 8, 14, 0];[0, 12, 17, 18, 0];[0, 16, 15, 0]",2,15.480769872665405
2021-01-31_22-58-36_395058,48720.0,"[0, 1, 2, 5, 21, 19, 20, 13, 6, 0];[0, 3, 4, 0];[0, 7, 22, 8, 10, 11, 9, 14, 0];[0, 12, 17, 18, 0];[0, 16, 15, 0]",46825.0,"[0, 5, 13, 21, 19, 20, 6, 1, 0];[0, 2, 14, 0];[0, 4, 3, 7, 9, 11, 10, 22, 8, 0];[0, 12, 17, 18, 0];[0, 16, 15, 0]",2,15.182721138000488
2021-01-31_22-58-54_021895,48720.0,"[0, 1, 2, 5, 21, 19, 20, 13, 6, 0];[0, 3, 4, 0];[0, 7, 22, 8, 10, 11, 9, 14, 0];[0, 12, 17, 18, 0];[0, 16, 15, 0]",46467.0,"[0, 18, 17, 0];[0, 2, 5, 13, 21, 19, 20, 6, 1, 0];[0, 12, 14, 0];[0, 4, 3, 7, 9, 11, 10, 22, 8, 0];[0, 16, 15, 0]",2,15.236016035079956
2021-01-31_22-59-12_209706,48720.0,"[0, 1, 2, 5, 21, 19, 20, 13, 6, 0];[0, 3, 4, 0];[0, 7, 22, 8, 10, 11, 9, 14, 0];[0, 12, 17, 18, 0];[0, 16, 15, 0]",47812.0,"[0, 2, 5, 13, 21, 19, 20, 6, 1, 0];[0, 3, 4, 0];[0, 7, 11, 9, 10, 22, 8, 14, 0];[0, 12, 17, 18, 0];[0, 16, 15, 0]",2,15.301779985427856
