datetime_str,initial_solution_value,initial_solution_routes,local_optimum_value,local_optimum_routes,exit_condition,exec_time
2021-01-31_22-53-07_072927,42200.0,"[0, 3, 12, 6, 26, 21, 13, 7, 20, 0];[0, 22, 1, 14, 23, 5, 17, 2, 11, 16, 10, 8, 18, 15, 25, 19, 4, 9, 24, 0]",33000.0,"[0, 1, 23, 8, 10, 16, 11, 15, 18, 2, 17, 5, 25, 19, 9, 14, 4, 0];[0, 6, 26, 12, 22, 3, 21, 13, 7, 20, 24, 0]",2,15.201457023620605
2021-01-31_22-53-24_945762,42200.0,"[0, 3, 12, 6, 26, 21, 13, 7, 20, 0];[0, 22, 1, 14, 23, 5, 17, 2, 11, 16, 10, 8, 18, 15, 25, 19, 4, 9, 24, 0]",34800.0,"[0, 6, 26, 12, 21, 13, 7, 20, 0];[0, 22, 1, 23, 8, 10, 16, 11, 15, 18, 2, 17, 5, 25, 19, 9, 14, 4, 3, 24, 0]",2,15.813846111297607
2021-01-31_22-53-42_868691,42200.0,"[0, 3, 12, 6, 26, 21, 13, 7, 20, 0];[0, 22, 1, 14, 23, 5, 17, 2, 11, 16, 10, 8, 18, 15, 25, 19, 4, 9, 24, 0]",33400.0,"[0, 22, 23, 8, 10, 16, 11, 15, 18, 2, 17, 5, 25, 19, 9, 14, 4, 0];[0, 6, 26, 12, 1, 3, 21, 13, 7, 20, 24, 0]",2,18.03208565711975
2021-01-31_22-54-05_919248,42200.0,"[0, 3, 12, 6, 26, 21, 13, 7, 20, 0];[0, 22, 1, 14, 23, 5, 17, 2, 11, 16, 10, 8, 18, 15, 25, 19, 4, 9, 24, 0]",34800.0,"[0, 6, 26, 12, 21, 13, 7, 20, 0];[0, 22, 1, 23, 5, 10, 16, 11, 15, 18, 8, 2, 17, 25, 19, 9, 14, 4, 3, 24, 0]",2,15.171633005142212
2021-01-31_22-54-23_818650,42200.0,"[0, 3, 12, 6, 26, 21, 13, 7, 20, 0];[0, 22, 1, 14, 23, 5, 17, 2, 11, 16, 10, 8, 18, 15, 25, 19, 4, 9, 24, 0]",31800.0,"[0, 6, 26, 12, 3, 21, 13, 7, 20, 24, 0];[0, 22, 1, 23, 8, 10, 16, 11, 18, 15, 2, 17, 5, 25, 19, 9, 14, 4, 0]",2,15.45224404335022
2021-01-31_22-54-41_735356,42200.0,"[0, 3, 12, 6, 26, 21, 13, 7, 20, 0];[0, 22, 1, 14, 23, 5, 17, 2, 11, 16, 10, 8, 18, 15, 25, 19, 4, 9, 24, 0]",31700.0,"[0, 22, 1, 23, 8, 10, 16, 11, 15, 18, 2, 17, 5, 25, 19, 9, 14, 4, 0];[0, 3, 6, 26, 24, 21, 13, 7, 20, 12, 0]",2,16.115698099136353
2021-01-31_22-55-00_405486,42200.0,"[0, 3, 12, 6, 26, 21, 13, 7, 20, 0];[0, 22, 1, 14, 23, 5, 17, 2, 11, 16, 10, 8, 18, 15, 25, 19, 4, 9, 24, 0]",34300.0,"[0, 6, 26, 12, 22, 23, 3, 21, 13, 7, 20, 24, 0];[0, 1, 8, 10, 16, 11, 15, 18, 2, 17, 5, 25, 19, 9, 14, 4, 0]",2,15.454128980636597
2021-01-31_22-55-18_012807,42200.0,"[0, 3, 12, 6, 26, 21, 13, 7, 20, 0];[0, 22, 1, 14, 23, 5, 17, 2, 11, 16, 10, 8, 18, 15, 25, 19, 4, 9, 24, 0]",35700.0,"[0, 6, 26, 12, 21, 13, 7, 16, 11, 20, 0];[0, 22, 1, 23, 5, 10, 8, 15, 18, 2, 17, 25, 19, 9, 14, 4, 3, 24, 0]",2,16.172473907470707
2021-01-31_22-55-36_295973,42200.0,"[0, 3, 12, 6, 26, 21, 13, 7, 20, 0];[0, 22, 1, 14, 23, 5, 17, 2, 11, 16, 10, 8, 18, 15, 25, 19, 4, 9, 24, 0]",33000.0,"[0, 1, 23, 8, 10, 16, 11, 15, 18, 2, 17, 5, 25, 19, 9, 14, 4, 0];[0, 22, 3, 6, 26, 24, 21, 13, 7, 20, 12, 0]",2,15.616682052612305
2021-01-31_22-55-54_196586,42200.0,"[0, 3, 12, 6, 26, 21, 13, 7, 20, 0];[0, 22, 1, 14, 23, 5, 17, 2, 11, 16, 10, 8, 18, 15, 25, 19, 4, 9, 24, 0]",34500.0,"[0, 7, 20, 26, 6, 12, 21, 13, 0];[0, 22, 1, 23, 8, 10, 16, 11, 18, 15, 2, 17, 5, 25, 19, 9, 14, 4, 3, 24, 0]",2,15.603846788406372
