datetime_str,initial_solution_value,initial_solution_routes,local_optimum_value,local_optimum_routes,exit_condition,exec_time
2021-01-31_22-49-31_811576,43800.0,"[0, 1, 14, 23, 5, 17, 2, 11, 16, 10, 8, 18, 15, 25, 19, 4, 0];[0, 3, 12, 6, 26, 21, 13, 7, 20, 0];[0, 22, 9, 24, 0]",40500.0,"[0, 1, 9, 23, 5, 14, 3, 7, 20, 24, 0];[0, 6, 26, 21, 13, 0];[0, 12, 22, 8, 11, 10, 16, 15, 18, 2, 17, 25, 19, 4, 0]",2,15.199965953826904
2021-01-31_22-49-49_553721,43800.0,"[0, 1, 14, 23, 5, 17, 2, 11, 16, 10, 8, 18, 15, 25, 19, 4, 0];[0, 3, 12, 6, 26, 21, 13, 7, 20, 0];[0, 22, 9, 24, 0]",40700.0,"[0, 1, 23, 5, 17, 8, 11, 10, 16, 15, 18, 2, 25, 19, 4, 0];[0, 26, 6, 21, 13, 0];[0, 7, 20, 12, 22, 9, 14, 3, 24, 0]",2,15.033349752426147
2021-01-31_22-50-06_916882,43800.0,"[0, 1, 14, 23, 5, 17, 2, 11, 16, 10, 8, 18, 15, 25, 19, 4, 0];[0, 3, 12, 6, 26, 21, 13, 7, 20, 0];[0, 22, 9, 24, 0]",37000.0,"[0, 6, 26, 12, 7, 20, 13, 21, 0];[0, 8, 11, 10, 16, 15, 18, 2, 17, 25, 19, 4, 0];[0, 22, 1, 9, 23, 5, 14, 3, 24, 0]",2,15.438838958740234
2021-01-31_22-50-24_585136,43800.0,"[0, 1, 14, 23, 5, 17, 2, 11, 16, 10, 8, 18, 15, 25, 19, 4, 0];[0, 3, 12, 6, 26, 21, 13, 7, 20, 0];[0, 22, 9, 24, 0]",38000.0,"[0, 22, 9, 14, 3, 24, 0];[0, 1, 23, 5, 17, 8, 11, 10, 16, 15, 18, 2, 25, 19, 4, 0];[0, 26, 6, 12, 21, 13, 7, 20, 0]",2,20.617106914520267
2021-01-31_22-50-47_495886,43800.0,"[0, 1, 14, 23, 5, 17, 2, 11, 16, 10, 8, 18, 15, 25, 19, 4, 0];[0, 3, 12, 6, 26, 21, 13, 7, 20, 0];[0, 22, 9, 24, 0]",40300.0,"[0, 22, 9, 14, 3, 24, 0];[0, 6, 26, 21, 13, 0];[0, 7, 20, 12, 1, 23, 5, 8, 11, 10, 16, 15, 18, 2, 17, 25, 19, 4, 0]",2,15.775413036346436
2021-01-31_22-51-05_528612,43800.0,"[0, 1, 14, 23, 5, 17, 2, 11, 16, 10, 8, 18, 15, 25, 19, 4, 0];[0, 3, 12, 6, 26, 21, 13, 7, 20, 0];[0, 22, 9, 24, 0]",38000.0,"[0, 12, 23, 5, 17, 8, 11, 10, 16, 15, 18, 2, 25, 19, 4, 0];[0, 21, 13, 26, 6, 0];[0, 22, 1, 9, 14, 3, 7, 20, 24, 0]",2,22.17102313041687
2021-01-31_22-51-29_923702,43800.0,"[0, 1, 14, 23, 5, 17, 2, 11, 16, 10, 8, 18, 15, 25, 19, 4, 0];[0, 3, 12, 6, 26, 21, 13, 7, 20, 0];[0, 22, 9, 24, 0]",37600.0,"[0, 26, 6, 0];[0, 22, 9, 14, 3, 21, 13, 7, 20, 24, 0];[0, 12, 1, 23, 5, 8, 11, 10, 16, 15, 18, 2, 17, 25, 19, 4, 0]",2,15.803926944732664
2021-01-31_22-51-48_349697,43800.0,"[0, 1, 14, 23, 5, 17, 2, 11, 16, 10, 8, 18, 15, 25, 19, 4, 0];[0, 3, 12, 6, 26, 21, 13, 7, 20, 0];[0, 22, 9, 24, 0]",36700.0,"[0, 6, 26, 0];[0, 7, 20, 13, 21, 12, 22, 9, 14, 3, 24, 0];[0, 1, 23, 5, 10, 16, 11, 15, 18, 8, 2, 17, 25, 19, 4, 0]",2,15.271939992904663
2021-01-31_22-52-06_900505,43800.0,"[0, 1, 14, 23, 5, 17, 2, 11, 16, 10, 8, 18, 15, 25, 19, 4, 0];[0, 3, 12, 6, 26, 21, 13, 7, 20, 0];[0, 22, 9, 24, 0]",37300.0,"[0, 22, 1, 23, 15, 18, 8, 2, 17, 25, 19, 0];[0, 7, 6, 26, 12, 3, 21, 13, 0];[0, 9, 14, 4, 5, 10, 16, 11, 20, 24, 0]",2,15.653839111328125
2021-01-31_22-52-26_326779,43800.0,"[0, 1, 14, 23, 5, 17, 2, 11, 16, 10, 8, 18, 15, 25, 19, 4, 0];[0, 3, 12, 6, 26, 21, 13, 7, 20, 0];[0, 22, 9, 24, 0]",40700.0,"[0, 1, 23, 5, 17, 8, 11, 10, 16, 15, 18, 2, 25, 19, 4, 0];[0, 6, 26, 21, 13, 0];[0, 7, 20, 12, 22, 9, 14, 3, 24, 0]",2,16.636945962905884
