it,instant,local_optimum_value
0,0.0,52300.0
1,0.3585789203643799,50000.0
2,0.713036060333252,50000.0
3,0.9538979530334473,50000.0
4,1.1941571235656738,50000.0
5,1.5399351119995117,50000.0
6,1.778198003768921,50000.0
7,2.01883602142334,50000.0
8,2.393332004547119,50000.0
9,2.6351239681243896,50000.0
10,2.8693389892578125,50000.0
11,3.3516969680786133,50000.0
12,3.691084146499634,50000.0
13,3.9294259548187256,50000.0
14,4.507987976074219,50000.0
15,4.953076124191284,50000.0
16,5.396452903747559,50000.0
17,5.902146100997925,50000.0
18,6.136568069458008,50000.0
19,6.507532119750977,50000.0
20,6.75122594833374,50000.0
21,6.993606090545654,50000.0
