it,instant,local_optimum_value
0,0.0,52300.0
1,1.3748018741607666,45300.0
2,1.7289519309997559,45300.0
3,2.085019826889038,45300.0
4,2.441107749938965,45300.0
5,2.7964930534362793,45300.0
6,3.260394811630249,45300.0
7,3.6129238605499268,45300.0
8,3.9721930027008057,45300.0
9,4.322648048400879,45300.0
10,4.675119876861572,45300.0
11,5.033275842666626,45300.0
12,5.39103889465332,45300.0
13,5.741253852844238,45300.0
14,6.096697807312012,45300.0
15,6.558993816375732,45300.0
16,7.134049892425537,45300.0
17,7.482351779937744,45300.0
18,7.84343695640564,45300.0
19,8.19962477684021,45300.0
20,8.550679922103882,45300.0
21,8.898202657699585,45300.0
22,9.24904489517212,45300.0
