datetime_str,initial_solution_value,initial_solution_routes,local_optimum_value,local_optimum_routes,exit_condition,exec_time
2021-01-31_22-46-46_294623,52300.0,"[0, 19, 1, 4, 9, 24, 0];[0, 22, 3, 12, 6, 21, 13, 7, 11, 16, 10, 8, 20, 5, 17, 2, 18, 15, 25, 0];[0, 23, 14, 0];[0, 26, 0]",45300.0,"[0, 1, 19, 4, 9, 24, 0];[0, 23, 14, 0];[0, 22, 3, 6, 12, 21, 13, 7, 20, 11, 16, 10, 8, 5, 17, 18, 15, 2, 25, 0];[0, 26, 0]",3,9.337914943695068
2021-01-31_22-46-57_960993,52300.0,"[0, 19, 1, 4, 9, 24, 0];[0, 22, 3, 12, 6, 21, 13, 7, 11, 16, 10, 8, 20, 5, 17, 2, 18, 15, 25, 0];[0, 23, 14, 0];[0, 26, 0]",45100.0,"[0, 1, 19, 4, 9, 8, 20, 24, 0];[0, 6, 12, 22, 3, 21, 13, 7, 11, 16, 10, 2, 25, 18, 15, 5, 17, 0];[0, 23, 14, 0];[0, 26, 0]",2,26.113919019699093
2021-01-31_22-47-26_379158,52300.0,"[0, 19, 1, 4, 9, 24, 0];[0, 22, 3, 12, 6, 21, 13, 7, 11, 16, 10, 8, 20, 5, 17, 2, 18, 15, 25, 0];[0, 23, 14, 0];[0, 26, 0]",45300.0,"[0, 6, 12, 22, 3, 21, 13, 7, 11, 16, 10, 8, 2, 25, 18, 15, 5, 17, 0];[0, 19, 1, 4, 9, 20, 24, 0];[0, 23, 14, 0];[0, 26, 0]",2,15.074098825454712
2021-01-31_22-47-43_864811,52300.0,"[0, 19, 1, 4, 9, 24, 0];[0, 22, 3, 12, 6, 21, 13, 7, 11, 16, 10, 8, 20, 5, 17, 2, 18, 15, 25, 0];[0, 23, 14, 0];[0, 26, 0]",46300.0,"[0, 21, 13, 7, 6, 12, 3, 22, 11, 16, 18, 15, 5, 17, 2, 10, 8, 25, 0];[0, 19, 1, 4, 9, 20, 24, 0];[0, 23, 14, 0];[0, 26, 0]",2,15.390181064605713
2021-01-31_22-48-01_616620,52300.0,"[0, 19, 1, 4, 9, 24, 0];[0, 22, 3, 12, 6, 21, 13, 7, 11, 16, 10, 8, 20, 5, 17, 2, 18, 15, 25, 0];[0, 23, 14, 0];[0, 26, 0]",45300.0,"[0, 1, 19, 4, 9, 24, 0];[0, 23, 14, 0];[0, 22, 3, 6, 12, 21, 13, 7, 20, 11, 16, 10, 8, 5, 17, 18, 15, 2, 25, 0];[0, 26, 0]",3,9.044133186340332
2021-01-31_22-48-13_018860,52300.0,"[0, 19, 1, 4, 9, 24, 0];[0, 22, 3, 12, 6, 21, 13, 7, 11, 16, 10, 8, 20, 5, 17, 2, 18, 15, 25, 0];[0, 23, 14, 0];[0, 26, 0]",44800.0,"[0, 1, 19, 4, 9, 8, 20, 24, 0];[0, 21, 13, 7, 6, 12, 3, 22, 11, 16, 10, 25, 18, 15, 2, 5, 17, 0];[0, 23, 14, 0];[0, 26, 0]",2,15.11836004257202
2021-01-31_22-48-30_465959,52300.0,"[0, 19, 1, 4, 9, 24, 0];[0, 22, 3, 12, 6, 21, 13, 7, 11, 16, 10, 8, 20, 5, 17, 2, 18, 15, 25, 0];[0, 23, 14, 0];[0, 26, 0]",45300.0,"[0, 1, 19, 4, 9, 24, 0];[0, 23, 14, 0];[0, 22, 3, 6, 12, 21, 13, 7, 20, 11, 16, 10, 8, 5, 17, 18, 15, 2, 25, 0];[0, 26, 0]",3,9.229652166366575
2021-01-31_22-48-41_825050,52300.0,"[0, 19, 1, 4, 9, 24, 0];[0, 22, 3, 12, 6, 21, 13, 7, 11, 16, 10, 8, 20, 5, 17, 2, 18, 15, 25, 0];[0, 23, 14, 0];[0, 26, 0]",45300.0,"[0, 1, 19, 4, 9, 24, 0];[0, 23, 14, 0];[0, 22, 3, 6, 12, 21, 13, 7, 20, 11, 16, 10, 8, 5, 17, 18, 15, 2, 25, 0];[0, 26, 0]",3,9.250692129135134
2021-01-31_22-48-53_342959,52300.0,"[0, 19, 1, 4, 9, 24, 0];[0, 22, 3, 12, 6, 21, 13, 7, 11, 16, 10, 8, 20, 5, 17, 2, 18, 15, 25, 0];[0, 23, 14, 0];[0, 26, 0]",45300.0,"[0, 1, 19, 4, 9, 24, 0];[0, 23, 14, 0];[0, 22, 3, 6, 12, 21, 13, 7, 20, 11, 16, 10, 8, 5, 17, 18, 15, 2, 25, 0];[0, 26, 0]",3,9.214676141738893
2021-01-31_22-49-04_844004,52300.0,"[0, 19, 1, 4, 9, 24, 0];[0, 22, 3, 12, 6, 21, 13, 7, 11, 16, 10, 8, 20, 5, 17, 2, 18, 15, 25, 0];[0, 23, 14, 0];[0, 26, 0]",45300.0,"[0, 6, 12, 22, 3, 21, 13, 7, 11, 16, 10, 8, 2, 25, 18, 15, 5, 17, 0];[0, 19, 1, 4, 9, 20, 24, 0];[0, 23, 14, 0];[0, 26, 0]",2,15.327306032180786
