datetime_str,initial_solution_value,initial_solution_routes,local_optimum_value,local_optimum_routes,exit_condition,exec_time
2021-01-31_22-43-24_880281,18000.0,"[0, 4, 6, 12, 8, 7, 5, 9, 1, 11, 2, 3, 10, 0]",17900.0,"[0, 4, 6, 12, 8, 7, 5, 9, 1, 3, 10, 11, 2, 0]",2,16.016902923583984
2021-01-31_22-43-43_679987,18000.0,"[0, 4, 6, 12, 8, 7, 5, 9, 1, 11, 2, 3, 10, 0]",17900.0,"[0, 4, 6, 12, 8, 7, 5, 9, 1, 3, 10, 11, 2, 0]",2,15.60831904411316
2021-01-31_22-44-01_172001,18000.0,"[0, 4, 6, 12, 8, 7, 5, 9, 1, 11, 2, 3, 10, 0]",17900.0,"[0, 4, 6, 12, 8, 7, 5, 9, 1, 3, 10, 11, 2, 0]",2,15.192070960998535
2021-01-31_22-44-18_123805,18000.0,"[0, 4, 6, 12, 8, 7, 5, 9, 1, 11, 2, 3, 10, 0]",17900.0,"[0, 4, 6, 12, 8, 7, 5, 9, 1, 3, 10, 11, 2, 0]",2,15.258479118347168
2021-01-31_22-44-35_353626,18000.0,"[0, 4, 6, 12, 8, 7, 5, 9, 1, 11, 2, 3, 10, 0]",17900.0,"[0, 4, 6, 12, 8, 7, 5, 9, 1, 3, 10, 11, 2, 0]",2,15.800750017166138
2021-01-31_22-44-53_287789,18000.0,"[0, 4, 6, 12, 8, 7, 5, 9, 1, 11, 2, 3, 10, 0]",17900.0,"[0, 4, 6, 12, 8, 7, 5, 9, 1, 3, 10, 11, 2, 0]",2,15.101127862930298
2021-01-31_22-45-11_643502,18000.0,"[0, 4, 6, 12, 8, 7, 5, 9, 1, 11, 2, 3, 10, 0]",17900.0,"[0, 4, 6, 12, 8, 7, 5, 9, 1, 3, 10, 11, 2, 0]",2,15.53698468208313
2021-01-31_22-45-30_089773,18000.0,"[0, 4, 6, 12, 8, 7, 5, 9, 1, 11, 2, 3, 10, 0]",17900.0,"[0, 4, 6, 12, 8, 7, 5, 9, 1, 3, 10, 11, 2, 0]",2,15.364948987960815
2021-01-31_22-45-50_275234,18000.0,"[0, 4, 6, 12, 8, 7, 5, 9, 1, 11, 2, 3, 10, 0]",17900.0,"[0, 4, 6, 12, 8, 7, 5, 9, 1, 3, 10, 11, 2, 0]",2,15.765091896057127
2021-01-31_22-46-09_151987,18000.0,"[0, 4, 6, 12, 8, 7, 5, 9, 1, 11, 2, 3, 10, 0]",17900.0,"[0, 4, 6, 12, 8, 7, 5, 9, 1, 3, 10, 11, 2, 0]",2,15.36430811882019
