it,instant,local_optimum_value
0,0.0,70100.0
1,0.8659188747406006,69900.0
2,1.223705768585205,69900.0
3,1.5746829509735107,69900.0
4,1.9258530139923096,69900.0
5,2.274941921234131,69900.0
6,2.508984088897705,69900.0
7,2.865241765975952,69900.0
8,3.216477870941162,69900.0
9,3.5652248859405518,69900.0
10,3.9142708778381348,69900.0
11,4.2665510177612305,69900.0
12,4.724651098251343,69900.0
13,5.072525978088379,69900.0
14,5.438313007354736,69900.0
15,5.792590141296387,69900.0
16,6.1527791023254395,69900.0
17,6.507041931152344,69900.0
18,6.857361793518066,69900.0
19,7.2029619216918945,69900.0
20,7.5573461055755615,69900.0
21,8.148785829544067,69900.0
22,8.505337953567505,69900.0
23,8.85281491279602,69900.0
24,9.203407764434814,69900.0
25,9.558173894882202,69900.0
26,9.787480115890503,69900.0
27,10.135687828063965,69900.0
28,10.756646871566772,69900.0
29,11.118367910385132,69900.0
30,11.48057508468628,69900.0
31,11.843863010406494,69900.0
32,12.206902980804443,69900.0
33,12.808260202407837,69900.0
34,13.158216953277588,69900.0
35,13.513668060302734,69900.0
36,13.876582860946655,69900.0
37,14.247943878173828,69900.0
38,14.605215072631836,69900.0
39,15.356916904449463,69900.0
