datetime_str,initial_solution_value,initial_solution_routes,local_optimum_value,local_optimum_routes,exit_condition,exec_time
2021-01-31_22-40-23_599186,70100.0,"[0, 11, 8, 9, 10, 13, 12, 24, 3, 21, 2, 27, 7, 0];[0, 23, 6, 14, 15, 16, 22, 26, 5, 20, 18, 17, 19, 0];[0, 25, 4, 1, 0]",69900.0,"[0, 11, 9, 10, 8, 13, 12, 24, 3, 21, 2, 27, 7, 0];[0, 23, 6, 14, 15, 16, 26, 5, 22, 20, 18, 17, 19, 0];[0, 25, 4, 1, 0]",2,15.055598974227905
2021-01-31_22-40-42_142298,70100.0,"[0, 11, 8, 9, 10, 13, 12, 24, 3, 21, 2, 27, 7, 0];[0, 23, 6, 14, 15, 16, 22, 26, 5, 20, 18, 17, 19, 0];[0, 25, 4, 1, 0]",69900.0,"[0, 11, 9, 10, 8, 13, 21, 12, 24, 3, 2, 27, 7, 0];[0, 23, 6, 14, 15, 16, 26, 5, 22, 20, 18, 17, 19, 0];[0, 25, 4, 1, 0]",2,15.236824989318848
2021-01-31_22-41-00_167411,70100.0,"[0, 11, 8, 9, 10, 13, 12, 24, 3, 21, 2, 27, 7, 0];[0, 23, 6, 14, 15, 16, 22, 26, 5, 20, 18, 17, 19, 0];[0, 25, 4, 1, 0]",69900.0,"[0, 11, 9, 10, 8, 13, 12, 24, 3, 21, 2, 27, 7, 0];[0, 23, 6, 14, 15, 16, 26, 5, 22, 20, 18, 17, 19, 0];[0, 25, 4, 1, 0]",2,15.091991901397705
2021-01-31_22-41-17_757778,70100.0,"[0, 11, 8, 9, 10, 13, 12, 24, 3, 21, 2, 27, 7, 0];[0, 23, 6, 14, 15, 16, 22, 26, 5, 20, 18, 17, 19, 0];[0, 25, 4, 1, 0]",69900.0,"[0, 11, 9, 10, 8, 13, 21, 12, 24, 3, 2, 27, 7, 0];[0, 23, 6, 14, 15, 16, 26, 5, 22, 20, 18, 17, 19, 0];[0, 25, 4, 1, 0]",3,12.585654020309448
2021-01-31_22-41-34_782973,70100.0,"[0, 11, 8, 9, 10, 13, 12, 24, 3, 21, 2, 27, 7, 0];[0, 23, 6, 14, 15, 16, 22, 26, 5, 20, 18, 17, 19, 0];[0, 25, 4, 1, 0]",69900.0,"[0, 11, 9, 10, 8, 13, 12, 24, 3, 21, 2, 27, 7, 0];[0, 23, 6, 14, 15, 16, 26, 5, 22, 20, 18, 17, 19, 0];[0, 25, 4, 1, 0]",3,10.647720098495485
2021-01-31_22-41-49_464762,70100.0,"[0, 11, 8, 9, 10, 13, 12, 24, 3, 21, 2, 27, 7, 0];[0, 23, 6, 14, 15, 16, 22, 26, 5, 20, 18, 17, 19, 0];[0, 25, 4, 1, 0]",69900.0,"[0, 11, 9, 10, 8, 13, 12, 24, 3, 21, 2, 27, 7, 0];[0, 23, 6, 14, 15, 16, 26, 5, 22, 20, 18, 17, 19, 0];[0, 25, 4, 1, 0]",2,15.358065128326414
2021-01-31_22-42-08_962708,70100.0,"[0, 11, 8, 9, 10, 13, 12, 24, 3, 21, 2, 27, 7, 0];[0, 23, 6, 14, 15, 16, 22, 26, 5, 20, 18, 17, 19, 0];[0, 25, 4, 1, 0]",69900.0,"[0, 11, 9, 10, 8, 13, 12, 24, 3, 21, 2, 27, 7, 0];[0, 23, 6, 14, 15, 16, 26, 5, 22, 20, 18, 17, 19, 0];[0, 25, 4, 1, 0]",3,8.865949869155882
2021-01-31_22-42-21_736773,70100.0,"[0, 11, 8, 9, 10, 13, 12, 24, 3, 21, 2, 27, 7, 0];[0, 23, 6, 14, 15, 16, 22, 26, 5, 20, 18, 17, 19, 0];[0, 25, 4, 1, 0]",69900.0,"[0, 11, 9, 10, 8, 13, 12, 24, 3, 21, 2, 27, 7, 0];[0, 23, 6, 14, 15, 16, 26, 5, 22, 20, 18, 17, 19, 0];[0, 25, 4, 1, 0]",2,15.081764936447144
2021-01-31_22-42-40_425149,70100.0,"[0, 11, 8, 9, 10, 13, 12, 24, 3, 21, 2, 27, 7, 0];[0, 23, 6, 14, 15, 16, 22, 26, 5, 20, 18, 17, 19, 0];[0, 25, 4, 1, 0]",69700.0,"[0, 25, 4, 0];[0, 23, 6, 14, 15, 16, 26, 5, 20, 18, 17, 19, 0];[0, 11, 8, 10, 9, 1, 13, 22, 21, 12, 24, 3, 2, 27, 7, 0]",2,15.091128826141356
2021-01-31_22-42-58_393255,70100.0,"[0, 11, 8, 9, 10, 13, 12, 24, 3, 21, 2, 27, 7, 0];[0, 23, 6, 14, 15, 16, 22, 26, 5, 20, 18, 17, 19, 0];[0, 25, 4, 1, 0]",69800.0,"[0, 11, 10, 9, 8, 13, 21, 12, 24, 3, 2, 27, 7, 0];[0, 23, 6, 14, 15, 16, 26, 5, 22, 20, 18, 17, 19, 0];[0, 25, 4, 1, 0]",2,15.26479721069336
