it,instant,local_optimum_value
0,0.0,74300.0
1,0.3748600482940674,72500.0
2,0.7681469917297363,72500.0
3,1.0087947845458984,72500.0
4,1.35384202003479,72500.0
5,1.5930230617523193,72500.0
6,1.832803726196289,72500.0
7,2.283720016479492,72500.0
8,2.62738299369812,72500.0
9,2.9751479625701904,72500.0
10,3.2149341106414795,72500.0
11,3.8005928993225098,72500.0
12,4.140811920166016,72500.0
13,4.488189935684204,72500.0
14,4.850299835205078,72500.0
15,5.612228870391846,72500.0
16,5.981281042098999,72500.0
17,6.234135150909424,72500.0
18,6.69156289100647,72500.0
19,7.508103847503662,72500.0
20,7.967297077178955,72500.0
21,8.45228910446167,72500.0
