datetime_str,initial_solution_value,initial_solution_routes,local_optimum_value,local_optimum_routes,exit_condition,exec_time
2021-01-31_22-35-11_132139,75200.0,"[0, 11, 9, 8, 10, 13, 1, 0];[0, 12, 24, 3, 21, 2, 27, 7, 0];[0, 16, 23, 0];[0, 20, 18, 17, 19, 6, 14, 15, 22, 0];[0, 25, 26, 4, 5, 0]",73400.0,"[0, 11, 9, 8, 10, 13, 1, 0];[0, 12, 24, 3, 21, 2, 27, 7, 0];[0, 16, 23, 0];[0, 20, 18, 17, 19, 22, 6, 14, 15, 0];[0, 25, 26, 4, 5, 0]",2,15.183343172073364
2021-01-31_22-35-29_128195,75200.0,"[0, 11, 9, 8, 10, 13, 1, 0];[0, 12, 24, 3, 21, 2, 27, 7, 0];[0, 16, 23, 0];[0, 20, 18, 17, 19, 6, 14, 15, 22, 0];[0, 25, 26, 4, 5, 0]",73400.0,"[0, 11, 9, 8, 10, 13, 1, 0];[0, 12, 24, 3, 21, 2, 27, 7, 0];[0, 16, 23, 0];[0, 20, 18, 17, 19, 22, 6, 14, 15, 0];[0, 25, 26, 4, 5, 0]",2,15.145763874053955
2021-01-31_22-35-46_642558,75200.0,"[0, 11, 9, 8, 10, 13, 1, 0];[0, 12, 24, 3, 21, 2, 27, 7, 0];[0, 16, 23, 0];[0, 20, 18, 17, 19, 6, 14, 15, 22, 0];[0, 25, 26, 4, 5, 0]",73400.0,"[0, 11, 9, 8, 10, 13, 1, 0];[0, 12, 24, 3, 21, 2, 27, 7, 0];[0, 16, 23, 0];[0, 20, 18, 17, 19, 22, 6, 14, 15, 0];[0, 25, 26, 4, 5, 0]",2,15.300086975097654
2021-01-31_22-36-04_272158,75200.0,"[0, 11, 9, 8, 10, 13, 1, 0];[0, 12, 24, 3, 21, 2, 27, 7, 0];[0, 16, 23, 0];[0, 20, 18, 17, 19, 6, 14, 15, 22, 0];[0, 25, 26, 4, 5, 0]",73400.0,"[0, 11, 9, 8, 10, 13, 1, 0];[0, 12, 24, 3, 21, 2, 27, 7, 0];[0, 16, 23, 0];[0, 20, 18, 17, 19, 22, 6, 14, 15, 0];[0, 25, 26, 4, 5, 0]",3,11.365657091140747
2021-01-31_22-36-17_957702,75200.0,"[0, 11, 9, 8, 10, 13, 1, 0];[0, 12, 24, 3, 21, 2, 27, 7, 0];[0, 16, 23, 0];[0, 20, 18, 17, 19, 6, 14, 15, 22, 0];[0, 25, 26, 4, 5, 0]",73400.0,"[0, 11, 9, 8, 10, 13, 1, 0];[0, 12, 24, 3, 21, 2, 27, 7, 0];[0, 16, 23, 0];[0, 20, 18, 17, 19, 22, 6, 14, 15, 0];[0, 25, 26, 4, 5, 0]",2,15.224814891815186
2021-01-31_22-36-35_428940,75200.0,"[0, 11, 9, 8, 10, 13, 1, 0];[0, 12, 24, 3, 21, 2, 27, 7, 0];[0, 16, 23, 0];[0, 20, 18, 17, 19, 6, 14, 15, 22, 0];[0, 25, 26, 4, 5, 0]",73400.0,"[0, 11, 9, 8, 10, 13, 1, 0];[0, 12, 24, 3, 21, 2, 27, 7, 0];[0, 16, 23, 0];[0, 20, 18, 17, 19, 22, 6, 14, 15, 0];[0, 25, 26, 4, 5, 0]",2,15.32629680633545
2021-01-31_22-36-53_062497,75200.0,"[0, 11, 9, 8, 10, 13, 1, 0];[0, 12, 24, 3, 21, 2, 27, 7, 0];[0, 16, 23, 0];[0, 20, 18, 17, 19, 6, 14, 15, 22, 0];[0, 25, 26, 4, 5, 0]",73400.0,"[0, 11, 9, 8, 10, 13, 1, 0];[0, 12, 24, 3, 21, 2, 27, 7, 0];[0, 16, 23, 0];[0, 20, 18, 17, 19, 22, 6, 14, 15, 0];[0, 25, 26, 4, 5, 0]",2,15.103480815887453
2021-01-31_22-37-10_385566,75200.0,"[0, 11, 9, 8, 10, 13, 1, 0];[0, 12, 24, 3, 21, 2, 27, 7, 0];[0, 16, 23, 0];[0, 20, 18, 17, 19, 6, 14, 15, 22, 0];[0, 25, 26, 4, 5, 0]",73400.0,"[0, 11, 9, 8, 10, 13, 1, 0];[0, 12, 24, 3, 21, 2, 27, 7, 0];[0, 16, 23, 0];[0, 20, 18, 17, 19, 22, 6, 14, 15, 0];[0, 25, 26, 4, 5, 0]",2,15.012531995773315
2021-01-31_22-37-27_793041,75200.0,"[0, 11, 9, 8, 10, 13, 1, 0];[0, 12, 24, 3, 21, 2, 27, 7, 0];[0, 16, 23, 0];[0, 20, 18, 17, 19, 6, 14, 15, 22, 0];[0, 25, 26, 4, 5, 0]",73400.0,"[0, 11, 9, 8, 10, 13, 1, 0];[0, 12, 24, 3, 21, 2, 27, 7, 0];[0, 16, 23, 0];[0, 20, 18, 17, 19, 22, 6, 14, 15, 0];[0, 25, 26, 4, 5, 0]",3,8.425259828567505
2021-01-31_22-37-38_641735,75200.0,"[0, 11, 9, 8, 10, 13, 1, 0];[0, 12, 24, 3, 21, 2, 27, 7, 0];[0, 16, 23, 0];[0, 20, 18, 17, 19, 6, 14, 15, 22, 0];[0, 25, 26, 4, 5, 0]",73400.0,"[0, 11, 9, 8, 10, 13, 1, 0];[0, 12, 24, 3, 21, 2, 27, 7, 0];[0, 16, 23, 0];[0, 20, 18, 17, 19, 22, 6, 14, 15, 0];[0, 25, 26, 4, 5, 0]",3,10.869730949401855
