datetime_str,initial_solution_value,initial_solution_routes,local_optimum_value,local_optimum_routes,exit_condition,exec_time
2021-01-31_22-26-45_053276,40203.0,"[0, 21, 16, 2, 4, 6, 3, 5, 9, 1, 24, 11, 15, 18, 19, 8, 23, 22, 27, 26, 7, 10, 12, 14, 13, 25, 20, 17, 0]",38475.0,"[0, 21, 16, 2, 4, 3, 5, 6, 9, 1, 11, 15, 18, 19, 8, 23, 22, 27, 26, 7, 10, 12, 14, 24, 13, 25, 20, 17, 0]",2,15.062939882278442
2021-01-31_22-27-02_568387,40203.0,"[0, 21, 16, 2, 4, 6, 3, 5, 9, 1, 24, 11, 15, 18, 19, 8, 23, 22, 27, 26, 7, 10, 12, 14, 13, 25, 20, 17, 0]",38475.0,"[0, 21, 16, 2, 4, 3, 5, 6, 9, 1, 11, 15, 18, 19, 8, 23, 22, 27, 26, 7, 10, 12, 14, 24, 13, 25, 20, 17, 0]",2,15.013056993484495
2021-01-31_22-27-20_052786,40203.0,"[0, 21, 16, 2, 4, 6, 3, 5, 9, 1, 24, 11, 15, 18, 19, 8, 23, 22, 27, 26, 7, 10, 12, 14, 13, 25, 20, 17, 0]",39331.0,"[0, 21, 16, 2, 4, 5, 6, 9, 1, 11, 15, 18, 19, 8, 23, 22, 27, 26, 7, 10, 12, 14, 24, 13, 3, 25, 20, 17, 0]",2,15.17081594467163
2021-01-31_22-27-37_579922,40203.0,"[0, 21, 16, 2, 4, 6, 3, 5, 9, 1, 24, 11, 15, 18, 19, 8, 23, 22, 27, 26, 7, 10, 12, 14, 13, 25, 20, 17, 0]",38475.0,"[0, 21, 16, 2, 4, 3, 5, 6, 9, 1, 11, 15, 18, 19, 8, 23, 22, 27, 26, 7, 10, 12, 14, 24, 13, 25, 20, 17, 0]",2,15.196357011795044
2021-01-31_22-27-55_111591,40203.0,"[0, 21, 16, 2, 4, 6, 3, 5, 9, 1, 24, 11, 15, 18, 19, 8, 23, 22, 27, 26, 7, 10, 12, 14, 13, 25, 20, 17, 0]",38744.0,"[0, 21, 16, 2, 4, 3, 5, 6, 9, 1, 11, 15, 18, 19, 8, 23, 22, 27, 26, 10, 7, 12, 14, 24, 13, 25, 20, 17, 0]",2,15.296227931976318
2021-01-31_22-28-12_797921,40203.0,"[0, 21, 16, 2, 4, 6, 3, 5, 9, 1, 24, 11, 15, 18, 19, 8, 23, 22, 27, 26, 7, 10, 12, 14, 13, 25, 20, 17, 0]",37978.0,"[0, 21, 16, 2, 4, 3, 5, 6, 9, 1, 15, 11, 18, 19, 8, 23, 22, 27, 26, 7, 10, 12, 14, 24, 13, 25, 20, 17, 0]",2,15.283890962600708
2021-01-31_22-28-30_488883,40203.0,"[0, 21, 16, 2, 4, 6, 3, 5, 9, 1, 24, 11, 15, 18, 19, 8, 23, 22, 27, 26, 7, 10, 12, 14, 13, 25, 20, 17, 0]",39331.0,"[0, 21, 16, 2, 4, 5, 6, 9, 1, 11, 15, 18, 19, 8, 23, 22, 27, 26, 7, 10, 12, 14, 24, 13, 3, 25, 20, 17, 0]",2,15.17553424835205
2021-01-31_22-28-48_152546,40203.0,"[0, 21, 16, 2, 4, 6, 3, 5, 9, 1, 24, 11, 15, 18, 19, 8, 23, 22, 27, 26, 7, 10, 12, 14, 13, 25, 20, 17, 0]",37978.0,"[0, 21, 16, 2, 4, 3, 5, 6, 9, 1, 15, 11, 18, 19, 8, 23, 22, 27, 26, 7, 10, 12, 14, 24, 13, 25, 20, 17, 0]",2,15.151013851165773
2021-01-31_22-29-05_904642,40203.0,"[0, 21, 16, 2, 4, 6, 3, 5, 9, 1, 24, 11, 15, 18, 19, 8, 23, 22, 27, 26, 7, 10, 12, 14, 13, 25, 20, 17, 0]",39376.0,"[0, 21, 16, 2, 4, 3, 5, 9, 1, 11, 15, 18, 19, 8, 23, 22, 27, 26, 7, 10, 12, 14, 24, 13, 6, 25, 20, 17, 0]",2,15.320927858352661
2021-01-31_22-29-24_002948,40203.0,"[0, 21, 16, 2, 4, 6, 3, 5, 9, 1, 24, 11, 15, 18, 19, 8, 23, 22, 27, 26, 7, 10, 12, 14, 13, 25, 20, 17, 0]",37828.0,"[0, 21, 16, 2, 4, 3, 5, 6, 9, 1, 11, 15, 18, 19, 8, 23, 22, 27, 26, 7, 10, 12, 14, 24, 13, 25, 17, 20, 0]",2,15.082931995391846
