it,instant,local_optimum_value
0,0.0,49843.0
1,1.8091115951538086,47173.0
2,2.1444597244262695,47173.0
3,2.5037336349487305,47173.0
4,2.9490396976470947,47173.0
5,3.3075757026672363,47173.0
6,3.6445858478546143,47173.0
7,4.001762628555298,47173.0
8,4.340338945388794,47173.0
9,4.692523002624512,47173.0
10,5.479382753372192,47173.0
11,6.043715715408325,47173.0
12,6.402419805526733,47173.0
13,6.879160642623901,47173.0
14,7.233640909194946,47173.0
15,7.569692850112915,47173.0
16,7.9300377368927,47173.0
17,8.494810819625854,47173.0
18,8.853535890579224,47173.0
19,9.197392702102661,47173.0
20,9.551846742630005,47173.0
21,10.014136791229248,47173.0
22,10.369646787643433,47173.0
23,11.04018783569336,47173.0
24,11.372410774230957,47173.0
25,11.733637809753418,47173.0
26,12.652463674545288,47173.0
27,13.43482756614685,47173.0
28,14.25454068183899,47173.0
29,14.938623905181885,47173.0
30,15.620552778244019,47173.0
