datetime_str,initial_solution_value,initial_solution_routes,local_optimum_value,local_optimum_routes,exit_condition,exec_time
2021-01-31_22-22-32_675312,49843.0,"[0, 19, 8, 23, 22, 10, 14, 1, 24, 2, 13, 16, 21, 0];[0, 20, 17, 25, 12, 7, 27, 26, 18, 11, 15, 4, 6, 3, 5, 9, 0]",47063.0,"[0, 1, 19, 8, 23, 22, 10, 24, 2, 16, 21, 0];[0, 17, 20, 25, 13, 14, 12, 7, 27, 26, 18, 11, 15, 4, 3, 5, 6, 9, 0]",2,26.54222321510315
2021-01-31_22-23-01_387179,49843.0,"[0, 19, 8, 23, 22, 10, 14, 1, 24, 2, 13, 16, 21, 0];[0, 20, 17, 25, 12, 7, 27, 26, 18, 11, 15, 4, 6, 3, 5, 9, 0]",47063.0,"[0, 1, 19, 8, 23, 22, 10, 24, 2, 16, 21, 0];[0, 17, 20, 25, 13, 14, 12, 7, 27, 26, 18, 11, 15, 4, 3, 5, 6, 9, 0]",2,26.02802801132202
2021-01-31_22-23-29_560454,49843.0,"[0, 19, 8, 23, 22, 10, 14, 1, 24, 2, 13, 16, 21, 0];[0, 20, 17, 25, 12, 7, 27, 26, 18, 11, 15, 4, 6, 3, 5, 9, 0]",47094.0,"[0, 1, 19, 8, 23, 22, 10, 24, 13, 16, 21, 0];[0, 17, 20, 25, 2, 14, 12, 7, 27, 26, 18, 11, 15, 4, 3, 5, 6, 9, 0]",2,25.53090786933899
2021-01-31_22-23-57_242232,49843.0,"[0, 19, 8, 23, 22, 10, 14, 1, 24, 2, 13, 16, 21, 0];[0, 20, 17, 25, 12, 7, 27, 26, 18, 11, 15, 4, 6, 3, 5, 9, 0]",47173.0,"[0, 13, 19, 8, 23, 22, 10, 14, 24, 16, 21, 0];[0, 17, 20, 25, 2, 1, 12, 7, 27, 26, 18, 11, 15, 4, 3, 5, 6, 9, 0]",2,15.624023914337158
2021-01-31_22-24-14_985691,49843.0,"[0, 19, 8, 23, 22, 10, 14, 1, 24, 2, 13, 16, 21, 0];[0, 20, 17, 25, 12, 7, 27, 26, 18, 11, 15, 4, 6, 3, 5, 9, 0]",47537.0,"[0, 17, 20, 25, 2, 1, 12, 7, 27, 26, 18, 11, 15, 4, 3, 5, 6, 9, 0];[0, 19, 8, 23, 22, 10, 14, 24, 13, 16, 21, 0]",2,15.308037042617798
2021-01-31_22-24-32_407310,49843.0,"[0, 19, 8, 23, 22, 10, 14, 1, 24, 2, 13, 16, 21, 0];[0, 20, 17, 25, 12, 7, 27, 26, 18, 11, 15, 4, 6, 3, 5, 9, 0]",47094.0,"[0, 17, 20, 25, 2, 14, 12, 7, 27, 26, 18, 11, 15, 4, 3, 5, 6, 9, 0];[0, 1, 19, 8, 23, 22, 10, 24, 13, 16, 21, 0]",2,15.1580228805542
2021-01-31_22-24-49_774682,49843.0,"[0, 19, 8, 23, 22, 10, 14, 1, 24, 2, 13, 16, 21, 0];[0, 20, 17, 25, 12, 7, 27, 26, 18, 11, 15, 4, 6, 3, 5, 9, 0]",49347.0,"[0, 20, 17, 25, 12, 14, 7, 27, 26, 18, 11, 15, 4, 6, 3, 5, 9, 0];[0, 1, 19, 8, 23, 22, 10, 24, 2, 13, 16, 21, 0]",2,24.64362120628357
2021-01-31_22-25-16_741169,49843.0,"[0, 19, 8, 23, 22, 10, 14, 1, 24, 2, 13, 16, 21, 0];[0, 20, 17, 25, 12, 7, 27, 26, 18, 11, 15, 4, 6, 3, 5, 9, 0]",48074.0,"[0, 1, 19, 8, 23, 22, 10, 14, 24, 2, 13, 16, 21, 0];[0, 20, 17, 25, 6, 12, 7, 27, 26, 18, 11, 15, 4, 3, 5, 9, 0]",2,15.033751010894775
2021-01-31_22-25-36_265776,49843.0,"[0, 19, 8, 23, 22, 10, 14, 1, 24, 2, 13, 16, 21, 0];[0, 20, 17, 25, 12, 7, 27, 26, 18, 11, 15, 4, 6, 3, 5, 9, 0]",47063.0,"[0, 1, 19, 8, 23, 22, 10, 24, 2, 16, 21, 0];[0, 17, 20, 25, 13, 14, 12, 7, 27, 26, 18, 11, 15, 4, 3, 5, 6, 9, 0]",2,16.194267988204956
2021-01-31_22-25-56_988584,49843.0,"[0, 19, 8, 23, 22, 10, 14, 1, 24, 2, 13, 16, 21, 0];[0, 20, 17, 25, 12, 7, 27, 26, 18, 11, 15, 4, 6, 3, 5, 9, 0]",48259.0,"[0, 1, 19, 8, 23, 22, 10, 14, 24, 2, 13, 16, 21, 0];[0, 20, 17, 25, 5, 12, 7, 27, 26, 18, 11, 15, 4, 6, 3, 9, 0]",2,15.078622102737427
