datetime_str,initial_solution_value,initial_solution_routes,local_optimum_value,local_optimum_routes,exit_condition,exec_time
2021-01-31_22-11-47_007360,71217.0,"[0, 6, 19, 4, 3, 8, 9, 15, 16, 18, 17, 28, 27, 26, 7, 10, 11, 12, 30, 29, 37, 13, 36, 14, 1, 0];[0, 40, 39, 38, 33, 2, 5, 20, 31, 22, 32, 21, 23, 34, 35, 25, 24, 0]",61301.0,"[0, 40, 39, 38, 33, 34, 35, 25, 24, 23, 32, 22, 21, 31, 20, 0];[0, 2, 5, 4, 3, 8, 15, 16, 17, 18, 19, 6, 7, 26, 27, 28, 9, 10, 11, 12, 13, 36, 37, 29, 30, 14, 1, 0]",2,59.82554078102112
2021-01-31_22-12-51_159388,71217.0,"[0, 6, 19, 4, 3, 8, 9, 15, 16, 18, 17, 28, 27, 26, 7, 10, 11, 12, 30, 29, 37, 13, 36, 14, 1, 0];[0, 40, 39, 38, 33, 2, 5, 20, 31, 22, 32, 21, 23, 34, 35, 25, 24, 0]",62708.0,"[0, 40, 39, 38, 33, 21, 31, 20, 32, 22, 23, 34, 35, 25, 24, 0];[0, 2, 5, 4, 3, 8, 15, 16, 17, 18, 19, 6, 7, 26, 27, 28, 9, 10, 11, 12, 13, 36, 37, 29, 30, 14, 1, 0]",2,43.06134796142578
2021-01-31_22-13-38_286915,71217.0,"[0, 6, 19, 4, 3, 8, 9, 15, 16, 18, 17, 28, 27, 26, 7, 10, 11, 12, 30, 29, 37, 13, 36, 14, 1, 0];[0, 40, 39, 38, 33, 2, 5, 20, 31, 22, 32, 21, 23, 34, 35, 25, 24, 0]",61301.0,"[0, 40, 39, 38, 33, 34, 35, 25, 24, 23, 32, 22, 21, 31, 20, 0];[0, 2, 5, 4, 3, 8, 15, 16, 17, 18, 19, 6, 7, 26, 27, 28, 9, 10, 11, 12, 13, 36, 37, 29, 30, 14, 1, 0]",2,56.185899019241326
2021-01-31_22-14-38_707889,71217.0,"[0, 6, 19, 4, 3, 8, 9, 15, 16, 18, 17, 28, 27, 26, 7, 10, 11, 12, 30, 29, 37, 13, 36, 14, 1, 0];[0, 40, 39, 38, 33, 2, 5, 20, 31, 22, 32, 21, 23, 34, 35, 25, 24, 0]",60853.0,"[0, 40, 39, 38, 33, 34, 35, 25, 24, 23, 32, 22, 21, 31, 20, 2, 0];[0, 5, 4, 3, 8, 15, 16, 17, 18, 19, 6, 7, 26, 27, 28, 9, 10, 11, 12, 13, 36, 37, 29, 30, 14, 1, 0]",2,51.55349493026733
2021-01-31_22-15-34_693696,71217.0,"[0, 6, 19, 4, 3, 8, 9, 15, 16, 18, 17, 28, 27, 26, 7, 10, 11, 12, 30, 29, 37, 13, 36, 14, 1, 0];[0, 40, 39, 38, 33, 2, 5, 20, 31, 22, 32, 21, 23, 34, 35, 25, 24, 0]",61301.0,"[0, 40, 39, 38, 33, 34, 35, 25, 24, 23, 32, 22, 21, 31, 20, 0];[0, 2, 5, 4, 3, 8, 15, 16, 17, 18, 19, 6, 7, 26, 27, 28, 9, 10, 11, 12, 13, 36, 37, 29, 30, 14, 1, 0]",2,54.58045625686646
2021-01-31_22-16-33_675392,71217.0,"[0, 6, 19, 4, 3, 8, 9, 15, 16, 18, 17, 28, 27, 26, 7, 10, 11, 12, 30, 29, 37, 13, 36, 14, 1, 0];[0, 40, 39, 38, 33, 2, 5, 20, 31, 22, 32, 21, 23, 34, 35, 25, 24, 0]",61301.0,"[0, 40, 39, 38, 33, 34, 35, 25, 24, 23, 32, 22, 21, 31, 20, 0];[0, 2, 5, 4, 3, 8, 15, 16, 17, 18, 19, 6, 7, 26, 27, 28, 9, 10, 11, 12, 13, 36, 37, 29, 30, 14, 1, 0]",2,55.23224902153015
2021-01-31_22-17-32_859434,71217.0,"[0, 6, 19, 4, 3, 8, 9, 15, 16, 18, 17, 28, 27, 26, 7, 10, 11, 12, 30, 29, 37, 13, 36, 14, 1, 0];[0, 40, 39, 38, 33, 2, 5, 20, 31, 22, 32, 21, 23, 34, 35, 25, 24, 0]",61301.0,"[0, 40, 39, 38, 33, 34, 35, 25, 24, 23, 32, 22, 21, 31, 20, 0];[0, 2, 5, 4, 3, 8, 15, 16, 17, 18, 19, 6, 7, 26, 27, 28, 9, 10, 11, 12, 13, 36, 37, 29, 30, 14, 1, 0]",2,53.12917613983154
2021-01-31_22-18-29_715768,71217.0,"[0, 6, 19, 4, 3, 8, 9, 15, 16, 18, 17, 28, 27, 26, 7, 10, 11, 12, 30, 29, 37, 13, 36, 14, 1, 0];[0, 40, 39, 38, 33, 2, 5, 20, 31, 22, 32, 21, 23, 34, 35, 25, 24, 0]",61301.0,"[0, 40, 39, 38, 33, 34, 35, 25, 24, 23, 32, 22, 21, 31, 20, 0];[0, 2, 5, 4, 3, 8, 15, 16, 17, 18, 19, 6, 7, 26, 27, 28, 9, 10, 11, 12, 13, 36, 37, 29, 30, 14, 1, 0]",2,56.62919592857361
2021-01-31_22-19-30_372123,71217.0,"[0, 6, 19, 4, 3, 8, 9, 15, 16, 18, 17, 28, 27, 26, 7, 10, 11, 12, 30, 29, 37, 13, 36, 14, 1, 0];[0, 40, 39, 38, 33, 2, 5, 20, 31, 22, 32, 21, 23, 34, 35, 25, 24, 0]",61301.0,"[0, 40, 39, 38, 33, 34, 35, 25, 24, 23, 32, 22, 21, 31, 20, 0];[0, 2, 5, 4, 3, 8, 15, 16, 17, 18, 19, 6, 7, 26, 27, 28, 9, 10, 11, 12, 13, 36, 37, 29, 30, 14, 1, 0]",2,55.34859800338745
2021-01-31_22-20-29_607780,71217.0,"[0, 6, 19, 4, 3, 8, 9, 15, 16, 18, 17, 28, 27, 26, 7, 10, 11, 12, 30, 29, 37, 13, 36, 14, 1, 0];[0, 40, 39, 38, 33, 2, 5, 20, 31, 22, 32, 21, 23, 34, 35, 25, 24, 0]",61301.0,"[0, 40, 39, 38, 33, 34, 35, 25, 24, 23, 32, 22, 21, 31, 20, 0];[0, 2, 5, 4, 3, 8, 15, 16, 17, 18, 19, 6, 7, 26, 27, 28, 9, 10, 11, 12, 13, 36, 37, 29, 30, 14, 1, 0]",2,58.49569797515869
