datetime_str,initial_solution_value,initial_solution_routes,local_optimum_value,local_optimum_routes,exit_condition,exec_time
2021-01-31_22-05-24_473498,73243.0,"[0, 1, 40, 39, 38, 33, 0];[0, 2, 5, 20, 31, 22, 32, 21, 23, 34, 35, 25, 24, 0];[0, 6, 19, 4, 3, 8, 9, 15, 16, 18, 17, 28, 27, 26, 7, 10, 11, 12, 30, 29, 37, 13, 36, 14, 0]",64692.0,"[0, 40, 39, 33, 38, 0];[0, 5, 19, 20, 22, 34, 35, 25, 24, 23, 32, 21, 31, 2, 0];[0, 1, 4, 3, 8, 15, 16, 17, 18, 27, 6, 7, 26, 28, 9, 10, 11, 12, 30, 29, 37, 13, 36, 14, 0]",2,22.621221780776978
2021-01-31_22-05-51_208131,73243.0,"[0, 1, 40, 39, 38, 33, 0];[0, 2, 5, 20, 31, 22, 32, 21, 23, 34, 35, 25, 24, 0];[0, 6, 19, 4, 3, 8, 9, 15, 16, 18, 17, 28, 27, 26, 7, 10, 11, 12, 30, 29, 37, 13, 36, 14, 0]",64246.0,"[0, 40, 39, 33, 38, 0];[0, 4, 3, 8, 15, 16, 17, 6, 7, 26, 27, 28, 9, 10, 12, 11, 30, 37, 29, 13, 36, 14, 1, 0];[0, 5, 19, 20, 31, 18, 21, 34, 35, 25, 24, 23, 32, 22, 2, 0]",2,31.23632979393005
2021-01-31_22-06-26_441817,73243.0,"[0, 1, 40, 39, 38, 33, 0];[0, 2, 5, 20, 31, 22, 32, 21, 23, 34, 35, 25, 24, 0];[0, 6, 19, 4, 3, 8, 9, 15, 16, 18, 17, 28, 27, 26, 7, 10, 11, 12, 30, 29, 37, 13, 36, 14, 0]",64246.0,"[0, 40, 39, 33, 38, 0];[0, 4, 3, 8, 15, 16, 17, 6, 7, 26, 27, 28, 9, 10, 12, 11, 30, 37, 29, 13, 36, 14, 1, 0];[0, 5, 19, 20, 31, 18, 21, 34, 35, 25, 24, 23, 32, 22, 2, 0]",2,33.95650720596313
2021-01-31_22-07-04_434091,73243.0,"[0, 1, 40, 39, 38, 33, 0];[0, 2, 5, 20, 31, 22, 32, 21, 23, 34, 35, 25, 24, 0];[0, 6, 19, 4, 3, 8, 9, 15, 16, 18, 17, 28, 27, 26, 7, 10, 11, 12, 30, 29, 37, 13, 36, 14, 0]",64531.0,"[0, 40, 39, 33, 38, 0];[0, 4, 3, 8, 15, 18, 17, 6, 7, 26, 27, 28, 9, 10, 12, 11, 30, 37, 29, 13, 36, 14, 1, 0];[0, 5, 19, 31, 20, 32, 21, 22, 23, 34, 35, 25, 24, 16, 2, 0]",2,26.094412803649906
2021-01-31_22-07-34_612536,73243.0,"[0, 1, 40, 39, 38, 33, 0];[0, 2, 5, 20, 31, 22, 32, 21, 23, 34, 35, 25, 24, 0];[0, 6, 19, 4, 3, 8, 9, 15, 16, 18, 17, 28, 27, 26, 7, 10, 11, 12, 30, 29, 37, 13, 36, 14, 0]",64246.0,"[0, 40, 39, 33, 38, 0];[0, 5, 19, 20, 31, 18, 21, 34, 35, 25, 24, 23, 32, 22, 2, 0];[0, 4, 3, 8, 15, 16, 17, 6, 7, 26, 27, 28, 9, 10, 12, 11, 30, 37, 29, 13, 36, 14, 1, 0]",2,33.064827919006355
2021-01-31_22-08-11_907902,73243.0,"[0, 1, 40, 39, 38, 33, 0];[0, 2, 5, 20, 31, 22, 32, 21, 23, 34, 35, 25, 24, 0];[0, 6, 19, 4, 3, 8, 9, 15, 16, 18, 17, 28, 27, 26, 7, 10, 11, 12, 30, 29, 37, 13, 36, 14, 0]",64246.0,"[0, 40, 39, 33, 38, 0];[0, 4, 3, 8, 15, 16, 17, 6, 7, 26, 27, 28, 9, 10, 12, 11, 30, 37, 29, 13, 36, 14, 1, 0];[0, 5, 19, 20, 31, 18, 21, 34, 35, 25, 24, 23, 32, 22, 2, 0]",2,31.92607426643372
2021-01-31_22-08-47_921000,73243.0,"[0, 1, 40, 39, 38, 33, 0];[0, 2, 5, 20, 31, 22, 32, 21, 23, 34, 35, 25, 24, 0];[0, 6, 19, 4, 3, 8, 9, 15, 16, 18, 17, 28, 27, 26, 7, 10, 11, 12, 30, 29, 37, 13, 36, 14, 0]",64246.0,"[0, 40, 39, 33, 38, 0];[0, 4, 3, 8, 15, 16, 17, 6, 7, 26, 27, 28, 9, 10, 12, 11, 30, 37, 29, 13, 36, 14, 1, 0];[0, 5, 19, 20, 31, 18, 21, 34, 35, 25, 24, 23, 32, 22, 2, 0]",2,32.84430313110352
2021-01-31_22-09-25_076800,73243.0,"[0, 1, 40, 39, 38, 33, 0];[0, 2, 5, 20, 31, 22, 32, 21, 23, 34, 35, 25, 24, 0];[0, 6, 19, 4, 3, 8, 9, 15, 16, 18, 17, 28, 27, 26, 7, 10, 11, 12, 30, 29, 37, 13, 36, 14, 0]",64246.0,"[0, 40, 39, 33, 38, 0];[0, 4, 3, 8, 15, 16, 17, 6, 7, 26, 27, 28, 9, 10, 12, 11, 30, 37, 29, 13, 36, 14, 1, 0];[0, 5, 19, 20, 31, 18, 21, 34, 35, 25, 24, 23, 32, 22, 2, 0]",2,33.102271318435676
2021-01-31_22-10-02_237072,73243.0,"[0, 1, 40, 39, 38, 33, 0];[0, 2, 5, 20, 31, 22, 32, 21, 23, 34, 35, 25, 24, 0];[0, 6, 19, 4, 3, 8, 9, 15, 16, 18, 17, 28, 27, 26, 7, 10, 11, 12, 30, 29, 37, 13, 36, 14, 0]",64186.0,"[0, 40, 39, 33, 38, 0];[0, 3, 8, 15, 16, 17, 18, 6, 7, 26, 27, 28, 9, 10, 11, 12, 30, 37, 29, 13, 36, 14, 0];[0, 1, 4, 5, 19, 20, 22, 34, 35, 25, 24, 23, 32, 21, 31, 2, 0]",2,27.50316286087036
2021-01-31_22-10-33_814110,73243.0,"[0, 1, 40, 39, 38, 33, 0];[0, 2, 5, 20, 31, 22, 32, 21, 23, 34, 35, 25, 24, 0];[0, 6, 19, 4, 3, 8, 9, 15, 16, 18, 17, 28, 27, 26, 7, 10, 11, 12, 30, 29, 37, 13, 36, 14, 0]",64246.0,"[0, 40, 39, 33, 38, 0];[0, 5, 19, 20, 31, 18, 21, 34, 35, 25, 24, 23, 32, 22, 2, 0];[0, 4, 3, 8, 15, 16, 17, 6, 7, 26, 27, 28, 9, 10, 12, 11, 30, 37, 29, 13, 36, 14, 1, 0]",2,33.411235094070435
