it,instant,local_optimum_value
0,0.0,76663.0
1,0.13643908500671387,76663.0
2,0.723841667175293,74577.0
3,0.8419110774993896,74577.0
4,1.0809617042541504,74577.0
5,1.1929490566253662,74577.0
6,1.4293577671051025,74577.0
7,1.546536922454834,74577.0
8,1.8887419700622559,74577.0
9,2.1170408725738525,74577.0
10,2.467010736465454,74577.0
11,2.5842199325561523,74577.0
12,2.8231348991394043,74577.0
13,2.9412529468536377,74577.0
14,3.1736137866973877,74577.0
15,3.292092800140381,74577.0
16,3.5274569988250732,74577.0
17,3.6420087814331055,74577.0
18,3.8786470890045166,74577.0
19,3.99615478515625,74577.0
20,4.2300989627838135,74577.0
21,4.348431825637817,74577.0
22,4.585817813873291,74577.0
23,4.699261903762817,74577.0
24,4.9372878074646,74577.0
25,5.051127672195435,74577.0
26,5.289676666259766,74577.0
27,5.404528856277466,74577.0
28,5.63901686668396,74577.0
29,5.756331920623779,74577.0
30,6.099061965942383,74577.0
31,6.331193923950195,74577.0
32,6.6911139488220215,74577.0
33,6.8086841106414795,74577.0
34,7.043880939483643,74577.0
35,7.161708116531372,74577.0
36,7.398546934127808,74577.0
37,7.516491889953613,74577.0
38,7.751227855682373,74577.0
39,7.8691840171813965,74577.0
40,8.105674982070923,74577.0
41,8.222039699554443,74577.0
42,8.460738897323608,74577.0
43,8.579231977462769,74577.0
44,8.818229913711548,74577.0
45,8.932349920272827,74577.0
46,9.170547008514404,74577.0
47,9.283411026000977,74577.0
48,9.519409894943237,74577.0
49,9.637463808059692,74577.0
50,9.874433755874634,74577.0
51,9.99253511428833,74577.0
52,10.331607103347778,74577.0
53,10.44678783416748,74577.0
54,10.68061900138855,74577.0
55,10.79636287689209,74577.0
56,11.03031611442566,74577.0
57,11.147893905639648,74577.0
58,11.385191917419434,74577.0
59,11.499744892120361,74577.0
60,11.737874984741211,74577.0
61,11.855824947357178,74577.0
62,12.092581748962402,74577.0
63,12.210156679153442,74577.0
64,12.448851823806763,74577.0
65,12.567012786865234,74577.0
66,12.80426812171936,74577.0
67,12.922630786895752,74577.0
68,13.157553911209106,74577.0
69,13.275054931640625,74577.0
70,13.513782978057861,74577.0
71,13.628008842468262,74577.0
72,13.866408824920654,74577.0
73,13.984340906143188,74577.0
74,14.552219867706299,74577.0
75,14.666980743408203,74577.0
76,14.905629873275757,74577.0
77,15.019235849380493,74577.0
