it,instant,local_optimum_value
0,0.0,76663.0
1,0.12429618835449219,76663.0
2,0.8319058418273926,74577.0
3,0.949843168258667,74577.0
4,1.2996940612792969,74577.0
5,1.4146552085876465,74577.0
6,1.9841060638427734,74577.0
7,2.104059934616089,74577.0
8,2.4612090587615967,74577.0
9,2.576446056365967,74577.0
10,2.932302951812744,74577.0
11,3.0470738410949707,74577.0
12,3.3979039192199707,74577.0
13,3.5110719203948975,74577.0
14,3.8659491539001465,74577.0
15,3.9794259071350098,74577.0
16,4.335479021072388,74577.0
17,4.449612855911255,74577.0
18,4.80361795425415,74577.0
19,4.921365976333618,74577.0
20,5.277389049530029,74577.0
21,5.395216941833496,74577.0
22,5.745581865310669,74577.0
23,5.86430811882019,74577.0
24,6.4341349601745605,74577.0
25,6.54639196395874,74577.0
26,6.904987096786499,74577.0
27,7.019796133041382,74577.0
28,7.374305009841919,74577.0
29,7.4907660484313965,74577.0
30,7.843291997909546,74577.0
31,7.960942029953003,74577.0
32,8.317234992980957,74577.0
33,8.432615041732788,74577.0
34,8.786078214645386,74577.0
35,8.90109395980835,74577.0
36,9.257185935974121,74577.0
37,9.374965906143188,74577.0
38,9.952663898468018,74577.0
39,10.07299017906189,74577.0
40,10.420040130615234,74577.0
41,10.537776947021484,74577.0
42,10.892736911773682,74577.0
43,11.005472898483276,74577.0
44,11.35926604270935,74577.0
45,11.473010063171387,74577.0
46,11.829056978225708,74577.0
47,11.946789026260376,74577.0
48,12.297250032424927,74577.0
49,12.412827014923096,74577.0
50,12.763511896133423,74577.0
51,12.882292032241821,74577.0
52,13.454504013061523,74577.0
53,13.574473142623901,74577.0
54,13.929033756256104,74577.0
55,14.046823978424072,74577.0
56,14.398278951644897,74577.0
57,14.511327028274536,74577.0
58,14.866400003433228,74577.0
59,14.979766845703125,74577.0
60,15.328739881515503,74577.0
