datetime_str,initial_solution_value,initial_solution_routes,local_optimum_value,local_optimum_routes,exit_condition,exec_time
2021-01-31_22-02-05_179561,76663.0,"[0, 5, 3, 8, 9, 15, 16, 18, 17, 28, 6, 4, 1, 0];[0, 22, 32, 21, 20, 31, 23, 34, 35, 25, 24, 0];[0, 39, 38, 33, 2, 19, 27, 26, 7, 10, 11, 12, 30, 29, 37, 13, 36, 14, 0];[0, 40, 0]",74577.0,"[0, 5, 3, 8, 9, 15, 16, 18, 17, 28, 6, 4, 1, 0];[0, 22, 32, 21, 20, 31, 23, 34, 35, 25, 24, 0];[0, 33, 38, 39, 2, 7, 27, 26, 19, 10, 12, 11, 30, 29, 37, 13, 36, 14, 0];[0, 40, 0]",2,15.321816205978394
2021-01-31_22-02-23_350792,76663.0,"[0, 5, 3, 8, 9, 15, 16, 18, 17, 28, 6, 4, 1, 0];[0, 22, 32, 21, 20, 31, 23, 34, 35, 25, 24, 0];[0, 39, 38, 33, 2, 19, 27, 26, 7, 10, 11, 12, 30, 29, 37, 13, 36, 14, 0];[0, 40, 0]",74577.0,"[0, 5, 3, 8, 9, 15, 16, 18, 17, 28, 6, 4, 1, 0];[0, 22, 32, 21, 20, 31, 23, 34, 35, 25, 24, 0];[0, 33, 38, 39, 2, 7, 27, 26, 19, 10, 12, 11, 30, 29, 37, 13, 36, 14, 0];[0, 40, 0]",2,15.267199993133545
2021-01-31_22-02-41_425633,76663.0,"[0, 5, 3, 8, 9, 15, 16, 18, 17, 28, 6, 4, 1, 0];[0, 22, 32, 21, 20, 31, 23, 34, 35, 25, 24, 0];[0, 39, 38, 33, 2, 19, 27, 26, 7, 10, 11, 12, 30, 29, 37, 13, 36, 14, 0];[0, 40, 0]",74577.0,"[0, 5, 3, 8, 9, 15, 16, 18, 17, 28, 6, 4, 1, 0];[0, 22, 32, 21, 20, 31, 23, 34, 35, 25, 24, 0];[0, 33, 38, 39, 2, 7, 27, 26, 19, 10, 12, 11, 30, 29, 37, 13, 36, 14, 0];[0, 40, 0]",2,15.004493951797485
2021-01-31_22-02-59_193345,76663.0,"[0, 5, 3, 8, 9, 15, 16, 18, 17, 28, 6, 4, 1, 0];[0, 22, 32, 21, 20, 31, 23, 34, 35, 25, 24, 0];[0, 39, 38, 33, 2, 19, 27, 26, 7, 10, 11, 12, 30, 29, 37, 13, 36, 14, 0];[0, 40, 0]",74577.0,"[0, 5, 3, 8, 9, 15, 16, 18, 17, 28, 6, 4, 1, 0];[0, 22, 32, 21, 20, 31, 23, 34, 35, 25, 24, 0];[0, 33, 38, 39, 2, 7, 27, 26, 19, 10, 12, 11, 30, 29, 37, 13, 36, 14, 0];[0, 40, 0]",2,15.250777959823608
2021-01-31_22-03-17_513706,76663.0,"[0, 5, 3, 8, 9, 15, 16, 18, 17, 28, 6, 4, 1, 0];[0, 22, 32, 21, 20, 31, 23, 34, 35, 25, 24, 0];[0, 39, 38, 33, 2, 19, 27, 26, 7, 10, 11, 12, 30, 29, 37, 13, 36, 14, 0];[0, 40, 0]",74577.0,"[0, 5, 3, 8, 9, 15, 16, 18, 17, 28, 6, 4, 1, 0];[0, 22, 32, 21, 20, 31, 23, 34, 35, 25, 24, 0];[0, 33, 38, 39, 2, 7, 27, 26, 19, 10, 12, 11, 30, 29, 37, 13, 36, 14, 0];[0, 40, 0]",2,15.03789520263672
2021-01-31_22-03-35_601320,76663.0,"[0, 5, 3, 8, 9, 15, 16, 18, 17, 28, 6, 4, 1, 0];[0, 22, 32, 21, 20, 31, 23, 34, 35, 25, 24, 0];[0, 39, 38, 33, 2, 19, 27, 26, 7, 10, 11, 12, 30, 29, 37, 13, 36, 14, 0];[0, 40, 0]",74577.0,"[0, 5, 3, 8, 9, 15, 16, 18, 17, 28, 6, 4, 1, 0];[0, 22, 32, 21, 20, 31, 23, 34, 35, 25, 24, 0];[0, 33, 38, 39, 2, 7, 27, 26, 19, 10, 12, 11, 30, 29, 37, 13, 36, 14, 0];[0, 40, 0]",2,15.234812021255493
2021-01-31_22-03-53_717477,76663.0,"[0, 5, 3, 8, 9, 15, 16, 18, 17, 28, 6, 4, 1, 0];[0, 22, 32, 21, 20, 31, 23, 34, 35, 25, 24, 0];[0, 39, 38, 33, 2, 19, 27, 26, 7, 10, 11, 12, 30, 29, 37, 13, 36, 14, 0];[0, 40, 0]",74577.0,"[0, 5, 3, 8, 9, 15, 16, 18, 17, 28, 6, 4, 1, 0];[0, 22, 32, 21, 20, 31, 23, 34, 35, 25, 24, 0];[0, 33, 38, 39, 2, 7, 27, 26, 19, 10, 12, 11, 30, 29, 37, 13, 36, 14, 0];[0, 40, 0]",2,15.307740211486815
2021-01-31_22-04-11_892744,76663.0,"[0, 5, 3, 8, 9, 15, 16, 18, 17, 28, 6, 4, 1, 0];[0, 22, 32, 21, 20, 31, 23, 34, 35, 25, 24, 0];[0, 39, 38, 33, 2, 19, 27, 26, 7, 10, 11, 12, 30, 29, 37, 13, 36, 14, 0];[0, 40, 0]",74577.0,"[0, 5, 3, 8, 9, 15, 16, 18, 17, 28, 6, 4, 1, 0];[0, 22, 32, 21, 20, 31, 23, 34, 35, 25, 24, 0];[0, 33, 38, 39, 2, 7, 27, 26, 19, 10, 12, 11, 30, 29, 37, 13, 36, 14, 0];[0, 40, 0]",2,15.079293966293335
2021-01-31_22-04-30_399002,76663.0,"[0, 5, 3, 8, 9, 15, 16, 18, 17, 28, 6, 4, 1, 0];[0, 22, 32, 21, 20, 31, 23, 34, 35, 25, 24, 0];[0, 39, 38, 33, 2, 19, 27, 26, 7, 10, 11, 12, 30, 29, 37, 13, 36, 14, 0];[0, 40, 0]",74577.0,"[0, 5, 3, 8, 9, 15, 16, 18, 17, 28, 6, 4, 1, 0];[0, 22, 32, 21, 20, 31, 23, 34, 35, 25, 24, 0];[0, 33, 38, 39, 2, 7, 27, 26, 19, 10, 12, 11, 30, 29, 37, 13, 36, 14, 0];[0, 40, 0]",2,15.017585754394533
2021-01-31_22-04-48_319146,76663.0,"[0, 5, 3, 8, 9, 15, 16, 18, 17, 28, 6, 4, 1, 0];[0, 22, 32, 21, 20, 31, 23, 34, 35, 25, 24, 0];[0, 39, 38, 33, 2, 19, 27, 26, 7, 10, 11, 12, 30, 29, 37, 13, 36, 14, 0];[0, 40, 0]",74577.0,"[0, 5, 3, 8, 9, 15, 16, 18, 17, 28, 6, 4, 1, 0];[0, 22, 32, 21, 20, 31, 23, 34, 35, 25, 24, 0];[0, 33, 38, 39, 2, 7, 27, 26, 19, 10, 12, 11, 30, 29, 37, 13, 36, 14, 0];[0, 40, 0]",2,15.330990076065063
