datetime_str,initial_solution_value,initial_solution_routes,local_optimum_value,local_optimum_routes,exit_condition,exec_time
2021-01-31_21-58-00_710160,48983.0,"[0, 8, 15, 2, 12, 44, 28, 38, 16, 23, 22, 33, 24, 30, 31, 3, 40, 29, 0];[0, 18, 43, 34, 5, 41, 11, 13, 27, 21, 36, 37, 1, 9, 17, 6, 10, 14, 4, 7, 42, 35, 0];[0, 32, 26, 20, 39, 19, 25, 0]",42553.0,"[0, 8, 38, 24, 30, 15, 2, 12, 44, 28, 16, 22, 33, 31, 3, 29, 23, 0];[0, 18, 43, 34, 5, 41, 11, 36, 27, 21, 37, 9, 1, 17, 10, 6, 4, 7, 42, 35, 40, 14, 0];[0, 32, 26, 13, 39, 19, 20, 25, 0]",2,21.003062963485718
2021-01-31_21-58-26_385070,48983.0,"[0, 8, 15, 2, 12, 44, 28, 38, 16, 23, 22, 33, 24, 30, 31, 3, 40, 29, 0];[0, 18, 43, 34, 5, 41, 11, 13, 27, 21, 36, 37, 1, 9, 17, 6, 10, 14, 4, 7, 42, 35, 0];[0, 32, 26, 20, 39, 19, 25, 0]",42758.0,"[0, 25, 20, 18, 43, 34, 5, 41, 11, 27, 21, 37, 36, 9, 1, 17, 6, 10, 14, 4, 7, 42, 35, 0];[0, 8, 38, 24, 30, 15, 2, 12, 44, 28, 16, 22, 33, 31, 3, 29, 40, 23, 0];[0, 32, 26, 13, 39, 19, 0]",2,16.362794876098633
2021-01-31_21-58-47_034501,48983.0,"[0, 8, 15, 2, 12, 44, 28, 38, 16, 23, 22, 33, 24, 30, 31, 3, 40, 29, 0];[0, 18, 43, 34, 5, 41, 11, 13, 27, 21, 36, 37, 1, 9, 17, 6, 10, 14, 4, 7, 42, 35, 0];[0, 32, 26, 20, 39, 19, 25, 0]",42553.0,"[0, 8, 38, 24, 30, 15, 2, 12, 44, 28, 16, 22, 33, 31, 3, 29, 23, 0];[0, 18, 43, 34, 5, 41, 11, 36, 27, 21, 37, 9, 1, 17, 10, 6, 4, 7, 42, 35, 40, 14, 0];[0, 32, 26, 13, 39, 19, 20, 25, 0]",2,21.548407077789307
2021-01-31_21-59-13_566199,48983.0,"[0, 8, 15, 2, 12, 44, 28, 38, 16, 23, 22, 33, 24, 30, 31, 3, 40, 29, 0];[0, 18, 43, 34, 5, 41, 11, 13, 27, 21, 36, 37, 1, 9, 17, 6, 10, 14, 4, 7, 42, 35, 0];[0, 32, 26, 20, 39, 19, 25, 0]",43140.0,"[0, 8, 38, 24, 30, 15, 2, 12, 44, 28, 16, 22, 33, 31, 3, 29, 40, 23, 0];[0, 32, 26, 39, 19, 0];[0, 25, 20, 41, 18, 43, 34, 5, 11, 27, 21, 13, 36, 37, 9, 1, 17, 6, 10, 14, 4, 7, 42, 35, 0]",2,20.35994911193848
2021-01-31_21-59-38_222508,48983.0,"[0, 8, 15, 2, 12, 44, 28, 38, 16, 23, 22, 33, 24, 30, 31, 3, 40, 29, 0];[0, 18, 43, 34, 5, 41, 11, 13, 27, 21, 36, 37, 1, 9, 17, 6, 10, 14, 4, 7, 42, 35, 0];[0, 32, 26, 20, 39, 19, 25, 0]",42224.0,"[0, 8, 38, 24, 30, 15, 2, 12, 44, 28, 16, 22, 33, 31, 3, 29, 40, 23, 0];[0, 25, 20, 18, 43, 34, 5, 41, 11, 27, 21, 37, 36, 9, 1, 17, 6, 10, 14, 7, 4, 42, 35, 0];[0, 32, 26, 13, 39, 19, 0]",2,18.07610511779785
2021-01-31_22-00-00_226938,48983.0,"[0, 8, 15, 2, 12, 44, 28, 38, 16, 23, 22, 33, 24, 30, 31, 3, 40, 29, 0];[0, 18, 43, 34, 5, 41, 11, 13, 27, 21, 36, 37, 1, 9, 17, 6, 10, 14, 4, 7, 42, 35, 0];[0, 32, 26, 20, 39, 19, 25, 0]",42224.0,"[0, 8, 38, 24, 30, 15, 2, 12, 44, 28, 16, 22, 33, 31, 3, 29, 40, 23, 0];[0, 25, 20, 18, 43, 34, 5, 41, 11, 27, 21, 37, 36, 9, 1, 17, 6, 10, 14, 7, 4, 42, 35, 0];[0, 32, 26, 13, 39, 19, 0]",2,18.796176195144653
2021-01-31_22-00-23_194837,48983.0,"[0, 8, 15, 2, 12, 44, 28, 38, 16, 23, 22, 33, 24, 30, 31, 3, 40, 29, 0];[0, 18, 43, 34, 5, 41, 11, 13, 27, 21, 36, 37, 1, 9, 17, 6, 10, 14, 4, 7, 42, 35, 0];[0, 32, 26, 20, 39, 19, 25, 0]",43254.0,"[0, 25, 20, 18, 43, 34, 5, 41, 11, 27, 21, 37, 36, 9, 1, 17, 6, 10, 14, 4, 7, 42, 35, 0];[0, 32, 26, 13, 39, 19, 0];[0, 8, 38, 24, 30, 15, 2, 12, 44, 28, 16, 22, 33, 3, 31, 40, 29, 23, 0]",2,16.772869110107422
2021-01-31_22-00-43_966285,48983.0,"[0, 8, 15, 2, 12, 44, 28, 38, 16, 23, 22, 33, 24, 30, 31, 3, 40, 29, 0];[0, 18, 43, 34, 5, 41, 11, 13, 27, 21, 36, 37, 1, 9, 17, 6, 10, 14, 4, 7, 42, 35, 0];[0, 32, 26, 20, 39, 19, 25, 0]",42758.0,"[0, 8, 38, 24, 30, 15, 2, 12, 44, 28, 16, 22, 33, 31, 3, 29, 40, 23, 0];[0, 25, 20, 18, 43, 34, 5, 41, 11, 27, 21, 37, 36, 9, 1, 17, 6, 10, 14, 4, 7, 42, 35, 0];[0, 32, 26, 13, 39, 19, 0]",2,16.28959822654724
2021-01-31_22-01-04_378012,48983.0,"[0, 8, 15, 2, 12, 44, 28, 38, 16, 23, 22, 33, 24, 30, 31, 3, 40, 29, 0];[0, 18, 43, 34, 5, 41, 11, 13, 27, 21, 36, 37, 1, 9, 17, 6, 10, 14, 4, 7, 42, 35, 0];[0, 32, 26, 20, 39, 19, 25, 0]",43254.0,"[0, 8, 38, 24, 30, 15, 2, 12, 44, 28, 16, 22, 33, 3, 31, 40, 29, 23, 0];[0, 25, 20, 18, 43, 34, 5, 41, 11, 27, 21, 37, 36, 9, 1, 17, 6, 10, 14, 4, 7, 42, 35, 0];[0, 32, 26, 13, 39, 19, 0]",2,15.991842031478882
2021-01-31_22-01-24_372025,48983.0,"[0, 8, 15, 2, 12, 44, 28, 38, 16, 23, 22, 33, 24, 30, 31, 3, 40, 29, 0];[0, 18, 43, 34, 5, 41, 11, 13, 27, 21, 36, 37, 1, 9, 17, 6, 10, 14, 4, 7, 42, 35, 0];[0, 32, 26, 20, 39, 19, 25, 0]",42758.0,"[0, 8, 38, 24, 30, 15, 2, 12, 44, 28, 16, 22, 33, 31, 3, 29, 40, 23, 0];[0, 25, 20, 18, 43, 34, 5, 41, 11, 27, 21, 37, 36, 9, 1, 17, 6, 10, 14, 4, 7, 42, 35, 0];[0, 32, 26, 13, 39, 19, 0]",2,15.908844947814941
