it,instant,local_optimum_value
0,0.0,24300.0
1,0.34668612480163574,23200.0
2,0.5761411190032959,23200.0
3,0.8104112148284912,23200.0
4,1.047443151473999,23200.0
5,1.2784161567687988,23200.0
6,1.5152621269226074,23200.0
7,1.7438709735870361,23200.0
8,1.9824621677398682,23200.0
9,2.2147841453552246,23200.0
10,2.4478421211242676,23200.0
11,2.681318998336792,23200.0
12,2.911953926086426,23200.0
13,3.1447832584381104,23200.0
14,3.3775150775909424,23200.0
15,3.6157891750335693,23200.0
16,3.8526861667633057,23200.0
17,4.083538055419922,23200.0
18,4.319643974304199,23200.0
19,4.552983045578003,23200.0
20,4.788219213485718,23200.0
21,5.164731979370117,23200.0
