datetime_str,initial_solution_value,initial_solution_routes,local_optimum_value,local_optimum_routes,exit_condition,exec_time
2021-01-31_21-55-47_005718,24300.0,"[0, 4, 6, 0];[0, 7, 5, 9, 1, 12, 0];[0, 8, 11, 2, 3, 10, 0]",21900.0,"[0, 6, 4, 0];[0, 2, 11, 1, 3, 10, 0];[0, 8, 7, 5, 9, 12, 0]",3,7.910377025604247
2021-01-31_21-55-57_519105,24300.0,"[0, 4, 6, 0];[0, 7, 5, 9, 1, 12, 0];[0, 8, 11, 2, 3, 10, 0]",21900.0,"[0, 6, 4, 0];[0, 2, 11, 1, 3, 10, 0];[0, 8, 7, 5, 9, 12, 0]",3,13.091108083724976
2021-01-31_21-56-12_397000,24300.0,"[0, 4, 6, 0];[0, 7, 5, 9, 1, 12, 0];[0, 8, 11, 2, 3, 10, 0]",21900.0,"[0, 6, 4, 0];[0, 2, 11, 1, 3, 10, 0];[0, 8, 7, 5, 9, 12, 0]",3,10.364421844482422
2021-01-31_21-56-24_514146,24300.0,"[0, 4, 6, 0];[0, 7, 5, 9, 1, 12, 0];[0, 8, 11, 2, 3, 10, 0]",21900.0,"[0, 6, 4, 0];[0, 2, 11, 1, 3, 10, 0];[0, 8, 7, 5, 9, 12, 0]",3,12.77859878540039
2021-01-31_21-56-39_066421,24300.0,"[0, 4, 6, 0];[0, 7, 5, 9, 1, 12, 0];[0, 8, 11, 2, 3, 10, 0]",21900.0,"[0, 6, 4, 0];[0, 2, 11, 1, 3, 10, 0];[0, 8, 7, 5, 9, 12, 0]",3,11.88385796546936
2021-01-31_21-56-52_739526,24300.0,"[0, 4, 6, 0];[0, 7, 5, 9, 1, 12, 0];[0, 8, 11, 2, 3, 10, 0]",21900.0,"[0, 6, 4, 0];[0, 2, 11, 1, 3, 10, 0];[0, 8, 7, 5, 9, 12, 0]",3,11.201147317886353
2021-01-31_21-57-05_708279,24300.0,"[0, 4, 6, 0];[0, 7, 5, 9, 1, 12, 0];[0, 8, 11, 2, 3, 10, 0]",21900.0,"[0, 6, 4, 0];[0, 2, 11, 1, 3, 10, 0];[0, 8, 7, 5, 9, 12, 0]",3,9.556594848632812
2021-01-31_21-57-16_998684,24300.0,"[0, 4, 6, 0];[0, 7, 5, 9, 1, 12, 0];[0, 8, 11, 2, 3, 10, 0]",21900.0,"[0, 6, 4, 0];[0, 2, 11, 1, 3, 10, 0];[0, 8, 7, 5, 9, 12, 0]",3,9.612936973571776
2021-01-31_21-57-28_353970,24300.0,"[0, 4, 6, 0];[0, 7, 5, 9, 1, 12, 0];[0, 8, 11, 2, 3, 10, 0]",21900.0,"[0, 6, 4, 0];[0, 2, 11, 1, 3, 10, 0];[0, 8, 7, 5, 9, 12, 0]",3,10.915785074234009
2021-01-31_21-57-41_010848,24300.0,"[0, 4, 6, 0];[0, 7, 5, 9, 1, 12, 0];[0, 8, 11, 2, 3, 10, 0]",21900.0,"[0, 6, 4, 0];[0, 2, 11, 1, 3, 10, 0];[0, 8, 7, 5, 9, 12, 0]",3,10.219093084335327
