datetime_str,initial_solution_value,initial_solution_routes,local_optimum_value,local_optimum_routes,exit_condition,exec_time
2021-01-31_21-49-17_200301,52214.0,"[0, 4, 7, 42, 35, 0];[0, 8, 15, 2, 12, 44, 28, 38, 16, 23, 22, 32, 26, 27, 21, 36, 37, 1, 9, 17, 6, 10, 14, 18, 43, 34, 5, 41, 11, 13, 25, 0];[0, 20, 39, 19, 0];[0, 33, 24, 30, 31, 3, 40, 29, 0]",50787.0,"[0, 4, 7, 42, 35, 0];[0, 20, 11, 39, 19, 0];[0, 33, 24, 30, 31, 3, 29, 40, 0];[0, 8, 38, 15, 2, 12, 44, 28, 16, 23, 22, 32, 26, 27, 21, 36, 37, 1, 9, 17, 6, 10, 14, 18, 43, 34, 5, 41, 13, 25, 0]",2,15.472467184066772
2021-01-31_21-49-36_820023,52214.0,"[0, 4, 7, 42, 35, 0];[0, 8, 15, 2, 12, 44, 28, 38, 16, 23, 22, 32, 26, 27, 21, 36, 37, 1, 9, 17, 6, 10, 14, 18, 43, 34, 5, 41, 11, 13, 25, 0];[0, 20, 39, 19, 0];[0, 33, 24, 30, 31, 3, 40, 29, 0]",49504.0,"[0, 4, 7, 42, 35, 0];[0, 33, 24, 30, 31, 3, 29, 40, 0];[0, 8, 38, 15, 2, 12, 44, 28, 16, 23, 22, 32, 26, 27, 21, 37, 36, 1, 9, 17, 6, 10, 14, 18, 43, 34, 5, 41, 11, 0];[0, 25, 20, 13, 39, 19, 0]",2,15.027565002441404
2021-01-31_21-49-55_974094,52214.0,"[0, 4, 7, 42, 35, 0];[0, 8, 15, 2, 12, 44, 28, 38, 16, 23, 22, 32, 26, 27, 21, 36, 37, 1, 9, 17, 6, 10, 14, 18, 43, 34, 5, 41, 11, 13, 25, 0];[0, 20, 39, 19, 0];[0, 33, 24, 30, 31, 3, 40, 29, 0]",50725.0,"[0, 4, 7, 42, 35, 0];[0, 8, 38, 15, 2, 12, 44, 28, 16, 23, 22, 32, 26, 27, 21, 36, 37, 1, 9, 17, 6, 10, 14, 18, 43, 34, 5, 41, 11, 0];[0, 33, 24, 30, 31, 3, 29, 40, 0];[0, 25, 20, 13, 39, 19, 0]",2,17.009196043014526
2021-01-31_21-50-16_712341,52214.0,"[0, 4, 7, 42, 35, 0];[0, 8, 15, 2, 12, 44, 28, 38, 16, 23, 22, 32, 26, 27, 21, 36, 37, 1, 9, 17, 6, 10, 14, 18, 43, 34, 5, 41, 11, 13, 25, 0];[0, 20, 39, 19, 0];[0, 33, 24, 30, 31, 3, 40, 29, 0]",47908.0,"[0, 4, 7, 42, 35, 0];[0, 20, 13, 11, 39, 9, 1, 37, 36, 19, 0];[0, 8, 38, 30, 15, 2, 12, 44, 28, 16, 23, 26, 27, 21, 17, 6, 10, 14, 18, 43, 34, 5, 41, 25, 0];[0, 32, 33, 24, 31, 3, 29, 40, 22, 0]",2,24.021281719207764
2021-01-31_21-50-46_230733,52214.0,"[0, 4, 7, 42, 35, 0];[0, 8, 15, 2, 12, 44, 28, 38, 16, 23, 22, 32, 26, 27, 21, 36, 37, 1, 9, 17, 6, 10, 14, 18, 43, 34, 5, 41, 11, 13, 25, 0];[0, 20, 39, 19, 0];[0, 33, 24, 30, 31, 3, 40, 29, 0]",47230.0,"[0, 4, 7, 42, 35, 0];[0, 33, 31, 3, 29, 40, 0];[0, 8, 23, 38, 24, 30, 15, 2, 12, 44, 28, 16, 22, 32, 26, 27, 21, 37, 36, 9, 1, 17, 6, 10, 14, 18, 43, 34, 5, 41, 20, 25, 0];[0, 13, 11, 39, 19, 0]",2,25.43848299980164
2021-01-31_21-51-16_053081,52214.0,"[0, 4, 7, 42, 35, 0];[0, 8, 15, 2, 12, 44, 28, 38, 16, 23, 22, 32, 26, 27, 21, 36, 37, 1, 9, 17, 6, 10, 14, 18, 43, 34, 5, 41, 11, 13, 25, 0];[0, 20, 39, 19, 0];[0, 33, 24, 30, 31, 3, 40, 29, 0]",51113.0,"[0, 4, 7, 42, 35, 0];[0, 33, 24, 31, 30, 15, 3, 29, 40, 0];[0, 8, 2, 12, 44, 28, 38, 16, 23, 22, 32, 26, 27, 21, 36, 37, 1, 9, 17, 6, 10, 14, 18, 43, 34, 5, 41, 11, 25, 0];[0, 20, 13, 39, 19, 0]",2,162.12806487083438
2021-01-31_21-54-03_038587,52214.0,"[0, 4, 7, 42, 35, 0];[0, 8, 15, 2, 12, 44, 28, 38, 16, 23, 22, 32, 26, 27, 21, 36, 37, 1, 9, 17, 6, 10, 14, 18, 43, 34, 5, 41, 11, 13, 25, 0];[0, 20, 39, 19, 0];[0, 33, 24, 30, 31, 3, 40, 29, 0]",50725.0,"[0, 4, 7, 42, 35, 0];[0, 8, 38, 15, 2, 12, 44, 28, 16, 23, 22, 32, 26, 27, 21, 36, 37, 1, 9, 17, 6, 10, 14, 18, 43, 34, 5, 41, 11, 0];[0, 25, 20, 13, 39, 19, 0];[0, 33, 24, 30, 31, 3, 29, 40, 0]",2,16.15588402748108
2021-01-31_21-54-23_473092,52214.0,"[0, 4, 7, 42, 35, 0];[0, 8, 15, 2, 12, 44, 28, 38, 16, 23, 22, 32, 26, 27, 21, 36, 37, 1, 9, 17, 6, 10, 14, 18, 43, 34, 5, 41, 11, 13, 25, 0];[0, 20, 39, 19, 0];[0, 33, 24, 30, 31, 3, 40, 29, 0]",50191.0,"[0, 20, 13, 39, 19, 0];[0, 8, 38, 15, 2, 12, 44, 28, 16, 23, 22, 32, 26, 27, 21, 36, 37, 1, 9, 17, 6, 10, 14, 18, 43, 34, 5, 41, 11, 25, 0];[0, 7, 4, 42, 35, 0];[0, 33, 24, 30, 31, 3, 29, 40, 0]",2,16.577203750610348
2021-01-31_21-54-43_701250,52214.0,"[0, 4, 7, 42, 35, 0];[0, 8, 15, 2, 12, 44, 28, 38, 16, 23, 22, 32, 26, 27, 21, 36, 37, 1, 9, 17, 6, 10, 14, 18, 43, 34, 5, 41, 11, 13, 25, 0];[0, 20, 39, 19, 0];[0, 33, 24, 30, 31, 3, 40, 29, 0]",47230.0,"[0, 4, 7, 42, 35, 0];[0, 33, 31, 3, 29, 40, 0];[0, 8, 23, 38, 24, 30, 15, 2, 12, 44, 28, 16, 22, 32, 26, 27, 21, 37, 36, 9, 1, 17, 6, 10, 14, 18, 43, 34, 5, 41, 20, 25, 0];[0, 13, 11, 39, 19, 0]",2,17.444910049438473
2021-01-31_21-55-04_629166,52214.0,"[0, 4, 7, 42, 35, 0];[0, 8, 15, 2, 12, 44, 28, 38, 16, 23, 22, 32, 26, 27, 21, 36, 37, 1, 9, 17, 6, 10, 14, 18, 43, 34, 5, 41, 11, 13, 25, 0];[0, 20, 39, 19, 0];[0, 33, 24, 30, 31, 3, 40, 29, 0]",50725.0,"[0, 4, 7, 42, 35, 0];[0, 20, 13, 39, 19, 0];[0, 33, 24, 30, 31, 3, 29, 40, 0];[0, 8, 38, 15, 2, 12, 44, 28, 16, 23, 22, 32, 26, 27, 21, 36, 37, 1, 9, 17, 6, 10, 14, 18, 43, 34, 5, 41, 11, 25, 0]",2,20.006407976150513
