it,instant,local_optimum_value
0,0.0,71664.0
1,1.1557621955871582,69171.0
2,1.7387630939483643,69171.0
3,2.2048022747039795,69171.0
4,2.8953962326049805,69171.0
5,3.4828531742095947,69171.0
6,4.105509281158447,69171.0
7,4.693936347961426,69171.0
8,5.269636154174805,69171.0
9,5.8917272090911865,69171.0
10,6.456534147262573,69171.0
11,7.045557022094727,69171.0
12,7.673772096633911,69171.0
13,8.261494159698486,69171.0
14,8.727302312850952,69171.0
15,9.336962223052979,69171.0
16,9.922260046005249,69171.0
17,10.510897159576416,69171.0
18,11.091228246688843,69171.0
19,11.67165231704712,69171.0
20,12.140568256378174,69171.0
21,12.753021955490112,69171.0
