it,instant,local_optimum_value
0,0.0,71664.0
1,1.4191851615905762,68078.0
2,2.477959156036377,67854.0
3,3.2653791904449463,67854.0
4,3.750279188156128,67068.0
5,4.571329116821289,67068.0
6,5.1469011306762695,67068.0
7,5.511144399642944,67068.0
8,6.70293927192688,67068.0
9,7.0654683113098145,67068.0
10,8.097432136535645,67068.0
11,9.036365032196045,67068.0
12,9.9482581615448,67068.0
13,12.564253330230713,67068.0
14,12.930740118026733,67068.0
15,13.725397109985352,67068.0
16,14.331892967224121,67068.0
17,14.696460008621216,67068.0
18,16.062739372253418,65446.0
