datetime_str,initial_solution_value,initial_solution_routes,local_optimum_value,local_optimum_routes,exit_condition,exec_time
2021-01-31_21-45-47_121647,71664.0,"[0, 4, 6, 14, 20, 13, 27, 21, 36, 37, 1, 9, 17, 18, 43, 34, 5, 41, 25, 0];[0, 8, 23, 10, 29, 0];[0, 30, 31, 3, 40, 0];[0, 32, 22, 7, 16, 0];[0, 33, 24, 28, 38, 15, 2, 12, 44, 0];[0, 39, 11, 26, 19, 0];[0, 42, 35, 0]",67730.0,"[0, 4, 6, 14, 20, 13, 27, 21, 36, 9, 1, 37, 17, 18, 43, 34, 5, 41, 25, 0];[0, 10, 29, 0];[0, 32, 22, 23, 8, 16, 0];[0, 33, 28, 38, 15, 2, 12, 44, 0];[0, 24, 31, 30, 7, 40, 0];[0, 39, 11, 26, 19, 0];[0, 3, 42, 35, 0]",2,15.48833703994751
2021-01-31_21-46-07_051346,71664.0,"[0, 4, 6, 14, 20, 13, 27, 21, 36, 37, 1, 9, 17, 18, 43, 34, 5, 41, 25, 0];[0, 8, 23, 10, 29, 0];[0, 30, 31, 3, 40, 0];[0, 32, 22, 7, 16, 0];[0, 33, 24, 28, 38, 15, 2, 12, 44, 0];[0, 39, 11, 26, 19, 0];[0, 42, 35, 0]",68487.0,"[0, 6, 14, 20, 13, 27, 21, 36, 9, 1, 37, 17, 18, 43, 34, 5, 41, 25, 0];[0, 10, 29, 0];[0, 4, 40, 31, 30, 23, 8, 0];[0, 32, 22, 7, 16, 0];[0, 33, 24, 28, 38, 15, 2, 12, 44, 0];[0, 39, 11, 26, 19, 0];[0, 3, 42, 35, 0]",2,15.539597034454346
2021-01-31_21-46-26_131756,71664.0,"[0, 4, 6, 14, 20, 13, 27, 21, 36, 37, 1, 9, 17, 18, 43, 34, 5, 41, 25, 0];[0, 8, 23, 10, 29, 0];[0, 30, 31, 3, 40, 0];[0, 32, 22, 7, 16, 0];[0, 33, 24, 28, 38, 15, 2, 12, 44, 0];[0, 39, 11, 26, 19, 0];[0, 42, 35, 0]",65725.0,"[0, 32, 7, 40, 0];[0, 8, 23, 10, 29, 0];[0, 22, 38, 28, 16, 0];[0, 4, 6, 14, 21, 36, 1, 17, 18, 43, 34, 5, 41, 0];[0, 33, 31, 30, 15, 2, 12, 44, 24, 9, 37, 27, 13, 20, 25, 0];[0, 39, 11, 26, 19, 0];[0, 3, 42, 35, 0]",2,16.158796072006226
2021-01-31_21-46-46_068966,71664.0,"[0, 4, 6, 14, 20, 13, 27, 21, 36, 37, 1, 9, 17, 18, 43, 34, 5, 41, 25, 0];[0, 8, 23, 10, 29, 0];[0, 30, 31, 3, 40, 0];[0, 32, 22, 7, 16, 0];[0, 33, 24, 28, 38, 15, 2, 12, 44, 0];[0, 39, 11, 26, 19, 0];[0, 42, 35, 0]",67097.0,"[0, 4, 6, 14, 20, 13, 27, 21, 36, 9, 1, 37, 17, 18, 43, 34, 5, 41, 25, 0];[0, 29, 0];[0, 32, 38, 28, 24, 22, 23, 16, 0];[0, 8, 30, 15, 2, 12, 44, 0];[0, 33, 31, 40, 7, 10, 0];[0, 39, 11, 26, 19, 0];[0, 3, 42, 35, 0]",2,15.041494131088257
2021-01-31_21-47-04_615212,71664.0,"[0, 4, 6, 14, 20, 13, 27, 21, 36, 37, 1, 9, 17, 18, 43, 34, 5, 41, 25, 0];[0, 8, 23, 10, 29, 0];[0, 30, 31, 3, 40, 0];[0, 32, 22, 7, 16, 0];[0, 33, 24, 28, 38, 15, 2, 12, 44, 0];[0, 39, 11, 26, 19, 0];[0, 42, 35, 0]",68122.0,"[0, 4, 6, 1, 20, 13, 27, 21, 36, 37, 14, 9, 17, 18, 43, 34, 5, 41, 25, 0];[0, 29, 0];[0, 32, 7, 22, 0];[0, 38, 24, 30, 15, 2, 12, 44, 0];[0, 16, 33, 28, 31, 40, 10, 23, 8, 0];[0, 39, 11, 26, 19, 0];[0, 3, 42, 35, 0]",2,15.06345510482788
2021-01-31_21-47-23_138895,71664.0,"[0, 4, 6, 14, 20, 13, 27, 21, 36, 37, 1, 9, 17, 18, 43, 34, 5, 41, 25, 0];[0, 8, 23, 10, 29, 0];[0, 30, 31, 3, 40, 0];[0, 32, 22, 7, 16, 0];[0, 33, 24, 28, 38, 15, 2, 12, 44, 0];[0, 39, 11, 26, 19, 0];[0, 42, 35, 0]",66964.0,"[0, 4, 6, 14, 20, 13, 27, 21, 36, 9, 1, 37, 17, 18, 43, 34, 5, 41, 25, 0];[0, 10, 29, 0];[0, 8, 16, 38, 24, 31, 30, 15, 2, 12, 23, 0];[0, 33, 28, 44, 0];[0, 32, 7, 40, 22, 0];[0, 39, 11, 26, 19, 0];[0, 3, 42, 35, 0]",2,15.69178581237793
2021-01-31_21-47-42_245148,71664.0,"[0, 4, 6, 14, 20, 13, 27, 21, 36, 37, 1, 9, 17, 18, 43, 34, 5, 41, 25, 0];[0, 8, 23, 10, 29, 0];[0, 30, 31, 3, 40, 0];[0, 32, 22, 7, 16, 0];[0, 33, 24, 28, 38, 15, 2, 12, 44, 0];[0, 39, 11, 26, 19, 0];[0, 42, 35, 0]",65446.0,"[0, 20, 13, 27, 21, 36, 9, 1, 37, 17, 18, 43, 34, 5, 41, 25, 0];[0, 8, 23, 10, 29, 0];[0, 32, 14, 6, 4, 22, 16, 0];[0, 7, 40, 31, 30, 0];[0, 33, 24, 28, 38, 15, 2, 12, 44, 0];[0, 11, 39, 26, 19, 0];[0, 3, 42, 35, 0]",2,16.06804609298706
2021-01-31_21-48-01_606675,71664.0,"[0, 4, 6, 14, 20, 13, 27, 21, 36, 37, 1, 9, 17, 18, 43, 34, 5, 41, 25, 0];[0, 8, 23, 10, 29, 0];[0, 30, 31, 3, 40, 0];[0, 32, 22, 7, 16, 0];[0, 33, 24, 28, 38, 15, 2, 12, 44, 0];[0, 39, 11, 26, 19, 0];[0, 42, 35, 0]",66205.0,"[0, 20, 13, 27, 21, 36, 9, 1, 17, 18, 43, 34, 5, 41, 25, 0];[0, 29, 0];[0, 16, 14, 10, 6, 4, 37, 32, 22, 23, 8, 0];[0, 30, 31, 7, 40, 0];[0, 33, 24, 28, 38, 15, 2, 12, 44, 0];[0, 11, 39, 26, 19, 0];[0, 3, 42, 35, 0]",2,17.417769193649292
2021-01-31_21-48-22_437441,71664.0,"[0, 4, 6, 14, 20, 13, 27, 21, 36, 37, 1, 9, 17, 18, 43, 34, 5, 41, 25, 0];[0, 8, 23, 10, 29, 0];[0, 30, 31, 3, 40, 0];[0, 32, 22, 7, 16, 0];[0, 33, 24, 28, 38, 15, 2, 12, 44, 0];[0, 39, 11, 26, 19, 0];[0, 42, 35, 0]",69248.0,"[0, 6, 14, 20, 13, 27, 21, 36, 9, 1, 37, 17, 18, 43, 34, 5, 41, 25, 0];[0, 8, 23, 10, 29, 0];[0, 33, 28, 15, 12, 44, 0];[0, 32, 22, 7, 16, 0];[0, 4, 42, 0];[0, 39, 11, 26, 19, 0];[0, 38, 24, 31, 30, 2, 3, 35, 40, 0]",2,15.175212860107422
2021-01-31_21-48-40_915771,71664.0,"[0, 4, 6, 14, 20, 13, 27, 21, 36, 37, 1, 9, 17, 18, 43, 34, 5, 41, 25, 0];[0, 8, 23, 10, 29, 0];[0, 30, 31, 3, 40, 0];[0, 32, 22, 7, 16, 0];[0, 33, 24, 28, 38, 15, 2, 12, 44, 0];[0, 39, 11, 26, 19, 0];[0, 42, 35, 0]",68301.0,"[0, 4, 6, 14, 20, 13, 27, 21, 36, 9, 1, 37, 17, 18, 43, 34, 5, 41, 25, 0];[0, 29, 0];[0, 32, 23, 7, 10, 22, 0];[0, 8, 16, 40, 31, 30, 0];[0, 33, 24, 28, 38, 15, 2, 12, 44, 0];[0, 39, 11, 26, 19, 0];[0, 3, 42, 35, 0]",2,15.438221216201782
