it,instant,local_optimum_value
0,0.0,62993.0
1,24.492261171340942,60423.0
2,29.883730173110962,60423.0
3,35.467581272125244,60423.0
4,40.92599010467529,60423.0
5,46.397303104400635,60423.0
6,52.92448306083679,60423.0
7,58.41896605491638,60423.0
8,63.9834041595459,60423.0
9,70.55473518371582,60423.0
10,85.07779812812805,60423.0
11,85.61641907691956,59880.0
12,91.13660526275635,59880.0
13,97.76339507102966,59880.0
14,119.21627640724182,59880.0
15,119.6363410949707,59880.0
16,128.5522973537445,58996.0
17,134.24380326271057,58996.0
18,140.82980728149414,58996.0
19,147.5609052181244,58996.0
20,153.5087411403656,58996.0
21,159.61216521263123,58996.0
22,167.0134871006012,58996.0
23,176.69948530197144,58996.0
24,182.48066425323486,58996.0
25,186.4621331691742,58996.0
26,186.88450026512146,58996.0
27,195.39997220039368,58996.0
28,195.9477560520172,58996.0
29,198.33295011520386,58996.0
30,198.7273290157318,58996.0
31,204.39242219924927,58996.0
32,213.87651824951172,58996.0
33,219.37710618972778,58996.0
34,225.4667613506317,58996.0
35,230.91731095314026,58996.0
36,236.5221471786499,58996.0
37,241.97871112823486,58996.0
38,248.27378916740417,58996.0
39,254.71000123023987,58996.0
40,261.3380811214447,58996.0
41,268.067232131958,58996.0
42,274.780659198761,58996.0
43,276.87247109413147,58996.0
44,277.3798153400421,58996.0
45,283.03903007507324,58996.0
46,289.6409420967102,58996.0
47,298.5498743057251,58996.0
48,299.0695140361786,58996.0
49,305.14862513542175,58996.0
50,308.5942051410675,58996.0
51,309.010546207428,58996.0
52,318.9194962978363,58996.0
53,324.4428300857544,58996.0
54,330.10614013671875,58996.0
55,344.7927882671356,58996.0
56,345.30178213119507,58996.0
57,350.6647002696991,58996.0
58,357.7273461818695,58996.0
59,363.43680119514465,58996.0
60,369.20962405204773,58996.0
61,374.4956741333008,58996.0
62,380.06529927253723,58996.0
63,386.58016324043274,58996.0
64,392.11314725875854,58996.0
65,398.62298703193665,58996.0
66,404.28594613075256,58996.0
67,410.85959029197693,58996.0
68,416.27416920661926,58996.0
69,428.6453101634979,58488.0
70,434.13065814971924,58488.0
71,439.69055008888245,58488.0
72,451.11042833328247,58488.0
73,451.5248100757599,58488.0
74,456.9920861721039,58488.0
75,462.4521310329437,58488.0
76,468.14518117904663,58488.0
77,480.5439040660858,58488.0
78,487.1636543273926,58488.0
79,493.9270830154419,58488.0
80,500.05377221107483,58488.0
81,509.0490391254425,58488.0
82,509.46549820899963,58488.0
83,516.5205121040344,58488.0
84,517.2284710407257,58488.0
85,522.2415223121643,58488.0
86,522.9682302474976,58488.0
87,524.9668941497803,58488.0
88,525.366461277008,58488.0
89,532.157799243927,58488.0
90,539.2188911437988,58488.0
91,544.9124252796173,58488.0
92,551.4138991832733,58488.0
93,556.8937711715698,58488.0
94,571.5987331867218,58488.0
95,572.0110492706299,58488.0
96,577.3972311019897,58488.0
97,582.8800320625305,58488.0
98,588.6373052597046,58488.0
99,595.1868751049042,58488.0
100,602.0120329856873,58488.0
