it,instant,local_optimum_value
0,0.0,63636.0
1,17.02180314064026,60418.0
2,18.976659297943115,60418.0
3,21.155242443084717,60418.0
4,22.97224235534668,60418.0
5,25.15620231628418,60418.0
6,27.262237310409546,60418.0
7,29.454169273376465,60418.0
8,31.404150009155273,60418.0
9,33.47737526893616,60418.0
10,35.61179709434509,60418.0
11,37.749343395233154,60418.0
12,39.74790024757385,60418.0
13,41.7797372341156,60418.0
14,43.782952308654785,60418.0
15,45.89312219619751,60418.0
16,47.97044610977173,60418.0
17,50.18250012397766,60418.0
18,52.1798791885376,60418.0
19,54.17969822883606,60418.0
20,56.26522922515869,60418.0
21,58.31018018722534,60418.0
