datetime_str,initial_solution_value,initial_solution_routes,local_optimum_value,local_optimum_routes,exit_condition,exec_time
2021-02-02_14-49-45_542732,63636.0,"[0, 18, 25, 24, 21, 33, 34, 35, 36, 37, 38, 39, 40, 46, 47, 50, 49, 48, 42, 43, 44, 45, 41, 32, 28, 29, 31, 30, 26, 27, 20, 16, 17, 15, 14, 13, 10, 19, 11, 0];[0, 23, 22, 7, 6, 5, 4, 3, 2, 1, 12, 8, 9, 0]",60418.0,"[0, 18, 21, 25, 24, 33, 34, 35, 38, 40, 39, 36, 37, 46, 47, 50, 49, 48, 45, 42, 44, 43, 41, 32, 28, 31, 30, 29, 27, 26, 20, 16, 17, 15, 14, 10, 13, 19, 11, 0];[0, 23, 22, 7, 6, 5, 4, 3, 2, 1, 12, 8, 9, 0]",3,186.63557386398315
2021-02-02_14-52-56_253765,63636.0,"[0, 18, 25, 24, 21, 33, 34, 35, 36, 37, 38, 39, 40, 46, 47, 50, 49, 48, 42, 43, 44, 45, 41, 32, 28, 29, 31, 30, 26, 27, 20, 16, 17, 15, 14, 13, 10, 19, 11, 0];[0, 23, 22, 7, 6, 5, 4, 3, 2, 1, 12, 8, 9, 0]",60002.0,"[0, 25, 24, 33, 21, 35, 34, 38, 40, 39, 36, 37, 46, 47, 48, 50, 49, 45, 42, 44, 43, 41, 32, 28, 31, 30, 29, 27, 26, 20, 16, 17, 15, 14, 10, 13, 19, 18, 11, 0];[0, 23, 22, 7, 6, 5, 4, 3, 2, 12, 1, 8, 9, 0]",2,677.7000358104707
2021-02-02_15-04-17_989193,63636.0,"[0, 18, 25, 24, 21, 33, 34, 35, 36, 37, 38, 39, 40, 46, 47, 50, 49, 48, 42, 43, 44, 45, 41, 32, 28, 29, 31, 30, 26, 27, 20, 16, 17, 15, 14, 13, 10, 19, 11, 0];[0, 23, 22, 7, 6, 5, 4, 3, 2, 1, 12, 8, 9, 0]",60418.0,"[0, 18, 21, 25, 24, 33, 34, 35, 38, 40, 39, 36, 37, 46, 47, 50, 49, 48, 45, 42, 44, 43, 41, 32, 28, 31, 30, 29, 27, 26, 20, 16, 17, 15, 14, 10, 13, 19, 11, 0];[0, 23, 22, 7, 6, 5, 4, 3, 2, 1, 12, 8, 9, 0]",2,601.4027369022368
2021-02-02_15-14-23_485838,63636.0,"[0, 18, 25, 24, 21, 33, 34, 35, 36, 37, 38, 39, 40, 46, 47, 50, 49, 48, 42, 43, 44, 45, 41, 32, 28, 29, 31, 30, 26, 27, 20, 16, 17, 15, 14, 13, 10, 19, 11, 0];[0, 23, 22, 7, 6, 5, 4, 3, 2, 1, 12, 8, 9, 0]",60418.0,"[0, 18, 21, 25, 24, 33, 34, 35, 38, 40, 39, 36, 37, 46, 47, 50, 49, 48, 45, 42, 44, 43, 41, 32, 28, 31, 30, 29, 27, 26, 20, 16, 17, 15, 14, 10, 13, 19, 11, 0];[0, 23, 22, 7, 6, 5, 4, 3, 2, 1, 12, 8, 9, 0]",3,275.20711493492126
2021-02-02_15-19-02_574859,63636.0,"[0, 18, 25, 24, 21, 33, 34, 35, 36, 37, 38, 39, 40, 46, 47, 50, 49, 48, 42, 43, 44, 45, 41, 32, 28, 29, 31, 30, 26, 27, 20, 16, 17, 15, 14, 13, 10, 19, 11, 0];[0, 23, 22, 7, 6, 5, 4, 3, 2, 1, 12, 8, 9, 0]",60417.0,"[0, 18, 21, 25, 24, 33, 34, 35, 38, 40, 39, 36, 37, 46, 47, 50, 49, 48, 45, 42, 44, 43, 41, 32, 28, 31, 30, 29, 27, 26, 20, 16, 17, 15, 14, 10, 13, 19, 11, 0];[0, 23, 22, 7, 6, 5, 4, 3, 2, 12, 1, 8, 9, 0]",3,433.1640031337738
2021-02-02_15-26-19_622111,63636.0,"[0, 18, 25, 24, 21, 33, 34, 35, 36, 37, 38, 39, 40, 46, 47, 50, 49, 48, 42, 43, 44, 45, 41, 32, 28, 29, 31, 30, 26, 27, 20, 16, 17, 15, 14, 13, 10, 19, 11, 0];[0, 23, 22, 7, 6, 5, 4, 3, 2, 1, 12, 8, 9, 0]",60418.0,"[0, 18, 21, 25, 24, 33, 34, 35, 38, 40, 39, 36, 37, 46, 47, 50, 49, 48, 45, 42, 44, 43, 41, 32, 28, 31, 30, 29, 27, 26, 20, 16, 17, 15, 14, 10, 13, 19, 11, 0];[0, 23, 22, 7, 6, 5, 4, 3, 2, 1, 12, 8, 9, 0]",3,549.3242087364197
2021-02-02_15-35-33_098014,63636.0,"[0, 18, 25, 24, 21, 33, 34, 35, 36, 37, 38, 39, 40, 46, 47, 50, 49, 48, 42, 43, 44, 45, 41, 32, 28, 29, 31, 30, 26, 27, 20, 16, 17, 15, 14, 13, 10, 19, 11, 0];[0, 23, 22, 7, 6, 5, 4, 3, 2, 1, 12, 8, 9, 0]",60002.0,"[0, 25, 24, 33, 21, 35, 34, 38, 40, 39, 36, 37, 46, 47, 48, 50, 49, 45, 42, 44, 43, 41, 32, 28, 31, 30, 29, 27, 26, 20, 16, 17, 15, 14, 10, 13, 19, 18, 11, 0];[0, 23, 22, 7, 6, 5, 4, 3, 2, 12, 1, 8, 9, 0]",2,637.4811999797821
2021-02-02_15-46-14_497696,63636.0,"[0, 18, 25, 24, 21, 33, 34, 35, 36, 37, 38, 39, 40, 46, 47, 50, 49, 48, 42, 43, 44, 45, 41, 32, 28, 29, 31, 30, 26, 27, 20, 16, 17, 15, 14, 13, 10, 19, 11, 0];[0, 23, 22, 7, 6, 5, 4, 3, 2, 1, 12, 8, 9, 0]",59551.0,"[0, 25, 24, 33, 21, 35, 34, 38, 40, 39, 36, 37, 46, 47, 48, 50, 49, 45, 44, 43, 42, 41, 32, 28, 31, 30, 29, 27, 26, 20, 16, 17, 15, 14, 10, 13, 19, 18, 11, 0];[0, 23, 22, 7, 6, 5, 4, 3, 2, 12, 1, 8, 9, 0]",2,600.2355051040647
2021-02-02_15-56-18_633162,63636.0,"[0, 18, 25, 24, 21, 33, 34, 35, 36, 37, 38, 39, 40, 46, 47, 50, 49, 48, 42, 43, 44, 45, 41, 32, 28, 29, 31, 30, 26, 27, 20, 16, 17, 15, 14, 13, 10, 19, 11, 0];[0, 23, 22, 7, 6, 5, 4, 3, 2, 1, 12, 8, 9, 0]",60003.0,"[0, 25, 24, 33, 21, 35, 34, 38, 40, 39, 36, 37, 46, 47, 48, 50, 49, 45, 42, 44, 43, 41, 32, 28, 31, 30, 29, 27, 26, 20, 16, 17, 15, 14, 10, 13, 19, 18, 11, 0];[0, 23, 22, 7, 6, 5, 4, 3, 2, 1, 12, 8, 9, 0]",2,708.1883602142334
2021-02-02_16-08-10_580665,63636.0,"[0, 18, 25, 24, 21, 33, 34, 35, 36, 37, 38, 39, 40, 46, 47, 50, 49, 48, 42, 43, 44, 45, 41, 32, 28, 29, 31, 30, 26, 27, 20, 16, 17, 15, 14, 13, 10, 19, 11, 0];[0, 23, 22, 7, 6, 5, 4, 3, 2, 1, 12, 8, 9, 0]",59183.0,"[0, 18, 21, 25, 24, 33, 36, 34, 35, 39, 40, 38, 37, 46, 47, 50, 49, 48, 45, 42, 44, 43, 41, 32, 31, 30, 29, 28, 27, 26, 20, 16, 17, 15, 14, 10, 13, 19, 11, 0];[0, 23, 22, 7, 6, 5, 4, 3, 2, 1, 12, 8, 9, 0]",2,601.8065087795258
