datetime_str,initial_solution_value,initial_solution_routes,local_optimum_value,local_optimum_routes,exit_condition,exec_time
2021-02-02_13-05-29_287301,88183.0,"[0, 10, 11, 0];[0, 19, 16, 17, 15, 14, 13, 7, 6, 5, 4, 3, 2, 1, 12, 8, 0];[0, 22, 18, 9, 0];[0, 23, 25, 31, 32, 28, 29, 26, 0];[0, 24, 21, 33, 30, 20, 0];[0, 46, 37, 38, 39, 40, 41, 42, 43, 44, 45, 50, 49, 47, 48, 36, 34, 35, 27, 0]",83380.0,"[0, 13, 11, 0];[0, 24, 33, 31, 30, 20, 0];[0, 23, 25, 28, 32, 29, 27, 26, 0];[0, 37, 46, 40, 39, 38, 41, 42, 43, 44, 45, 50, 49, 47, 48, 36, 34, 35, 0];[0, 19, 16, 17, 15, 14, 10, 5, 4, 2, 12, 1, 3, 8, 0];[0, 18, 22, 21, 7, 6, 9, 0]",2,600.0908679962157
2021-02-02_13-15-33_333633,88183.0,"[0, 10, 11, 0];[0, 19, 16, 17, 15, 14, 13, 7, 6, 5, 4, 3, 2, 1, 12, 8, 0];[0, 22, 18, 9, 0];[0, 23, 25, 31, 32, 28, 29, 26, 0];[0, 24, 21, 33, 30, 20, 0];[0, 46, 37, 38, 39, 40, 41, 42, 43, 44, 45, 50, 49, 47, 48, 36, 34, 35, 27, 0]",83421.0,"[0, 13, 11, 0];[0, 41, 40, 39, 38, 46, 42, 43, 44, 45, 50, 49, 47, 48, 36, 34, 35, 0];[0, 24, 33, 31, 30, 20, 0];[0, 23, 25, 28, 32, 29, 27, 26, 0];[0, 19, 16, 17, 15, 14, 10, 5, 4, 2, 12, 1, 3, 8, 0];[0, 18, 22, 21, 37, 7, 6, 9, 0]",2,601.5912799835205
2021-02-02_13-25-38_736846,88183.0,"[0, 10, 11, 0];[0, 19, 16, 17, 15, 14, 13, 7, 6, 5, 4, 3, 2, 1, 12, 8, 0];[0, 22, 18, 9, 0];[0, 23, 25, 31, 32, 28, 29, 26, 0];[0, 24, 21, 33, 30, 20, 0];[0, 46, 37, 38, 39, 40, 41, 42, 43, 44, 45, 50, 49, 47, 48, 36, 34, 35, 27, 0]",81739.0,"[0, 18, 22, 21, 36, 38, 37, 7, 6, 5, 9, 0];[0, 23, 25, 29, 30, 31, 32, 20, 0];[0, 10, 13, 11, 0];[0, 46, 47, 48, 42, 43, 44, 45, 50, 49, 40, 41, 39, 35, 34, 27, 0];[0, 24, 33, 28, 26, 0];[0, 19, 16, 17, 15, 14, 3, 2, 12, 1, 4, 8, 0]",2,788.401221036911
2021-02-02_13-38-50_969065,88183.0,"[0, 10, 11, 0];[0, 19, 16, 17, 15, 14, 13, 7, 6, 5, 4, 3, 2, 1, 12, 8, 0];[0, 22, 18, 9, 0];[0, 23, 25, 31, 32, 28, 29, 26, 0];[0, 24, 21, 33, 30, 20, 0];[0, 46, 37, 38, 39, 40, 41, 42, 43, 44, 45, 50, 49, 47, 48, 36, 34, 35, 27, 0]",84418.0,"[0, 11, 0];[0, 19, 16, 17, 15, 14, 13, 7, 6, 5, 4, 3, 2, 1, 12, 0];[0, 18, 22, 9, 8, 10, 0];[0, 24, 33, 21, 30, 20, 0];[0, 23, 25, 31, 32, 29, 28, 26, 0];[0, 37, 46, 40, 39, 38, 41, 42, 43, 44, 45, 50, 49, 47, 48, 36, 34, 35, 27, 0]",2,600.3961536884308
2021-02-02_13-48-55_221916,88183.0,"[0, 10, 11, 0];[0, 19, 16, 17, 15, 14, 13, 7, 6, 5, 4, 3, 2, 1, 12, 8, 0];[0, 22, 18, 9, 0];[0, 23, 25, 31, 32, 28, 29, 26, 0];[0, 24, 21, 33, 30, 20, 0];[0, 46, 37, 38, 39, 40, 41, 42, 43, 44, 45, 50, 49, 47, 48, 36, 34, 35, 27, 0]",83421.0,"[0, 13, 11, 0];[0, 23, 25, 28, 32, 29, 27, 26, 0];[0, 19, 16, 17, 15, 14, 10, 5, 4, 2, 12, 1, 3, 8, 0];[0, 24, 33, 31, 30, 20, 0];[0, 41, 40, 39, 38, 46, 42, 43, 44, 45, 50, 49, 47, 48, 36, 34, 35, 0];[0, 18, 22, 21, 37, 7, 6, 9, 0]",2,601.1129260063171
2021-02-02_13-59-00_399882,88183.0,"[0, 10, 11, 0];[0, 19, 16, 17, 15, 14, 13, 7, 6, 5, 4, 3, 2, 1, 12, 8, 0];[0, 22, 18, 9, 0];[0, 23, 25, 31, 32, 28, 29, 26, 0];[0, 24, 21, 33, 30, 20, 0];[0, 46, 37, 38, 39, 40, 41, 42, 43, 44, 45, 50, 49, 47, 48, 36, 34, 35, 27, 0]",83780.0,"[0, 11, 0];[0, 23, 25, 28, 32, 29, 27, 26, 0];[0, 19, 16, 17, 15, 14, 13, 5, 4, 3, 2, 12, 1, 0];[0, 24, 33, 31, 30, 20, 0];[0, 18, 22, 21, 7, 6, 9, 8, 10, 0];[0, 37, 46, 40, 39, 38, 41, 42, 43, 44, 45, 50, 49, 47, 48, 36, 34, 35, 0]",2,600.0646069049835
2021-02-02_14-09-04_344512,88183.0,"[0, 10, 11, 0];[0, 19, 16, 17, 15, 14, 13, 7, 6, 5, 4, 3, 2, 1, 12, 8, 0];[0, 22, 18, 9, 0];[0, 23, 25, 31, 32, 28, 29, 26, 0];[0, 24, 21, 33, 30, 20, 0];[0, 46, 37, 38, 39, 40, 41, 42, 43, 44, 45, 50, 49, 47, 48, 36, 34, 35, 27, 0]",84758.0,"[0, 21, 24, 33, 30, 20, 0];[0, 11, 0];[0, 18, 22, 9, 8, 10, 0];[0, 23, 25, 31, 32, 29, 28, 26, 0];[0, 19, 16, 17, 15, 14, 13, 7, 6, 5, 4, 3, 2, 12, 1, 0];[0, 37, 46, 40, 39, 38, 41, 42, 43, 44, 45, 50, 49, 47, 48, 36, 34, 35, 27, 0]",2,600.7451300621033
2021-02-02_14-19-08_754545,88183.0,"[0, 10, 11, 0];[0, 19, 16, 17, 15, 14, 13, 7, 6, 5, 4, 3, 2, 1, 12, 8, 0];[0, 22, 18, 9, 0];[0, 23, 25, 31, 32, 28, 29, 26, 0];[0, 24, 21, 33, 30, 20, 0];[0, 46, 37, 38, 39, 40, 41, 42, 43, 44, 45, 50, 49, 47, 48, 36, 34, 35, 27, 0]",84415.0,"[0, 11, 0];[0, 18, 22, 9, 8, 10, 0];[0, 19, 16, 17, 15, 14, 13, 7, 6, 5, 4, 3, 2, 12, 1, 0];[0, 23, 25, 31, 32, 29, 28, 26, 0];[0, 24, 33, 21, 30, 20, 0];[0, 37, 46, 40, 39, 38, 41, 42, 43, 44, 45, 50, 49, 47, 48, 36, 34, 35, 27, 0]",2,600.2242438793182
2021-02-02_14-29-12_774979,88183.0,"[0, 10, 11, 0];[0, 19, 16, 17, 15, 14, 13, 7, 6, 5, 4, 3, 2, 1, 12, 8, 0];[0, 22, 18, 9, 0];[0, 23, 25, 31, 32, 28, 29, 26, 0];[0, 24, 21, 33, 30, 20, 0];[0, 46, 37, 38, 39, 40, 41, 42, 43, 44, 45, 50, 49, 47, 48, 36, 34, 35, 27, 0]",83985.0,"[0, 11, 0];[0, 23, 25, 28, 32, 29, 27, 26, 0];[0, 19, 16, 17, 15, 14, 13, 7, 6, 5, 4, 3, 2, 1, 12, 0];[0, 18, 22, 9, 8, 10, 0];[0, 24, 33, 21, 31, 30, 20, 0];[0, 37, 46, 40, 39, 38, 41, 42, 43, 44, 45, 50, 49, 47, 48, 36, 34, 35, 0]",2,600.5881650447844
2021-02-02_14-39-17_177721,88183.0,"[0, 10, 11, 0];[0, 19, 16, 17, 15, 14, 13, 7, 6, 5, 4, 3, 2, 1, 12, 8, 0];[0, 22, 18, 9, 0];[0, 23, 25, 31, 32, 28, 29, 26, 0];[0, 24, 21, 33, 30, 20, 0];[0, 46, 37, 38, 39, 40, 41, 42, 43, 44, 45, 50, 49, 47, 48, 36, 34, 35, 27, 0]",83552.0,"[0, 13, 11, 0];[0, 23, 25, 31, 32, 28, 26, 0];[0, 19, 16, 17, 15, 14, 10, 5, 4, 2, 12, 1, 3, 8, 0];[0, 24, 33, 29, 30, 20, 0];[0, 18, 22, 21, 7, 6, 9, 0];[0, 37, 46, 40, 39, 38, 41, 42, 43, 44, 45, 50, 49, 47, 48, 36, 34, 35, 27, 0]",2,603.0341770648956
