it,instant,local_optimum_value
0,0.0,166765.0
1,36.259714126586914,144744.0
2,39.37919211387634,144744.0
3,42.47297215461731,144744.0
4,45.70569396018982,144744.0
5,49.105077028274536,144744.0
6,52.36944007873535,144744.0
7,55.79324007034302,144744.0
8,59.36539697647095,144744.0
9,62.63687801361084,144744.0
10,66.14411115646362,144744.0
11,69.50836205482483,144744.0
12,72.96734309196472,144744.0
13,76.02134013175964,144744.0
14,79.50590109825134,144744.0
15,82.73039412498474,144744.0
16,85.86893105506897,144744.0
17,89.3748049736023,144744.0
18,92.59886908531189,144744.0
19,95.93221998214722,144744.0
20,99.321937084198,144744.0
21,102.37704014778137,144744.0
