it,instant,local_optimum_value
0,0.0,166765.0
1,35.95863890647888,144744.0
2,41.66137504577637,144744.0
3,46.570639848709106,144744.0
4,51.76941394805908,144744.0
5,57.614851236343384,144744.0
6,59.10733485221863,142507.0
7,63.92480421066284,142507.0
8,69.0192551612854,142507.0
9,74.79723811149597,142507.0
10,80.37723016738892,142507.0
11,81.15102505683899,142507.0
12,85.80601716041565,142507.0
13,90.56069087982178,142507.0
14,95.63374018669128,142507.0
15,101.8487720489502,142507.0
16,106.65350413322449,142507.0
17,113.69960188865662,142307.0
18,118.57651901245117,142307.0
19,124.06657695770264,142307.0
20,129.3417570590973,142307.0
21,134.25461411476135,142307.0
22,140.07074785232544,142307.0
23,145.21929717063904,142307.0
24,152.0021891593933,142307.0
25,157.2789089679718,142307.0
26,158.03259110450745,142307.0
27,163.1748948097229,142307.0
28,171.52660989761353,142307.0
29,172.05522799491882,142307.0
30,176.77862811088562,142307.0
31,186.5133969783783,141769.0
32,192.26136803627014,141769.0
33,197.07032203674316,141769.0
34,202.37547183036804,141769.0
35,207.93068194389343,141769.0
36,213.0634469985962,141769.0
37,218.069885969162,141769.0
38,223.21414518356323,141769.0
39,228.9610641002655,141769.0
40,234.53430819511414,141769.0
41,239.52277612686157,141769.0
42,240.30503606796265,141769.0
43,245.55509901046753,141769.0
44,250.37208914756775,141769.0
45,255.29719996452332,141769.0
46,260.7268650531769,141769.0
47,265.95379400253296,141769.0
48,270.77081513404846,141769.0
49,271.5597460269928,141769.0
50,276.7522461414337,141769.0
51,281.7719569206238,141769.0
52,286.69406914711,141769.0
53,291.62642002105713,141769.0
54,296.1127738952637,141769.0
55,300.9557251930237,141769.0
56,306.1689531803131,141769.0
57,309.7123999595642,141769.0
58,310.4951500892639,141769.0
59,315.3775520324707,141769.0
60,320.1853311061859,141769.0
61,325.310585975647,141769.0
62,330.06164503097534,141769.0
63,334.95720410346985,141769.0
64,340.07885694503784,141769.0
65,340.8457329273224,141769.0
66,345.87902212142944,141769.0
67,350.6265869140625,141769.0
68,355.3469178676605,141769.0
69,359.8529679775238,141769.0
70,364.95990085601807,141769.0
71,369.7741119861603,141769.0
72,374.8772540092468,141769.0
73,376.34479117393494,141769.0
74,659.4611840248108,141769.0
