datetime_str,initial_solution_value,initial_solution_routes,local_optimum_value,local_optimum_routes,exit_condition,exec_time
2021-02-02_11-10-23_914962,166765.0,"[0, 8, 7, 18, 19, 20, 22, 23, 28, 27, 24, 25, 26, 21, 17, 16, 15, 4, 5, 0];[0, 11, 12, 13, 47, 48, 53, 34, 35, 36, 33, 31, 30, 32, 29, 54, 0];[0, 43, 44, 52, 38, 39, 42, 41, 37, 40, 45, 46, 14, 51, 3, 2, 1, 0];[0, 50, 6, 9, 10, 49, 0]",138900.0,"[0, 50, 10, 9, 15, 7, 49, 0];[0, 51, 14, 12, 47, 46, 40, 42, 41, 37, 38, 39, 45, 6, 3, 2, 1, 0];[0, 11, 52, 44, 43, 36, 35, 34, 33, 53, 31, 32, 54, 48, 13, 0];[0, 8, 18, 20, 29, 30, 28, 27, 26, 25, 24, 21, 22, 23, 19, 17, 16, 4, 5, 0]",2,719.521812915802
2021-02-02_11-22-27_870129,166765.0,"[0, 8, 7, 18, 19, 20, 22, 23, 28, 27, 24, 25, 26, 21, 17, 16, 15, 4, 5, 0];[0, 11, 12, 13, 47, 48, 53, 34, 35, 36, 33, 31, 30, 32, 29, 54, 0];[0, 43, 44, 52, 38, 39, 42, 41, 37, 40, 45, 46, 14, 51, 3, 2, 1, 0];[0, 50, 6, 9, 10, 49, 0]",139025.0,"[0, 11, 12, 48, 47, 52, 44, 43, 42, 41, 37, 38, 39, 45, 46, 13, 6, 3, 0];[0, 1, 2, 50, 10, 9, 15, 7, 49, 0];[0, 51, 14, 40, 36, 35, 34, 33, 53, 31, 32, 54, 0];[0, 8, 18, 20, 29, 30, 28, 27, 26, 25, 24, 21, 22, 23, 19, 17, 16, 4, 5, 0]",2,800.0190761089325
2021-02-02_11-35-52_116499,166765.0,"[0, 8, 7, 18, 19, 20, 22, 23, 28, 27, 24, 25, 26, 21, 17, 16, 15, 4, 5, 0];[0, 11, 12, 13, 47, 48, 53, 34, 35, 36, 33, 31, 30, 32, 29, 54, 0];[0, 43, 44, 52, 38, 39, 42, 41, 37, 40, 45, 46, 14, 51, 3, 2, 1, 0];[0, 50, 6, 9, 10, 49, 0]",141769.0,"[0, 1, 2, 3, 51, 14, 52, 44, 43, 42, 38, 39, 41, 37, 32, 45, 13, 0];[0, 50, 10, 9, 6, 15, 7, 0];[0, 11, 12, 48, 47, 46, 40, 53, 33, 34, 36, 35, 31, 54, 49, 0];[0, 8, 18, 20, 29, 30, 28, 27, 26, 25, 24, 21, 22, 23, 19, 17, 16, 4, 5, 0]",2,659.4673690795897
2021-02-02_11-46-55_728303,166765.0,"[0, 8, 7, 18, 19, 20, 22, 23, 28, 27, 24, 25, 26, 21, 17, 16, 15, 4, 5, 0];[0, 11, 12, 13, 47, 48, 53, 34, 35, 36, 33, 31, 30, 32, 29, 54, 0];[0, 43, 44, 52, 38, 39, 42, 41, 37, 40, 45, 46, 14, 51, 3, 2, 1, 0];[0, 50, 6, 9, 10, 49, 0]",143081.0,"[0, 50, 9, 15, 7, 2, 1, 0];[0, 10, 11, 12, 48, 47, 46, 40, 36, 35, 34, 33, 53, 31, 32, 30, 54, 49, 0];[0, 8, 18, 19, 20, 22, 23, 29, 28, 27, 26, 24, 25, 21, 17, 16, 4, 5, 0];[0, 51, 14, 13, 52, 44, 43, 42, 41, 37, 38, 39, 45, 6, 3, 0]",2,602.1354050636293
2021-02-02_11-57-02_310233,166765.0,"[0, 8, 7, 18, 19, 20, 22, 23, 28, 27, 24, 25, 26, 21, 17, 16, 15, 4, 5, 0];[0, 11, 12, 13, 47, 48, 53, 34, 35, 36, 33, 31, 30, 32, 29, 54, 0];[0, 43, 44, 52, 38, 39, 42, 41, 37, 40, 45, 46, 14, 51, 3, 2, 1, 0];[0, 50, 6, 9, 10, 49, 0]",141295.0,"[0, 1, 2, 50, 10, 9, 15, 7, 49, 0];[0, 51, 14, 47, 52, 44, 43, 42, 38, 39, 41, 37, 45, 13, 6, 3, 0];[0, 11, 12, 48, 46, 40, 53, 33, 34, 36, 35, 31, 32, 54, 0];[0, 8, 18, 20, 29, 30, 28, 27, 26, 25, 24, 21, 22, 23, 19, 17, 16, 4, 5, 0]",2,845.553277015686
2021-02-02_12-11-12_277724,166765.0,"[0, 8, 7, 18, 19, 20, 22, 23, 28, 27, 24, 25, 26, 21, 17, 16, 15, 4, 5, 0];[0, 11, 12, 13, 47, 48, 53, 34, 35, 36, 33, 31, 30, 32, 29, 54, 0];[0, 43, 44, 52, 38, 39, 42, 41, 37, 40, 45, 46, 14, 51, 3, 2, 1, 0];[0, 50, 6, 9, 10, 49, 0]",139341.0,"[0, 11, 12, 48, 46, 40, 36, 35, 34, 33, 53, 31, 32, 54, 0];[0, 51, 14, 47, 52, 44, 43, 42, 41, 37, 38, 39, 45, 13, 6, 3, 2, 1, 0];[0, 50, 10, 9, 15, 7, 49, 0];[0, 8, 18, 20, 29, 30, 28, 27, 26, 25, 24, 21, 22, 23, 19, 17, 16, 4, 5, 0]",2,694.521075963974
2021-02-02_12-22-51_038259,166765.0,"[0, 8, 7, 18, 19, 20, 22, 23, 28, 27, 24, 25, 26, 21, 17, 16, 15, 4, 5, 0];[0, 11, 12, 13, 47, 48, 53, 34, 35, 36, 33, 31, 30, 32, 29, 54, 0];[0, 43, 44, 52, 38, 39, 42, 41, 37, 40, 45, 46, 14, 51, 3, 2, 1, 0];[0, 50, 6, 9, 10, 49, 0]",141769.0,"[0, 50, 10, 9, 6, 15, 7, 0];[0, 1, 2, 3, 51, 14, 52, 44, 43, 42, 38, 39, 41, 37, 32, 45, 13, 49, 0];[0, 11, 12, 48, 47, 46, 40, 53, 33, 34, 36, 35, 31, 54, 0];[0, 8, 18, 20, 29, 30, 28, 27, 26, 25, 24, 21, 22, 23, 19, 17, 16, 4, 5, 0]",2,616.5687019824983
2021-02-02_12-33-11_941912,166765.0,"[0, 8, 7, 18, 19, 20, 22, 23, 28, 27, 24, 25, 26, 21, 17, 16, 15, 4, 5, 0];[0, 11, 12, 13, 47, 48, 53, 34, 35, 36, 33, 31, 30, 32, 29, 54, 0];[0, 43, 44, 52, 38, 39, 42, 41, 37, 40, 45, 46, 14, 51, 3, 2, 1, 0];[0, 50, 6, 9, 10, 49, 0]",140437.0,"[0, 50, 10, 9, 6, 15, 7, 3, 0];[0, 11, 12, 48, 47, 46, 40, 34, 33, 35, 36, 53, 31, 54, 49, 0];[0, 51, 14, 52, 44, 43, 42, 41, 37, 38, 39, 32, 45, 13, 2, 1, 0];[0, 8, 18, 20, 29, 30, 28, 27, 26, 25, 24, 21, 22, 23, 19, 17, 16, 4, 5, 0]",2,603.2209839820863
2021-02-02_12-43-19_553356,166765.0,"[0, 8, 7, 18, 19, 20, 22, 23, 28, 27, 24, 25, 26, 21, 17, 16, 15, 4, 5, 0];[0, 11, 12, 13, 47, 48, 53, 34, 35, 36, 33, 31, 30, 32, 29, 54, 0];[0, 43, 44, 52, 38, 39, 42, 41, 37, 40, 45, 46, 14, 51, 3, 2, 1, 0];[0, 50, 6, 9, 10, 49, 0]",142562.0,"[0, 10, 51, 14, 47, 52, 44, 43, 42, 41, 37, 38, 39, 45, 46, 13, 3, 2, 1, 0];[0, 50, 9, 6, 15, 7, 49, 0];[0, 8, 18, 19, 20, 22, 23, 29, 28, 27, 26, 24, 25, 21, 17, 16, 4, 5, 0];[0, 11, 12, 48, 40, 36, 35, 34, 33, 53, 31, 32, 30, 54, 0]",2,605.591890335083
2021-02-02_12-53-29_511528,166765.0,"[0, 8, 7, 18, 19, 20, 22, 23, 28, 27, 24, 25, 26, 21, 17, 16, 15, 4, 5, 0];[0, 11, 12, 13, 47, 48, 53, 34, 35, 36, 33, 31, 30, 32, 29, 54, 0];[0, 43, 44, 52, 38, 39, 42, 41, 37, 40, 45, 46, 14, 51, 3, 2, 1, 0];[0, 50, 6, 9, 10, 49, 0]",137936.0,"[0, 50, 10, 9, 6, 3, 2, 0];[0, 51, 14, 52, 44, 43, 42, 41, 37, 38, 39, 54, 48, 13, 15, 7, 1, 0];[0, 11, 12, 47, 46, 40, 36, 35, 34, 33, 53, 31, 32, 45, 49, 0];[0, 8, 18, 20, 29, 30, 28, 27, 26, 25, 24, 21, 22, 23, 19, 17, 16, 4, 5, 0]",2,608.7942490577698
