datetime_str,initial_solution_value,initial_solution_routes,local_optimum_value,local_optimum_routes,exit_condition,exec_time
2021-02-02_09-29-19_917459,198610.0,"[0, 8, 7, 18, 19, 20, 22, 23, 28, 27, 24, 25, 26, 21, 17, 16, 15, 9, 2, 1, 0];[0, 10, 49, 3, 4, 5, 6, 0];[0, 12, 13, 35, 36, 33, 31, 30, 32, 29, 54, 0];[0, 43, 44, 52, 42, 41, 37, 40, 45, 46, 14, 51, 0];[0, 50, 11, 47, 48, 53, 34, 38, 39, 0]",198093.0,"[0, 8, 7, 18, 19, 20, 22, 23, 28, 27, 24, 25, 26, 21, 17, 16, 15, 9, 2, 1, 0];[0, 43, 44, 52, 42, 41, 37, 40, 45, 46, 0];[0, 12, 13, 35, 36, 33, 31, 30, 32, 29, 54, 0];[0, 10, 51, 49, 3, 14, 4, 5, 6, 0];[0, 50, 11, 47, 48, 53, 34, 38, 39, 0]",2,600.5707659721376
2021-02-02_09-39-25_165435,198610.0,"[0, 8, 7, 18, 19, 20, 22, 23, 28, 27, 24, 25, 26, 21, 17, 16, 15, 9, 2, 1, 0];[0, 10, 49, 3, 4, 5, 6, 0];[0, 12, 13, 35, 36, 33, 31, 30, 32, 29, 54, 0];[0, 43, 44, 52, 42, 41, 37, 40, 45, 46, 14, 51, 0];[0, 50, 11, 47, 48, 53, 34, 38, 39, 0]",197300.0,"[0, 43, 44, 52, 42, 41, 37, 45, 40, 46, 0];[0, 10, 18, 19, 20, 22, 23, 28, 27, 24, 25, 26, 21, 17, 16, 15, 9, 2, 1, 0];[0, 12, 13, 35, 36, 33, 31, 30, 32, 29, 54, 0];[0, 7, 49, 3, 51, 14, 8, 4, 5, 6, 0];[0, 50, 11, 47, 48, 38, 53, 34, 39, 0]",2,600.5727920532228
2021-02-02_09-49-29_927506,198610.0,"[0, 8, 7, 18, 19, 20, 22, 23, 28, 27, 24, 25, 26, 21, 17, 16, 15, 9, 2, 1, 0];[0, 10, 49, 3, 4, 5, 6, 0];[0, 12, 13, 35, 36, 33, 31, 30, 32, 29, 54, 0];[0, 43, 44, 52, 42, 41, 37, 40, 45, 46, 14, 51, 0];[0, 50, 11, 47, 48, 53, 34, 38, 39, 0]",197329.0,"[0, 43, 44, 52, 42, 41, 37, 45, 40, 46, 0];[0, 7, 49, 3, 51, 14, 8, 4, 5, 6, 0];[0, 12, 13, 35, 36, 33, 31, 30, 32, 29, 54, 0];[0, 10, 18, 19, 20, 22, 23, 28, 27, 24, 25, 26, 21, 17, 16, 15, 9, 2, 1, 0];[0, 50, 11, 47, 48, 53, 34, 38, 39, 0]",2,600.5769112110137
2021-02-02_09-59-34_896393,198610.0,"[0, 8, 7, 18, 19, 20, 22, 23, 28, 27, 24, 25, 26, 21, 17, 16, 15, 9, 2, 1, 0];[0, 10, 49, 3, 4, 5, 6, 0];[0, 12, 13, 35, 36, 33, 31, 30, 32, 29, 54, 0];[0, 43, 44, 52, 42, 41, 37, 40, 45, 46, 14, 51, 0];[0, 50, 11, 47, 48, 53, 34, 38, 39, 0]",197300.0,"[0, 7, 49, 3, 51, 14, 8, 4, 5, 6, 0];[0, 10, 18, 19, 20, 22, 23, 28, 27, 24, 25, 26, 21, 17, 16, 15, 9, 2, 1, 0];[0, 12, 13, 35, 36, 33, 31, 30, 32, 29, 54, 0];[0, 43, 44, 52, 42, 41, 37, 45, 40, 46, 0];[0, 50, 11, 47, 48, 38, 53, 34, 39, 0]",2,600.6302580833435
2021-02-02_10-09-39_769725,198610.0,"[0, 8, 7, 18, 19, 20, 22, 23, 28, 27, 24, 25, 26, 21, 17, 16, 15, 9, 2, 1, 0];[0, 10, 49, 3, 4, 5, 6, 0];[0, 12, 13, 35, 36, 33, 31, 30, 32, 29, 54, 0];[0, 43, 44, 52, 42, 41, 37, 40, 45, 46, 14, 51, 0];[0, 50, 11, 47, 48, 53, 34, 38, 39, 0]",197300.0,"[0, 10, 18, 19, 20, 22, 23, 28, 27, 24, 25, 26, 21, 17, 16, 15, 9, 2, 1, 0];[0, 43, 44, 52, 42, 41, 37, 45, 40, 46, 0];[0, 12, 13, 35, 36, 33, 31, 30, 32, 29, 54, 0];[0, 7, 49, 3, 51, 14, 8, 4, 5, 6, 0];[0, 50, 11, 47, 48, 38, 53, 34, 39, 0]",2,600.0191938877107
2021-02-02_10-19-44_174035,198610.0,"[0, 8, 7, 18, 19, 20, 22, 23, 28, 27, 24, 25, 26, 21, 17, 16, 15, 9, 2, 1, 0];[0, 10, 49, 3, 4, 5, 6, 0];[0, 12, 13, 35, 36, 33, 31, 30, 32, 29, 54, 0];[0, 43, 44, 52, 42, 41, 37, 40, 45, 46, 14, 51, 0];[0, 50, 11, 47, 48, 53, 34, 38, 39, 0]",197300.0,"[0, 43, 44, 52, 42, 41, 37, 45, 40, 46, 0];[0, 10, 18, 19, 20, 22, 23, 28, 27, 24, 25, 26, 21, 17, 16, 15, 9, 2, 1, 0];[0, 12, 13, 35, 36, 33, 31, 30, 32, 29, 54, 0];[0, 7, 49, 3, 51, 14, 8, 4, 5, 6, 0];[0, 50, 11, 47, 48, 38, 53, 34, 39, 0]",2,600.2281038761139
2021-02-02_10-29-48_564872,198610.0,"[0, 8, 7, 18, 19, 20, 22, 23, 28, 27, 24, 25, 26, 21, 17, 16, 15, 9, 2, 1, 0];[0, 10, 49, 3, 4, 5, 6, 0];[0, 12, 13, 35, 36, 33, 31, 30, 32, 29, 54, 0];[0, 43, 44, 52, 42, 41, 37, 40, 45, 46, 14, 51, 0];[0, 50, 11, 47, 48, 53, 34, 38, 39, 0]",194486.0,"[0, 43, 44, 52, 42, 41, 37, 45, 40, 46, 0];[0, 10, 18, 19, 20, 22, 23, 28, 27, 24, 25, 26, 21, 17, 16, 15, 9, 2, 1, 0];[0, 12, 13, 35, 36, 33, 31, 30, 32, 29, 54, 0];[0, 7, 3, 51, 14, 8, 4, 5, 6, 49, 0];[0, 50, 11, 47, 48, 38, 53, 34, 39, 0]",2,600.179897069931
2021-02-02_10-39-53_127677,198610.0,"[0, 8, 7, 18, 19, 20, 22, 23, 28, 27, 24, 25, 26, 21, 17, 16, 15, 9, 2, 1, 0];[0, 10, 49, 3, 4, 5, 6, 0];[0, 12, 13, 35, 36, 33, 31, 30, 32, 29, 54, 0];[0, 43, 44, 52, 42, 41, 37, 40, 45, 46, 14, 51, 0];[0, 50, 11, 47, 48, 53, 34, 38, 39, 0]",197300.0,"[0, 43, 44, 52, 42, 41, 37, 45, 40, 46, 0];[0, 7, 49, 3, 51, 14, 8, 4, 5, 6, 0];[0, 12, 13, 35, 36, 33, 31, 30, 32, 29, 54, 0];[0, 10, 18, 19, 20, 22, 23, 28, 27, 24, 25, 26, 21, 17, 16, 15, 9, 2, 1, 0];[0, 50, 11, 47, 48, 38, 53, 34, 39, 0]",2,600.0535800457002
2021-02-02_10-49-57_511577,198610.0,"[0, 8, 7, 18, 19, 20, 22, 23, 28, 27, 24, 25, 26, 21, 17, 16, 15, 9, 2, 1, 0];[0, 10, 49, 3, 4, 5, 6, 0];[0, 12, 13, 35, 36, 33, 31, 30, 32, 29, 54, 0];[0, 43, 44, 52, 42, 41, 37, 40, 45, 46, 14, 51, 0];[0, 50, 11, 47, 48, 53, 34, 38, 39, 0]",197300.0,"[0, 43, 44, 52, 42, 41, 37, 45, 40, 46, 0];[0, 10, 18, 19, 20, 22, 23, 28, 27, 24, 25, 26, 21, 17, 16, 15, 9, 2, 1, 0];[0, 12, 13, 35, 36, 33, 31, 30, 32, 29, 54, 0];[0, 7, 49, 3, 51, 14, 8, 4, 5, 6, 0];[0, 50, 11, 47, 48, 38, 53, 34, 39, 0]",2,600.2267870903015
2021-02-02_11-00-02_716434,198610.0,"[0, 8, 7, 18, 19, 20, 22, 23, 28, 27, 24, 25, 26, 21, 17, 16, 15, 9, 2, 1, 0];[0, 10, 49, 3, 4, 5, 6, 0];[0, 12, 13, 35, 36, 33, 31, 30, 32, 29, 54, 0];[0, 43, 44, 52, 42, 41, 37, 40, 45, 46, 14, 51, 0];[0, 50, 11, 47, 48, 53, 34, 38, 39, 0]",197329.0,"[0, 10, 18, 19, 20, 22, 23, 28, 27, 24, 25, 26, 21, 17, 16, 15, 9, 2, 1, 0];[0, 43, 44, 52, 42, 41, 37, 45, 40, 46, 0];[0, 12, 13, 35, 36, 33, 31, 30, 32, 29, 54, 0];[0, 7, 49, 3, 51, 14, 8, 4, 5, 6, 0];[0, 50, 11, 47, 48, 53, 34, 38, 39, 0]",2,600.6071741580963
