datetime_str,initial_solution_value,initial_solution_routes,local_optimum_value,local_optimum_routes,exit_condition,exec_time
2021-02-02_07-57-02_237141,309326.0,"[0, 3, 7, 15, 2, 6, 0];[0, 9, 10, 49, 0];[0, 11, 13, 35, 36, 30, 32, 47, 33, 34, 0];[0, 12, 1, 4, 0];[0, 18, 19, 20, 14, 51, 0];[0, 38, 39, 0];[0, 42, 41, 37, 48, 29, 54, 0];[0, 43, 44, 52, 46, 40, 45, 0];[0, 50, 8, 5, 0];[0, 53, 31, 24, 25, 26, 21, 22, 23, 28, 27, 17, 16, 0]",302115.0,"[0, 3, 7, 15, 2, 0];[0, 9, 6, 49, 0];[0, 11, 44, 42, 41, 37, 48, 29, 54, 0];[0, 12, 1, 4, 0];[0, 10, 19, 20, 18, 0];[0, 13, 35, 36, 30, 32, 47, 33, 34, 0];[0, 51, 14, 38, 39, 0];[0, 43, 52, 45, 46, 40, 0];[0, 50, 8, 5, 0];[0, 53, 31, 24, 25, 26, 21, 22, 23, 28, 27, 17, 16, 0]",3,58.809081077575684
2021-02-02_07-58-05_790860,309326.0,"[0, 3, 7, 15, 2, 6, 0];[0, 9, 10, 49, 0];[0, 11, 13, 35, 36, 30, 32, 47, 33, 34, 0];[0, 12, 1, 4, 0];[0, 18, 19, 20, 14, 51, 0];[0, 38, 39, 0];[0, 42, 41, 37, 48, 29, 54, 0];[0, 43, 44, 52, 46, 40, 45, 0];[0, 50, 8, 5, 0];[0, 53, 31, 24, 25, 26, 21, 22, 23, 28, 27, 17, 16, 0]",300045.0,"[0, 10, 9, 0];[0, 18, 19, 20, 49, 0];[0, 13, 35, 36, 30, 32, 47, 33, 34, 0];[0, 12, 1, 4, 0];[0, 15, 7, 2, 6, 3, 0];[0, 43, 52, 44, 46, 40, 45, 0];[0, 51, 14, 38, 39, 0];[0, 11, 42, 41, 37, 48, 29, 54, 0];[0, 50, 8, 5, 0];[0, 53, 31, 24, 25, 26, 21, 22, 23, 28, 27, 17, 16, 0]",2,601.0602450370789
2021-02-02_08-08-10_874873,309326.0,"[0, 3, 7, 15, 2, 6, 0];[0, 9, 10, 49, 0];[0, 11, 13, 35, 36, 30, 32, 47, 33, 34, 0];[0, 12, 1, 4, 0];[0, 18, 19, 20, 14, 51, 0];[0, 38, 39, 0];[0, 42, 41, 37, 48, 29, 54, 0];[0, 43, 44, 52, 46, 40, 45, 0];[0, 50, 8, 5, 0];[0, 53, 31, 24, 25, 26, 21, 22, 23, 28, 27, 17, 16, 0]",304602.0,"[0, 3, 7, 15, 2, 6, 0];[0, 10, 9, 0];[0, 13, 35, 36, 30, 32, 47, 33, 34, 0];[0, 12, 1, 4, 0];[0, 18, 19, 20, 49, 0];[0, 43, 52, 44, 46, 40, 45, 0];[0, 11, 42, 41, 37, 48, 29, 54, 0];[0, 51, 14, 38, 39, 0];[0, 50, 8, 5, 0];[0, 53, 31, 24, 25, 26, 21, 22, 23, 28, 27, 17, 16, 0]",2,601.2398378849031
2021-02-02_08-18-16_228428,309326.0,"[0, 3, 7, 15, 2, 6, 0];[0, 9, 10, 49, 0];[0, 11, 13, 35, 36, 30, 32, 47, 33, 34, 0];[0, 12, 1, 4, 0];[0, 18, 19, 20, 14, 51, 0];[0, 38, 39, 0];[0, 42, 41, 37, 48, 29, 54, 0];[0, 43, 44, 52, 46, 40, 45, 0];[0, 50, 8, 5, 0];[0, 53, 31, 24, 25, 26, 21, 22, 23, 28, 27, 17, 16, 0]",300045.0,"[0, 10, 9, 49, 0];[0, 18, 19, 20, 0];[0, 13, 35, 36, 30, 32, 47, 33, 34, 0];[0, 12, 1, 4, 0];[0, 15, 7, 2, 6, 3, 0];[0, 43, 52, 44, 46, 40, 45, 0];[0, 11, 42, 41, 37, 48, 29, 54, 0];[0, 51, 14, 38, 39, 0];[0, 50, 8, 5, 0];[0, 53, 31, 24, 25, 26, 21, 22, 23, 28, 27, 17, 16, 0]",2,600.6844611167908
2021-02-02_08-28-20_996011,309326.0,"[0, 3, 7, 15, 2, 6, 0];[0, 9, 10, 49, 0];[0, 11, 13, 35, 36, 30, 32, 47, 33, 34, 0];[0, 12, 1, 4, 0];[0, 18, 19, 20, 14, 51, 0];[0, 38, 39, 0];[0, 42, 41, 37, 48, 29, 54, 0];[0, 43, 44, 52, 46, 40, 45, 0];[0, 50, 8, 5, 0];[0, 53, 31, 24, 25, 26, 21, 22, 23, 28, 27, 17, 16, 0]",300534.0,"[0, 10, 9, 0];[0, 13, 35, 36, 30, 32, 47, 34, 0];[0, 43, 52, 44, 46, 40, 45, 0];[0, 12, 1, 4, 0];[0, 51, 14, 20, 19, 18, 49, 0];[0, 38, 33, 39, 0];[0, 15, 7, 2, 6, 3, 0];[0, 11, 42, 41, 37, 48, 29, 54, 0];[0, 50, 8, 5, 0];[0, 53, 31, 24, 25, 26, 21, 22, 23, 28, 27, 17, 16, 0]",2,601.6358227729797
2021-02-02_08-38-26_649135,309326.0,"[0, 3, 7, 15, 2, 6, 0];[0, 9, 10, 49, 0];[0, 11, 13, 35, 36, 30, 32, 47, 33, 34, 0];[0, 12, 1, 4, 0];[0, 18, 19, 20, 14, 51, 0];[0, 38, 39, 0];[0, 42, 41, 37, 48, 29, 54, 0];[0, 43, 44, 52, 46, 40, 45, 0];[0, 50, 8, 5, 0];[0, 53, 31, 24, 25, 26, 21, 22, 23, 28, 27, 17, 16, 0]",300534.0,"[0, 10, 9, 0];[0, 13, 35, 36, 30, 32, 47, 34, 0];[0, 43, 52, 44, 46, 40, 45, 0];[0, 12, 1, 4, 0];[0, 51, 14, 20, 19, 18, 49, 0];[0, 11, 42, 41, 37, 48, 29, 54, 0];[0, 15, 7, 2, 6, 3, 0];[0, 38, 33, 39, 0];[0, 50, 8, 5, 0];[0, 53, 31, 24, 25, 26, 21, 22, 23, 28, 27, 17, 16, 0]",2,601.8312387466432
2021-02-02_08-48-32_424137,309326.0,"[0, 3, 7, 15, 2, 6, 0];[0, 9, 10, 49, 0];[0, 11, 13, 35, 36, 30, 32, 47, 33, 34, 0];[0, 12, 1, 4, 0];[0, 18, 19, 20, 14, 51, 0];[0, 38, 39, 0];[0, 42, 41, 37, 48, 29, 54, 0];[0, 43, 44, 52, 46, 40, 45, 0];[0, 50, 8, 5, 0];[0, 53, 31, 24, 25, 26, 21, 22, 23, 28, 27, 17, 16, 0]",300048.0,"[0, 3, 7, 15, 2, 6, 0];[0, 10, 9, 0];[0, 11, 13, 35, 36, 30, 32, 47, 33, 34, 0];[0, 12, 1, 4, 0];[0, 18, 19, 20, 49, 0];[0, 51, 14, 44, 52, 40, 45, 46, 0];[0, 42, 41, 37, 38, 48, 29, 54, 0];[0, 43, 39, 0];[0, 50, 8, 5, 0];[0, 53, 31, 24, 25, 26, 21, 22, 23, 28, 27, 17, 16, 0]",2,600.132541179657
2021-02-02_08-58-36_506625,309326.0,"[0, 3, 7, 15, 2, 6, 0];[0, 9, 10, 49, 0];[0, 11, 13, 35, 36, 30, 32, 47, 33, 34, 0];[0, 12, 1, 4, 0];[0, 18, 19, 20, 14, 51, 0];[0, 38, 39, 0];[0, 42, 41, 37, 48, 29, 54, 0];[0, 43, 44, 52, 46, 40, 45, 0];[0, 50, 8, 5, 0];[0, 53, 31, 24, 25, 26, 21, 22, 23, 28, 27, 17, 16, 0]",300534.0,"[0, 10, 9, 49, 0];[0, 43, 52, 44, 46, 40, 45, 0];[0, 13, 35, 36, 30, 32, 47, 34, 0];[0, 12, 1, 4, 0];[0, 51, 14, 20, 19, 18, 0];[0, 11, 42, 41, 37, 48, 29, 54, 0];[0, 15, 7, 2, 6, 3, 0];[0, 38, 33, 39, 0];[0, 50, 8, 5, 0];[0, 53, 31, 24, 25, 26, 21, 22, 23, 28, 27, 17, 16, 0]",2,601.222944021225
2021-02-02_09-08-41_713888,309326.0,"[0, 3, 7, 15, 2, 6, 0];[0, 9, 10, 49, 0];[0, 11, 13, 35, 36, 30, 32, 47, 33, 34, 0];[0, 12, 1, 4, 0];[0, 18, 19, 20, 14, 51, 0];[0, 38, 39, 0];[0, 42, 41, 37, 48, 29, 54, 0];[0, 43, 44, 52, 46, 40, 45, 0];[0, 50, 8, 5, 0];[0, 53, 31, 24, 25, 26, 21, 22, 23, 28, 27, 17, 16, 0]",302417.0,"[0, 3, 7, 15, 2, 6, 0];[0, 10, 9, 49, 0];[0, 13, 35, 36, 30, 32, 47, 33, 34, 0];[0, 12, 1, 4, 0];[0, 43, 52, 44, 40, 46, 0];[0, 38, 39, 45, 0];[0, 11, 42, 41, 37, 48, 29, 54, 0];[0, 51, 14, 19, 18, 20, 0];[0, 50, 8, 5, 0];[0, 53, 31, 24, 25, 26, 21, 22, 23, 28, 27, 17, 16, 0]",2,601.091557264328
2021-02-02_09-18-46_761380,309326.0,"[0, 3, 7, 15, 2, 6, 0];[0, 9, 10, 49, 0];[0, 11, 13, 35, 36, 30, 32, 47, 33, 34, 0];[0, 12, 1, 4, 0];[0, 18, 19, 20, 14, 51, 0];[0, 38, 39, 0];[0, 42, 41, 37, 48, 29, 54, 0];[0, 43, 44, 52, 46, 40, 45, 0];[0, 50, 8, 5, 0];[0, 53, 31, 24, 25, 26, 21, 22, 23, 28, 27, 17, 16, 0]",300644.0,"[0, 50, 2, 6, 8, 15, 0];[0, 10, 9, 49, 0];[0, 13, 30, 32, 33, 34, 47, 35, 36, 0];[0, 12, 1, 4, 0];[0, 16, 18, 19, 20, 0];[0, 45, 53, 31, 24, 25, 26, 21, 22, 23, 28, 27, 17, 0];[0, 43, 52, 44, 40, 46, 0];[0, 11, 42, 41, 37, 48, 29, 54, 0];[0, 3, 7, 5, 0];[0, 51, 14, 38, 39, 0]",2,600.6517958641052
