datetime_str,initial_solution_value,initial_solution_routes,local_optimum_value,local_optimum_routes,exit_condition,exec_time
2021-02-04_18-54-26_421719,91140.0,"[0, 1, 5, 7, 10, 57, 11, 9, 13, 12, 14, 15, 8, 55, 46, 35, 37, 34, 32, 33, 38, 40, 41, 44, 47, 42, 43, 39, 45, 50, 49, 51, 53, 56, 54, 52, 48, 36, 27, 31, 26, 19, 17, 20, 25, 58, 29, 30, 28, 24, 22, 23, 21, 18, 16, 6, 3, 4, 2, 0]",91140.0,"[0, 1, 5, 7, 10, 57, 11, 9, 13, 12, 14, 15, 8, 55, 46, 35, 37, 34, 32, 33, 38, 40, 41, 44, 47, 42, 43, 39, 45, 50, 49, 51, 53, 56, 54, 52, 48, 36, 27, 31, 26, 19, 17, 20, 25, 58, 29, 30, 28, 24, 22, 23, 21, 18, 16, 6, 3, 4, 2, 0]",2,606.9116468429564
2021-02-04_19-04-41_741203,91140.0,"[0, 1, 5, 7, 10, 57, 11, 9, 13, 12, 14, 15, 8, 55, 46, 35, 37, 34, 32, 33, 38, 40, 41, 44, 47, 42, 43, 39, 45, 50, 49, 51, 53, 56, 54, 52, 48, 36, 27, 31, 26, 19, 17, 20, 25, 58, 29, 30, 28, 24, 22, 23, 21, 18, 16, 6, 3, 4, 2, 0]",88474.0,"[0, 1, 5, 7, 11, 9, 10, 57, 13, 12, 14, 15, 8, 27, 31, 35, 37, 34, 32, 33, 38, 40, 41, 44, 47, 42, 52, 48, 45, 50, 49, 51, 53, 56, 54, 46, 26, 36, 55, 43, 39, 19, 17, 20, 25, 58, 29, 30, 28, 24, 22, 23, 21, 18, 16, 6, 3, 4, 2, 0]",2,1063.024852991104
2021-02-04_19-22-32_425368,91140.0,"[0, 1, 5, 7, 10, 57, 11, 9, 13, 12, 14, 15, 8, 55, 46, 35, 37, 34, 32, 33, 38, 40, 41, 44, 47, 42, 43, 39, 45, 50, 49, 51, 53, 56, 54, 52, 48, 36, 27, 31, 26, 19, 17, 20, 25, 58, 29, 30, 28, 24, 22, 23, 21, 18, 16, 6, 3, 4, 2, 0]",88474.0,"[0, 1, 5, 7, 11, 9, 10, 57, 13, 12, 14, 15, 8, 27, 31, 35, 37, 34, 32, 33, 38, 40, 41, 44, 47, 42, 52, 48, 45, 50, 49, 51, 53, 56, 54, 46, 26, 36, 55, 43, 39, 19, 17, 20, 25, 58, 29, 30, 28, 24, 22, 23, 21, 18, 16, 6, 3, 4, 2, 0]",2,600.8084177970886
2021-02-04_19-32-40_306535,91140.0,"[0, 1, 5, 7, 10, 57, 11, 9, 13, 12, 14, 15, 8, 55, 46, 35, 37, 34, 32, 33, 38, 40, 41, 44, 47, 42, 43, 39, 45, 50, 49, 51, 53, 56, 54, 52, 48, 36, 27, 31, 26, 19, 17, 20, 25, 58, 29, 30, 28, 24, 22, 23, 21, 18, 16, 6, 3, 4, 2, 0]",88474.0,"[0, 1, 5, 7, 11, 9, 10, 57, 13, 12, 14, 15, 8, 27, 31, 35, 37, 34, 32, 33, 38, 40, 41, 44, 47, 42, 52, 48, 45, 50, 49, 51, 53, 56, 54, 46, 26, 36, 55, 43, 39, 19, 17, 20, 25, 58, 29, 30, 28, 24, 22, 23, 21, 18, 16, 6, 3, 4, 2, 0]",2,1021.6463150978087
2021-02-04_19-49-49_008606,91140.0,"[0, 1, 5, 7, 10, 57, 11, 9, 13, 12, 14, 15, 8, 55, 46, 35, 37, 34, 32, 33, 38, 40, 41, 44, 47, 42, 43, 39, 45, 50, 49, 51, 53, 56, 54, 52, 48, 36, 27, 31, 26, 19, 17, 20, 25, 58, 29, 30, 28, 24, 22, 23, 21, 18, 16, 6, 3, 4, 2, 0]",88474.0,"[0, 1, 5, 7, 11, 9, 10, 57, 13, 12, 14, 15, 8, 27, 31, 35, 37, 34, 32, 33, 38, 40, 41, 44, 47, 42, 52, 48, 45, 50, 49, 51, 53, 56, 54, 46, 26, 36, 55, 43, 39, 19, 17, 20, 25, 58, 29, 30, 28, 24, 22, 23, 21, 18, 16, 6, 3, 4, 2, 0]",2,989.4947500228882
2021-02-04_20-06-25_083526,91140.0,"[0, 1, 5, 7, 10, 57, 11, 9, 13, 12, 14, 15, 8, 55, 46, 35, 37, 34, 32, 33, 38, 40, 41, 44, 47, 42, 43, 39, 45, 50, 49, 51, 53, 56, 54, 52, 48, 36, 27, 31, 26, 19, 17, 20, 25, 58, 29, 30, 28, 24, 22, 23, 21, 18, 16, 6, 3, 4, 2, 0]",88474.0,"[0, 1, 5, 7, 11, 9, 10, 57, 13, 12, 14, 15, 8, 27, 31, 35, 37, 34, 32, 33, 38, 40, 41, 44, 47, 42, 52, 48, 45, 50, 49, 51, 53, 56, 54, 46, 26, 36, 55, 43, 39, 19, 17, 20, 25, 58, 29, 30, 28, 24, 22, 23, 21, 18, 16, 6, 3, 4, 2, 0]",2,979.0678808689116
2021-02-04_20-22-50_810466,91140.0,"[0, 1, 5, 7, 10, 57, 11, 9, 13, 12, 14, 15, 8, 55, 46, 35, 37, 34, 32, 33, 38, 40, 41, 44, 47, 42, 43, 39, 45, 50, 49, 51, 53, 56, 54, 52, 48, 36, 27, 31, 26, 19, 17, 20, 25, 58, 29, 30, 28, 24, 22, 23, 21, 18, 16, 6, 3, 4, 2, 0]",88474.0,"[0, 1, 5, 7, 11, 9, 10, 57, 13, 12, 14, 15, 8, 27, 31, 35, 37, 34, 32, 33, 38, 40, 41, 44, 47, 42, 52, 48, 45, 50, 49, 51, 53, 56, 54, 46, 26, 36, 55, 43, 39, 19, 17, 20, 25, 58, 29, 30, 28, 24, 22, 23, 21, 18, 16, 6, 3, 4, 2, 0]",2,992.9954371452333
2021-02-04_20-39-30_493343,91140.0,"[0, 1, 5, 7, 10, 57, 11, 9, 13, 12, 14, 15, 8, 55, 46, 35, 37, 34, 32, 33, 38, 40, 41, 44, 47, 42, 43, 39, 45, 50, 49, 51, 53, 56, 54, 52, 48, 36, 27, 31, 26, 19, 17, 20, 25, 58, 29, 30, 28, 24, 22, 23, 21, 18, 16, 6, 3, 4, 2, 0]",88474.0,"[0, 1, 5, 7, 11, 9, 10, 57, 13, 12, 14, 15, 8, 27, 31, 35, 37, 34, 32, 33, 38, 40, 41, 44, 47, 42, 52, 48, 45, 50, 49, 51, 53, 56, 54, 46, 26, 36, 55, 43, 39, 19, 17, 20, 25, 58, 29, 30, 28, 24, 22, 23, 21, 18, 16, 6, 3, 4, 2, 0]",2,990.7329759597777
2021-02-04_20-56-07_592328,91140.0,"[0, 1, 5, 7, 10, 57, 11, 9, 13, 12, 14, 15, 8, 55, 46, 35, 37, 34, 32, 33, 38, 40, 41, 44, 47, 42, 43, 39, 45, 50, 49, 51, 53, 56, 54, 52, 48, 36, 27, 31, 26, 19, 17, 20, 25, 58, 29, 30, 28, 24, 22, 23, 21, 18, 16, 6, 3, 4, 2, 0]",88474.0,"[0, 1, 5, 7, 11, 9, 10, 57, 13, 12, 14, 15, 8, 27, 31, 35, 37, 34, 32, 33, 38, 40, 41, 44, 47, 42, 52, 48, 45, 50, 49, 51, 53, 56, 54, 46, 26, 36, 55, 43, 39, 19, 17, 20, 25, 58, 29, 30, 28, 24, 22, 23, 21, 18, 16, 6, 3, 4, 2, 0]",2,980.356539964676
2021-02-04_21-12-34_399049,91140.0,"[0, 1, 5, 7, 10, 57, 11, 9, 13, 12, 14, 15, 8, 55, 46, 35, 37, 34, 32, 33, 38, 40, 41, 44, 47, 42, 43, 39, 45, 50, 49, 51, 53, 56, 54, 52, 48, 36, 27, 31, 26, 19, 17, 20, 25, 58, 29, 30, 28, 24, 22, 23, 21, 18, 16, 6, 3, 4, 2, 0]",88474.0,"[0, 1, 5, 7, 11, 9, 10, 57, 13, 12, 14, 15, 8, 27, 31, 35, 37, 34, 32, 33, 38, 40, 41, 44, 47, 42, 52, 48, 45, 50, 49, 51, 53, 56, 54, 46, 26, 36, 55, 43, 39, 19, 17, 20, 25, 58, 29, 30, 28, 24, 22, 23, 21, 18, 16, 6, 3, 4, 2, 0]",2,980.2090630531311
