datetime_str,initial_solution_value,initial_solution_routes,local_optimum_value,local_optimum_routes,exit_condition,exec_time
2021-02-01_23-56-23_805221,103335.0,"[0, 5, 7, 1, 10, 57, 11, 9, 0];[0, 55, 46, 35, 34, 32, 31, 26, 33, 38, 40, 41, 44, 47, 42, 43, 39, 37, 45, 50, 49, 51, 53, 56, 54, 52, 48, 36, 27, 13, 12, 14, 15, 19, 17, 20, 25, 58, 29, 30, 28, 24, 22, 23, 21, 18, 8, 16, 6, 3, 4, 2, 0]",99720.0,"[0, 5, 7, 1, 10, 57, 11, 9, 0];[0, 37, 46, 35, 34, 32, 31, 26, 33, 38, 40, 41, 44, 47, 42, 43, 39, 55, 45, 50, 49, 51, 53, 52, 54, 56, 48, 36, 27, 19, 12, 14, 15, 13, 17, 20, 25, 30, 29, 58, 28, 24, 22, 23, 21, 18, 8, 16, 6, 3, 4, 2, 0]",2,600.5362968444823
2021-02-02_00-06-31_090122,103335.0,"[0, 5, 7, 1, 10, 57, 11, 9, 0];[0, 55, 46, 35, 34, 32, 31, 26, 33, 38, 40, 41, 44, 47, 42, 43, 39, 37, 45, 50, 49, 51, 53, 56, 54, 52, 48, 36, 27, 13, 12, 14, 15, 19, 17, 20, 25, 58, 29, 30, 28, 24, 22, 23, 21, 18, 8, 16, 6, 3, 4, 2, 0]",99720.0,"[0, 5, 7, 1, 10, 57, 11, 9, 0];[0, 37, 46, 35, 34, 32, 31, 26, 33, 38, 40, 41, 44, 47, 42, 43, 39, 55, 45, 50, 49, 51, 53, 52, 54, 56, 48, 36, 27, 19, 12, 14, 15, 13, 17, 20, 25, 30, 29, 58, 28, 24, 22, 23, 21, 18, 8, 16, 6, 3, 4, 2, 0]",2,600.6354217529298
2021-02-02_00-16-38_179463,103335.0,"[0, 5, 7, 1, 10, 57, 11, 9, 0];[0, 55, 46, 35, 34, 32, 31, 26, 33, 38, 40, 41, 44, 47, 42, 43, 39, 37, 45, 50, 49, 51, 53, 56, 54, 52, 48, 36, 27, 13, 12, 14, 15, 19, 17, 20, 25, 58, 29, 30, 28, 24, 22, 23, 21, 18, 8, 16, 6, 3, 4, 2, 0]",99720.0,"[0, 5, 7, 1, 10, 57, 11, 9, 0];[0, 37, 46, 35, 34, 32, 31, 26, 33, 38, 40, 41, 44, 47, 42, 43, 39, 55, 45, 50, 49, 51, 53, 52, 54, 56, 48, 36, 27, 19, 12, 14, 15, 13, 17, 20, 25, 30, 29, 58, 28, 24, 22, 23, 21, 18, 8, 16, 6, 3, 4, 2, 0]",2,600.5225338935853
2021-02-02_00-26-45_567664,103335.0,"[0, 5, 7, 1, 10, 57, 11, 9, 0];[0, 55, 46, 35, 34, 32, 31, 26, 33, 38, 40, 41, 44, 47, 42, 43, 39, 37, 45, 50, 49, 51, 53, 56, 54, 52, 48, 36, 27, 13, 12, 14, 15, 19, 17, 20, 25, 58, 29, 30, 28, 24, 22, 23, 21, 18, 8, 16, 6, 3, 4, 2, 0]",99720.0,"[0, 5, 7, 1, 10, 57, 11, 9, 0];[0, 37, 46, 35, 34, 32, 31, 26, 33, 38, 40, 41, 44, 47, 42, 43, 39, 55, 45, 50, 49, 51, 53, 52, 54, 56, 48, 36, 27, 19, 12, 14, 15, 13, 17, 20, 25, 30, 29, 58, 28, 24, 22, 23, 21, 18, 8, 16, 6, 3, 4, 2, 0]",2,600.5762670040132
2021-02-02_00-36-51_881170,103335.0,"[0, 5, 7, 1, 10, 57, 11, 9, 0];[0, 55, 46, 35, 34, 32, 31, 26, 33, 38, 40, 41, 44, 47, 42, 43, 39, 37, 45, 50, 49, 51, 53, 56, 54, 52, 48, 36, 27, 13, 12, 14, 15, 19, 17, 20, 25, 58, 29, 30, 28, 24, 22, 23, 21, 18, 8, 16, 6, 3, 4, 2, 0]",99720.0,"[0, 5, 7, 1, 10, 57, 11, 9, 0];[0, 37, 46, 35, 34, 32, 31, 26, 33, 38, 40, 41, 44, 47, 42, 43, 39, 55, 45, 50, 49, 51, 53, 52, 54, 56, 48, 36, 27, 19, 12, 14, 15, 13, 17, 20, 25, 30, 29, 58, 28, 24, 22, 23, 21, 18, 8, 16, 6, 3, 4, 2, 0]",2,600.0848009586333
2021-02-02_00-46-58_239896,103335.0,"[0, 5, 7, 1, 10, 57, 11, 9, 0];[0, 55, 46, 35, 34, 32, 31, 26, 33, 38, 40, 41, 44, 47, 42, 43, 39, 37, 45, 50, 49, 51, 53, 56, 54, 52, 48, 36, 27, 13, 12, 14, 15, 19, 17, 20, 25, 58, 29, 30, 28, 24, 22, 23, 21, 18, 8, 16, 6, 3, 4, 2, 0]",99720.0,"[0, 5, 7, 1, 10, 57, 11, 9, 0];[0, 37, 46, 35, 34, 32, 31, 26, 33, 38, 40, 41, 44, 47, 42, 43, 39, 55, 45, 50, 49, 51, 53, 52, 54, 56, 48, 36, 27, 19, 12, 14, 15, 13, 17, 20, 25, 30, 29, 58, 28, 24, 22, 23, 21, 18, 8, 16, 6, 3, 4, 2, 0]",2,600.2295699119568
2021-02-02_00-57-05_216910,103335.0,"[0, 5, 7, 1, 10, 57, 11, 9, 0];[0, 55, 46, 35, 34, 32, 31, 26, 33, 38, 40, 41, 44, 47, 42, 43, 39, 37, 45, 50, 49, 51, 53, 56, 54, 52, 48, 36, 27, 13, 12, 14, 15, 19, 17, 20, 25, 58, 29, 30, 28, 24, 22, 23, 21, 18, 8, 16, 6, 3, 4, 2, 0]",99720.0,"[0, 5, 7, 1, 10, 57, 11, 9, 0];[0, 37, 46, 35, 34, 32, 31, 26, 33, 38, 40, 41, 44, 47, 42, 43, 39, 55, 45, 50, 49, 51, 53, 52, 54, 56, 48, 36, 27, 19, 12, 14, 15, 13, 17, 20, 25, 30, 29, 58, 28, 24, 22, 23, 21, 18, 8, 16, 6, 3, 4, 2, 0]",2,600.3792071342467
2021-02-02_01-07-12_111864,103335.0,"[0, 5, 7, 1, 10, 57, 11, 9, 0];[0, 55, 46, 35, 34, 32, 31, 26, 33, 38, 40, 41, 44, 47, 42, 43, 39, 37, 45, 50, 49, 51, 53, 56, 54, 52, 48, 36, 27, 13, 12, 14, 15, 19, 17, 20, 25, 58, 29, 30, 28, 24, 22, 23, 21, 18, 8, 16, 6, 3, 4, 2, 0]",99720.0,"[0, 5, 7, 1, 10, 57, 11, 9, 0];[0, 37, 46, 35, 34, 32, 31, 26, 33, 38, 40, 41, 44, 47, 42, 43, 39, 55, 45, 50, 49, 51, 53, 52, 54, 56, 48, 36, 27, 19, 12, 14, 15, 13, 17, 20, 25, 30, 29, 58, 28, 24, 22, 23, 21, 18, 8, 16, 6, 3, 4, 2, 0]",2,600.3903548717499
2021-02-02_01-17-19_478957,103335.0,"[0, 5, 7, 1, 10, 57, 11, 9, 0];[0, 55, 46, 35, 34, 32, 31, 26, 33, 38, 40, 41, 44, 47, 42, 43, 39, 37, 45, 50, 49, 51, 53, 56, 54, 52, 48, 36, 27, 13, 12, 14, 15, 19, 17, 20, 25, 58, 29, 30, 28, 24, 22, 23, 21, 18, 8, 16, 6, 3, 4, 2, 0]",99720.0,"[0, 5, 7, 1, 10, 57, 11, 9, 0];[0, 37, 46, 35, 34, 32, 31, 26, 33, 38, 40, 41, 44, 47, 42, 43, 39, 55, 45, 50, 49, 51, 53, 52, 54, 56, 48, 36, 27, 19, 12, 14, 15, 13, 17, 20, 25, 30, 29, 58, 28, 24, 22, 23, 21, 18, 8, 16, 6, 3, 4, 2, 0]",2,600.0734171867372
2021-02-02_01-27-26_647068,103335.0,"[0, 5, 7, 1, 10, 57, 11, 9, 0];[0, 55, 46, 35, 34, 32, 31, 26, 33, 38, 40, 41, 44, 47, 42, 43, 39, 37, 45, 50, 49, 51, 53, 56, 54, 52, 48, 36, 27, 13, 12, 14, 15, 19, 17, 20, 25, 58, 29, 30, 28, 24, 22, 23, 21, 18, 8, 16, 6, 3, 4, 2, 0]",99720.0,"[0, 5, 7, 1, 10, 57, 11, 9, 0];[0, 37, 46, 35, 34, 32, 31, 26, 33, 38, 40, 41, 44, 47, 42, 43, 39, 55, 45, 50, 49, 51, 53, 52, 54, 56, 48, 36, 27, 19, 12, 14, 15, 13, 17, 20, 25, 30, 29, 58, 28, 24, 22, 23, 21, 18, 8, 16, 6, 3, 4, 2, 0]",2,600.029069185257
