datetime_str,initial_solution_value,initial_solution_routes,local_optimum_value,local_optimum_routes,exit_condition,exec_time
2021-01-31_21-43-53_404819,21100.0,"[0, 12, 9, 11, 1, 3, 6, 4, 10, 2, 13, 8, 5, 7, 0]",20400.0,"[0, 12, 9, 11, 1, 3, 6, 10, 4, 2, 13, 8, 5, 7, 0]",3,7.512392997741699
2021-01-31_21-44-03_652109,21100.0,"[0, 12, 9, 11, 1, 3, 6, 4, 10, 2, 13, 8, 5, 7, 0]",20400.0,"[0, 12, 9, 11, 1, 3, 6, 10, 4, 2, 13, 8, 5, 7, 0]",3,7.5205748081207275
2021-01-31_21-44-13_205436,21100.0,"[0, 12, 9, 11, 1, 3, 6, 4, 10, 2, 13, 8, 5, 7, 0]",20400.0,"[0, 12, 9, 11, 1, 3, 6, 10, 4, 2, 13, 8, 5, 7, 0]",3,7.589677095413207
2021-01-31_21-44-23_657906,21100.0,"[0, 12, 9, 11, 1, 3, 6, 4, 10, 2, 13, 8, 5, 7, 0]",20400.0,"[0, 12, 9, 11, 1, 3, 6, 10, 4, 2, 13, 8, 5, 7, 0]",3,7.625499725341798
2021-01-31_21-44-34_306053,21100.0,"[0, 12, 9, 11, 1, 3, 6, 4, 10, 2, 13, 8, 5, 7, 0]",20400.0,"[0, 12, 9, 11, 1, 3, 6, 10, 4, 2, 13, 8, 5, 7, 0]",3,7.620408058166504
2021-01-31_21-44-44_951188,21100.0,"[0, 12, 9, 11, 1, 3, 6, 4, 10, 2, 13, 8, 5, 7, 0]",20400.0,"[0, 12, 9, 11, 1, 3, 6, 10, 4, 2, 13, 8, 5, 7, 0]",3,7.603976011276245
2021-01-31_21-44-55_553088,21100.0,"[0, 12, 9, 11, 1, 3, 6, 4, 10, 2, 13, 8, 5, 7, 0]",20400.0,"[0, 12, 9, 11, 1, 3, 6, 10, 4, 2, 13, 8, 5, 7, 0]",3,7.640774011611938
2021-01-31_21-45-06_267747,21100.0,"[0, 12, 9, 11, 1, 3, 6, 4, 10, 2, 13, 8, 5, 7, 0]",20400.0,"[0, 12, 9, 11, 1, 3, 6, 10, 4, 2, 13, 8, 5, 7, 0]",3,7.532915115356445
2021-01-31_21-45-16_771550,21100.0,"[0, 12, 9, 11, 1, 3, 6, 4, 10, 2, 13, 8, 5, 7, 0]",20400.0,"[0, 12, 9, 11, 1, 3, 6, 10, 4, 2, 13, 8, 5, 7, 0]",3,7.515220880508423
2021-01-31_21-45-27_349557,21100.0,"[0, 12, 9, 11, 1, 3, 6, 4, 10, 2, 13, 8, 5, 7, 0]",20400.0,"[0, 12, 9, 11, 1, 3, 6, 10, 4, 2, 13, 8, 5, 7, 0]",3,7.650360107421875
