datetime_str,initial_solution_value,initial_solution_routes,local_optimum_value,local_optimum_routes,exit_condition,exec_time
2021-02-01_22-14-42_258190,125641.0,"[0, 5, 7, 45, 50, 49, 51, 53, 56, 54, 52, 48, 36, 31, 26, 27, 21, 15, 14, 16, 6, 3, 1, 10, 57, 19, 17, 20, 25, 58, 29, 30, 28, 24, 22, 23, 8, 0];[0, 13, 12, 11, 9, 0];[0, 55, 46, 35, 34, 32, 37, 40, 41, 44, 47, 42, 43, 39, 38, 33, 18, 4, 2, 0]",123369.0,"[0, 5, 7, 45, 50, 49, 51, 53, 52, 54, 56, 48, 36, 31, 26, 27, 21, 15, 14, 16, 6, 3, 1, 10, 57, 19, 17, 20, 25, 58, 29, 30, 28, 24, 22, 23, 8, 0];[0, 37, 46, 35, 34, 32, 55, 40, 41, 44, 47, 42, 43, 39, 38, 33, 18, 0];[0, 2, 4, 13, 11, 9, 12, 0]",2,600.1071722507478
2021-02-01_22-24-49_567550,125641.0,"[0, 5, 7, 45, 50, 49, 51, 53, 56, 54, 52, 48, 36, 31, 26, 27, 21, 15, 14, 16, 6, 3, 1, 10, 57, 19, 17, 20, 25, 58, 29, 30, 28, 24, 22, 23, 8, 0];[0, 13, 12, 11, 9, 0];[0, 55, 46, 35, 34, 32, 37, 40, 41, 44, 47, 42, 43, 39, 38, 33, 18, 4, 2, 0]",123369.0,"[0, 5, 7, 45, 50, 49, 51, 53, 52, 54, 56, 48, 36, 31, 26, 27, 21, 15, 14, 16, 6, 3, 1, 10, 57, 19, 17, 20, 25, 58, 29, 30, 28, 24, 22, 23, 8, 0];[0, 37, 46, 35, 34, 32, 55, 40, 41, 44, 47, 42, 43, 39, 38, 33, 18, 0];[0, 2, 4, 13, 11, 9, 12, 0]",2,602.1359770298003
2021-02-01_22-34-58_613010,125641.0,"[0, 5, 7, 45, 50, 49, 51, 53, 56, 54, 52, 48, 36, 31, 26, 27, 21, 15, 14, 16, 6, 3, 1, 10, 57, 19, 17, 20, 25, 58, 29, 30, 28, 24, 22, 23, 8, 0];[0, 13, 12, 11, 9, 0];[0, 55, 46, 35, 34, 32, 37, 40, 41, 44, 47, 42, 43, 39, 38, 33, 18, 4, 2, 0]",123369.0,"[0, 5, 7, 45, 50, 49, 51, 53, 52, 54, 56, 48, 36, 31, 26, 27, 21, 15, 14, 16, 6, 3, 1, 10, 57, 19, 17, 20, 25, 58, 29, 30, 28, 24, 22, 23, 8, 0];[0, 37, 46, 35, 34, 32, 55, 40, 41, 44, 47, 42, 43, 39, 38, 33, 18, 0];[0, 2, 4, 13, 11, 9, 12, 0]",2,601.0777108669281
2021-02-01_22-45-06_526988,125641.0,"[0, 5, 7, 45, 50, 49, 51, 53, 56, 54, 52, 48, 36, 31, 26, 27, 21, 15, 14, 16, 6, 3, 1, 10, 57, 19, 17, 20, 25, 58, 29, 30, 28, 24, 22, 23, 8, 0];[0, 13, 12, 11, 9, 0];[0, 55, 46, 35, 34, 32, 37, 40, 41, 44, 47, 42, 43, 39, 38, 33, 18, 4, 2, 0]",123369.0,"[0, 5, 7, 45, 50, 49, 51, 53, 52, 54, 56, 48, 36, 31, 26, 27, 21, 15, 14, 16, 6, 3, 1, 10, 57, 19, 17, 20, 25, 58, 29, 30, 28, 24, 22, 23, 8, 0];[0, 37, 46, 35, 34, 32, 55, 40, 41, 44, 47, 42, 43, 39, 38, 33, 18, 0];[0, 2, 4, 13, 11, 9, 12, 0]",2,600.0874371528624
2021-02-01_22-55-13_325605,125641.0,"[0, 5, 7, 45, 50, 49, 51, 53, 56, 54, 52, 48, 36, 31, 26, 27, 21, 15, 14, 16, 6, 3, 1, 10, 57, 19, 17, 20, 25, 58, 29, 30, 28, 24, 22, 23, 8, 0];[0, 13, 12, 11, 9, 0];[0, 55, 46, 35, 34, 32, 37, 40, 41, 44, 47, 42, 43, 39, 38, 33, 18, 4, 2, 0]",123369.0,"[0, 5, 7, 45, 50, 49, 51, 53, 52, 54, 56, 48, 36, 31, 26, 27, 21, 15, 14, 16, 6, 3, 1, 10, 57, 19, 17, 20, 25, 58, 29, 30, 28, 24, 22, 23, 8, 0];[0, 37, 46, 35, 34, 32, 55, 40, 41, 44, 47, 42, 43, 39, 38, 33, 18, 0];[0, 2, 4, 13, 11, 9, 12, 0]",2,601.2102360725403
2021-02-01_23-05-21_046001,125641.0,"[0, 5, 7, 45, 50, 49, 51, 53, 56, 54, 52, 48, 36, 31, 26, 27, 21, 15, 14, 16, 6, 3, 1, 10, 57, 19, 17, 20, 25, 58, 29, 30, 28, 24, 22, 23, 8, 0];[0, 13, 12, 11, 9, 0];[0, 55, 46, 35, 34, 32, 37, 40, 41, 44, 47, 42, 43, 39, 38, 33, 18, 4, 2, 0]",123369.0,"[0, 5, 7, 45, 50, 49, 51, 53, 52, 54, 56, 48, 36, 31, 26, 27, 21, 15, 14, 16, 6, 3, 1, 10, 57, 19, 17, 20, 25, 58, 29, 30, 28, 24, 22, 23, 8, 0];[0, 37, 46, 35, 34, 32, 55, 40, 41, 44, 47, 42, 43, 39, 38, 33, 18, 0];[0, 2, 4, 13, 11, 9, 12, 0]",2,601.0771608352661
2021-02-01_23-15-28_570671,125641.0,"[0, 5, 7, 45, 50, 49, 51, 53, 56, 54, 52, 48, 36, 31, 26, 27, 21, 15, 14, 16, 6, 3, 1, 10, 57, 19, 17, 20, 25, 58, 29, 30, 28, 24, 22, 23, 8, 0];[0, 13, 12, 11, 9, 0];[0, 55, 46, 35, 34, 32, 37, 40, 41, 44, 47, 42, 43, 39, 38, 33, 18, 4, 2, 0]",123369.0,"[0, 5, 7, 45, 50, 49, 51, 53, 52, 54, 56, 48, 36, 31, 26, 27, 21, 15, 14, 16, 6, 3, 1, 10, 57, 19, 17, 20, 25, 58, 29, 30, 28, 24, 22, 23, 8, 0];[0, 37, 46, 35, 34, 32, 55, 40, 41, 44, 47, 42, 43, 39, 38, 33, 18, 0];[0, 2, 4, 13, 11, 9, 12, 0]",2,601.4411211013794
2021-02-01_23-25-38_429004,125641.0,"[0, 5, 7, 45, 50, 49, 51, 53, 56, 54, 52, 48, 36, 31, 26, 27, 21, 15, 14, 16, 6, 3, 1, 10, 57, 19, 17, 20, 25, 58, 29, 30, 28, 24, 22, 23, 8, 0];[0, 13, 12, 11, 9, 0];[0, 55, 46, 35, 34, 32, 37, 40, 41, 44, 47, 42, 43, 39, 38, 33, 18, 4, 2, 0]",123369.0,"[0, 5, 7, 45, 50, 49, 51, 53, 52, 54, 56, 48, 36, 31, 26, 27, 21, 15, 14, 16, 6, 3, 1, 10, 57, 19, 17, 20, 25, 58, 29, 30, 28, 24, 22, 23, 8, 0];[0, 37, 46, 35, 34, 32, 55, 40, 41, 44, 47, 42, 43, 39, 38, 33, 18, 0];[0, 2, 4, 13, 11, 9, 12, 0]",2,600.2601180076599
2021-02-01_23-35-46_303835,125641.0,"[0, 5, 7, 45, 50, 49, 51, 53, 56, 54, 52, 48, 36, 31, 26, 27, 21, 15, 14, 16, 6, 3, 1, 10, 57, 19, 17, 20, 25, 58, 29, 30, 28, 24, 22, 23, 8, 0];[0, 13, 12, 11, 9, 0];[0, 55, 46, 35, 34, 32, 37, 40, 41, 44, 47, 42, 43, 39, 38, 33, 18, 4, 2, 0]",123369.0,"[0, 5, 7, 45, 50, 49, 51, 53, 52, 54, 56, 48, 36, 31, 26, 27, 21, 15, 14, 16, 6, 3, 1, 10, 57, 19, 17, 20, 25, 58, 29, 30, 28, 24, 22, 23, 8, 0];[0, 37, 46, 35, 34, 32, 55, 40, 41, 44, 47, 42, 43, 39, 38, 33, 18, 0];[0, 2, 4, 13, 11, 9, 12, 0]",2,604.1272461414337
2021-02-01_23-45-58_054645,125641.0,"[0, 5, 7, 45, 50, 49, 51, 53, 56, 54, 52, 48, 36, 31, 26, 27, 21, 15, 14, 16, 6, 3, 1, 10, 57, 19, 17, 20, 25, 58, 29, 30, 28, 24, 22, 23, 8, 0];[0, 13, 12, 11, 9, 0];[0, 55, 46, 35, 34, 32, 37, 40, 41, 44, 47, 42, 43, 39, 38, 33, 18, 4, 2, 0]",123369.0,"[0, 5, 7, 45, 50, 49, 51, 53, 52, 54, 56, 48, 36, 31, 26, 27, 21, 15, 14, 16, 6, 3, 1, 10, 57, 19, 17, 20, 25, 58, 29, 30, 28, 24, 22, 23, 8, 0];[0, 37, 46, 35, 34, 32, 55, 40, 41, 44, 47, 42, 43, 39, 38, 33, 18, 0];[0, 2, 4, 13, 11, 9, 12, 0]",2,601.4698357582092
