datetime_str,initial_solution_value,initial_solution_routes,local_optimum_value,local_optimum_routes,exit_condition,exec_time
2021-02-01_20-22-55_562113,65782.0,"[0, 2, 1, 19, 3, 73, 6, 7, 8, 11, 29, 34, 12, 4, 0];[0, 10, 59, 22, 62, 31, 30, 32, 33, 36, 37, 38, 41, 42, 43, 61, 60, 44, 47, 46, 45, 40, 39, 66, 25, 21, 23, 13, 18, 26, 17, 15, 16, 65, 24, 69, 64, 63, 71, 70, 35, 48, 49, 5, 51, 52, 50, 72, 67, 28, 55, 27, 68, 54, 53, 74, 20, 58, 57, 14, 56, 9, 0]",64702.0,"[0, 2, 1, 19, 3, 73, 6, 7, 8, 11, 29, 34, 12, 4, 0];[0, 10, 59, 22, 62, 33, 36, 32, 31, 30, 41, 37, 38, 42, 43, 61, 60, 44, 47, 46, 45, 40, 39, 66, 25, 21, 23, 13, 18, 26, 17, 15, 16, 65, 24, 69, 64, 63, 71, 70, 35, 48, 49, 5, 51, 52, 50, 72, 67, 28, 55, 27, 68, 54, 53, 74, 20, 58, 57, 14, 56, 9, 0]",2,600.5787861347197
2021-02-01_20-33-03_889270,65782.0,"[0, 2, 1, 19, 3, 73, 6, 7, 8, 11, 29, 34, 12, 4, 0];[0, 10, 59, 22, 62, 31, 30, 32, 33, 36, 37, 38, 41, 42, 43, 61, 60, 44, 47, 46, 45, 40, 39, 66, 25, 21, 23, 13, 18, 26, 17, 15, 16, 65, 24, 69, 64, 63, 71, 70, 35, 48, 49, 5, 51, 52, 50, 72, 67, 28, 55, 27, 68, 54, 53, 74, 20, 58, 57, 14, 56, 9, 0]",64702.0,"[0, 2, 1, 19, 3, 73, 6, 7, 8, 11, 29, 34, 12, 4, 0];[0, 10, 59, 22, 62, 33, 36, 32, 31, 30, 41, 37, 38, 42, 43, 61, 60, 44, 47, 46, 45, 40, 39, 66, 25, 21, 23, 13, 18, 26, 17, 15, 16, 65, 24, 69, 64, 63, 71, 70, 35, 48, 49, 5, 51, 52, 50, 72, 67, 28, 55, 27, 68, 54, 53, 74, 20, 58, 57, 14, 56, 9, 0]",2,600.1606431007385
2021-02-01_20-43-11_912450,65782.0,"[0, 2, 1, 19, 3, 73, 6, 7, 8, 11, 29, 34, 12, 4, 0];[0, 10, 59, 22, 62, 31, 30, 32, 33, 36, 37, 38, 41, 42, 43, 61, 60, 44, 47, 46, 45, 40, 39, 66, 25, 21, 23, 13, 18, 26, 17, 15, 16, 65, 24, 69, 64, 63, 71, 70, 35, 48, 49, 5, 51, 52, 50, 72, 67, 28, 55, 27, 68, 54, 53, 74, 20, 58, 57, 14, 56, 9, 0]",64702.0,"[0, 2, 1, 19, 3, 73, 6, 7, 8, 11, 29, 34, 12, 4, 0];[0, 10, 59, 22, 62, 33, 36, 32, 31, 30, 41, 37, 38, 42, 43, 61, 60, 44, 47, 46, 45, 40, 39, 66, 25, 21, 23, 13, 18, 26, 17, 15, 16, 65, 24, 69, 64, 63, 71, 70, 35, 48, 49, 5, 51, 52, 50, 72, 67, 28, 55, 27, 68, 54, 53, 74, 20, 58, 57, 14, 56, 9, 0]",2,600.5798709392548
2021-02-01_20-53-20_219348,65782.0,"[0, 2, 1, 19, 3, 73, 6, 7, 8, 11, 29, 34, 12, 4, 0];[0, 10, 59, 22, 62, 31, 30, 32, 33, 36, 37, 38, 41, 42, 43, 61, 60, 44, 47, 46, 45, 40, 39, 66, 25, 21, 23, 13, 18, 26, 17, 15, 16, 65, 24, 69, 64, 63, 71, 70, 35, 48, 49, 5, 51, 52, 50, 72, 67, 28, 55, 27, 68, 54, 53, 74, 20, 58, 57, 14, 56, 9, 0]",64702.0,"[0, 2, 1, 19, 3, 73, 6, 7, 8, 11, 29, 34, 12, 4, 0];[0, 10, 59, 22, 62, 33, 36, 32, 31, 30, 41, 37, 38, 42, 43, 61, 60, 44, 47, 46, 45, 40, 39, 66, 25, 21, 23, 13, 18, 26, 17, 15, 16, 65, 24, 69, 64, 63, 71, 70, 35, 48, 49, 5, 51, 52, 50, 72, 67, 28, 55, 27, 68, 54, 53, 74, 20, 58, 57, 14, 56, 9, 0]",2,600.5745408535004
2021-02-01_21-03-28_348327,65782.0,"[0, 2, 1, 19, 3, 73, 6, 7, 8, 11, 29, 34, 12, 4, 0];[0, 10, 59, 22, 62, 31, 30, 32, 33, 36, 37, 38, 41, 42, 43, 61, 60, 44, 47, 46, 45, 40, 39, 66, 25, 21, 23, 13, 18, 26, 17, 15, 16, 65, 24, 69, 64, 63, 71, 70, 35, 48, 49, 5, 51, 52, 50, 72, 67, 28, 55, 27, 68, 54, 53, 74, 20, 58, 57, 14, 56, 9, 0]",64702.0,"[0, 2, 1, 19, 3, 73, 6, 7, 8, 11, 29, 34, 12, 4, 0];[0, 10, 59, 22, 62, 33, 36, 32, 31, 30, 41, 37, 38, 42, 43, 61, 60, 44, 47, 46, 45, 40, 39, 66, 25, 21, 23, 13, 18, 26, 17, 15, 16, 65, 24, 69, 64, 63, 71, 70, 35, 48, 49, 5, 51, 52, 50, 72, 67, 28, 55, 27, 68, 54, 53, 74, 20, 58, 57, 14, 56, 9, 0]",2,600.5563650131228
2021-02-01_21-13-36_436448,65782.0,"[0, 2, 1, 19, 3, 73, 6, 7, 8, 11, 29, 34, 12, 4, 0];[0, 10, 59, 22, 62, 31, 30, 32, 33, 36, 37, 38, 41, 42, 43, 61, 60, 44, 47, 46, 45, 40, 39, 66, 25, 21, 23, 13, 18, 26, 17, 15, 16, 65, 24, 69, 64, 63, 71, 70, 35, 48, 49, 5, 51, 52, 50, 72, 67, 28, 55, 27, 68, 54, 53, 74, 20, 58, 57, 14, 56, 9, 0]",64702.0,"[0, 2, 1, 19, 3, 73, 6, 7, 8, 11, 29, 34, 12, 4, 0];[0, 10, 59, 22, 62, 33, 36, 32, 31, 30, 41, 37, 38, 42, 43, 61, 60, 44, 47, 46, 45, 40, 39, 66, 25, 21, 23, 13, 18, 26, 17, 15, 16, 65, 24, 69, 64, 63, 71, 70, 35, 48, 49, 5, 51, 52, 50, 72, 67, 28, 55, 27, 68, 54, 53, 74, 20, 58, 57, 14, 56, 9, 0]",2,600.1186370849608
2021-02-01_21-23-50_127511,65782.0,"[0, 2, 1, 19, 3, 73, 6, 7, 8, 11, 29, 34, 12, 4, 0];[0, 10, 59, 22, 62, 31, 30, 32, 33, 36, 37, 38, 41, 42, 43, 61, 60, 44, 47, 46, 45, 40, 39, 66, 25, 21, 23, 13, 18, 26, 17, 15, 16, 65, 24, 69, 64, 63, 71, 70, 35, 48, 49, 5, 51, 52, 50, 72, 67, 28, 55, 27, 68, 54, 53, 74, 20, 58, 57, 14, 56, 9, 0]",64702.0,"[0, 2, 1, 19, 3, 73, 6, 7, 8, 11, 29, 34, 12, 4, 0];[0, 10, 59, 22, 62, 33, 36, 32, 31, 30, 41, 37, 38, 42, 43, 61, 60, 44, 47, 46, 45, 40, 39, 66, 25, 21, 23, 13, 18, 26, 17, 15, 16, 65, 24, 69, 64, 63, 71, 70, 35, 48, 49, 5, 51, 52, 50, 72, 67, 28, 55, 27, 68, 54, 53, 74, 20, 58, 57, 14, 56, 9, 0]",2,600.7820081710814
2021-02-01_21-34-03_059760,65782.0,"[0, 2, 1, 19, 3, 73, 6, 7, 8, 11, 29, 34, 12, 4, 0];[0, 10, 59, 22, 62, 31, 30, 32, 33, 36, 37, 38, 41, 42, 43, 61, 60, 44, 47, 46, 45, 40, 39, 66, 25, 21, 23, 13, 18, 26, 17, 15, 16, 65, 24, 69, 64, 63, 71, 70, 35, 48, 49, 5, 51, 52, 50, 72, 67, 28, 55, 27, 68, 54, 53, 74, 20, 58, 57, 14, 56, 9, 0]",64702.0,"[0, 2, 1, 19, 3, 73, 6, 7, 8, 11, 29, 34, 12, 4, 0];[0, 10, 59, 22, 62, 33, 36, 32, 31, 30, 41, 37, 38, 42, 43, 61, 60, 44, 47, 46, 45, 40, 39, 66, 25, 21, 23, 13, 18, 26, 17, 15, 16, 65, 24, 69, 64, 63, 71, 70, 35, 48, 49, 5, 51, 52, 50, 72, 67, 28, 55, 27, 68, 54, 53, 74, 20, 58, 57, 14, 56, 9, 0]",2,600.5109179019927
2021-02-01_21-44-12_773587,65782.0,"[0, 2, 1, 19, 3, 73, 6, 7, 8, 11, 29, 34, 12, 4, 0];[0, 10, 59, 22, 62, 31, 30, 32, 33, 36, 37, 38, 41, 42, 43, 61, 60, 44, 47, 46, 45, 40, 39, 66, 25, 21, 23, 13, 18, 26, 17, 15, 16, 65, 24, 69, 64, 63, 71, 70, 35, 48, 49, 5, 51, 52, 50, 72, 67, 28, 55, 27, 68, 54, 53, 74, 20, 58, 57, 14, 56, 9, 0]",64702.0,"[0, 2, 1, 19, 3, 73, 6, 7, 8, 11, 29, 34, 12, 4, 0];[0, 10, 59, 22, 62, 33, 36, 32, 31, 30, 41, 37, 38, 42, 43, 61, 60, 44, 47, 46, 45, 40, 39, 66, 25, 21, 23, 13, 18, 26, 17, 15, 16, 65, 24, 69, 64, 63, 71, 70, 35, 48, 49, 5, 51, 52, 50, 72, 67, 28, 55, 27, 68, 54, 53, 74, 20, 58, 57, 14, 56, 9, 0]",2,600.6843152046204
2021-02-01_21-54-22_915346,65782.0,"[0, 2, 1, 19, 3, 73, 6, 7, 8, 11, 29, 34, 12, 4, 0];[0, 10, 59, 22, 62, 31, 30, 32, 33, 36, 37, 38, 41, 42, 43, 61, 60, 44, 47, 46, 45, 40, 39, 66, 25, 21, 23, 13, 18, 26, 17, 15, 16, 65, 24, 69, 64, 63, 71, 70, 35, 48, 49, 5, 51, 52, 50, 72, 67, 28, 55, 27, 68, 54, 53, 74, 20, 58, 57, 14, 56, 9, 0]",64702.0,"[0, 2, 1, 19, 3, 73, 6, 7, 8, 11, 29, 34, 12, 4, 0];[0, 10, 59, 22, 62, 33, 36, 32, 31, 30, 41, 37, 38, 42, 43, 61, 60, 44, 47, 46, 45, 40, 39, 66, 25, 21, 23, 13, 18, 26, 17, 15, 16, 65, 24, 69, 64, 63, 71, 70, 35, 48, 49, 5, 51, 52, 50, 72, 67, 28, 55, 27, 68, 54, 53, 74, 20, 58, 57, 14, 56, 9, 0]",2,600.1146879196167
