it,instant,local_optimum_value
0,0.0,73109.0
1,2.7731149196624756,72917.0
2,4.436122179031372,72917.0
3,5.974927186965942,72917.0
4,7.710264205932617,72917.0
5,9.43131399154663,72917.0
6,11.000020980834961,72917.0
7,12.774110078811646,72917.0
8,14.819280862808228,72917.0
9,16.495929956436157,72917.0
10,18.38497304916382,72917.0
11,19.994813919067383,72917.0
12,21.65302610397339,72917.0
13,23.41857600212097,72917.0
14,24.909619092941284,72917.0
15,26.561623096466064,72917.0
16,28.135190963745117,72917.0
17,29.715298175811768,72917.0
18,31.444145917892456,72917.0
19,33.08890199661255,72917.0
20,34.77036118507385,72917.0
21,36.59991002082825,72917.0
